p,q,r,n,f,strict_hit
2,3,5,30,6,True
2,5,7,70,10,True
2,7,11,154,14,True
2,7,13,182,14,True
2,11,13,286,11,False
2,11,17,374,11,False
2,11,19,418,22,True
2,13,17,442,13,False
2,13,19,494,13,False
2,13,23,598,26,True
2,17,19,646,34,True
2,17,23,782,34,True
2,17,29,986,29,False
2,17,31,1054,34,True
2,19,23,874,19,False
2,19,29,1102,38,True
2,19,31,1178,38,True
2,19,37,1406,37,False
2,23,29,1334,23,False
2,23,31,1426,46,True
2,23,37,1702,37,False
2,23,41,1886,23,False
2,23,43,1978,43,False
2,29,31,1798,58,True
2,29,37,2146,58,True
2,29,41,2378,29,False
2,29,43,2494,29,False
2,29,47,2726,58,True
2,29,53,3074,58,True
2,31,37,2294,31,False
2,31,41,2542,31,False
2,31,43,2666,62,True
2,31,47,2914,62,True
2,31,53,3286,31,False
2,31,59,3658,62,True
2,31,61,3782,62,True
2,37,41,3034,37,False
2,37,43,3182,37,False
2,37,47,3478,47,False
2,37,53,3922,37,False
2,37,59,4366,74,True
2,37,61,4514,74,True
2,37,67,4958,37,False
2,37,71,5254,74,True
2,37,73,5402,74,True
2,41,43,3526,41,False
2,41,47,3854,41,False
2,41,53,4346,41,False
2,41,59,4838,41,False
2,41,61,5002,82,True
2,41,67,5494,67,False
2,41,71,5822,41,False
2,41,73,5986,82,True
2,41,79,6478,79,False
2,43,47,4042,43,False
2,43,53,4558,53,False
2,43,59,5074,59,False
2,43,61,5246,43,False
2,43,67,5762,86,True
2,43,71,6106,71,False
2,43,73,6278,86,True
2,43,79,6794,86,True
2,43,83,7138,83,False
2,47,53,4982,47,False
2,47,59,5546,47,False
2,47,61,5734,47,False
2,47,67,6298,94,True
2,47,71,6674,94,True
2,47,73,6862,47,False
2,47,79,7426,94,True
2,47,83,7802,83,False
2,47,89,8366,94,True
2,53,59,6254,53,False
2,53,61,6466,106,True
2,53,67,7102,53,False
2,53,71,7526,71,False
2,53,73,7738,73,False
2,53,79,8374,106,True
2,53,83,8798,106,True
2,53,89,9434,106,True
2,53,97,10282,106,True
2,53,101,10706,106,True
2,53,103,10918,106,True
2,59,61,7198,59,False
2,59,67,7906,59,False
2,59,71,8378,118,True
2,59,73,8614,59,False
2,59,79,9322,118,True
2,59,83,9794,118,True
2,59,89,10502,118,True
2,59,97,11446,118,True
2,59,101,11918,118,True
2,59,103,12154,59,False
2,59,107,12626,118,True
2,59,109,12862,109,False
2,59,113,13334,118,True
2,61,67,8174,61,False
2,61,71,8662,122,True
2,61,73,8906,61,False
2,61,79,9638,122,True
2,61,83,10126,61,False
2,61,89,10858,89,False
2,61,97,11834,61,False
2,61,101,12322,122,True
2,61,103,12566,122,True
2,61,107,13054,61,False
2,61,109,13298,109,False
2,61,113,13786,113,False
2,67,71,9514,134,True
2,67,73,9782,134,True
2,67,79,10586,67,False
2,67,83,11122,67,False
2,67,89,11926,67,False
2,67,97,12998,67,False
2,67,101,13534,67,False
2,67,103,13802,67,False
2,67,107,14338,134,True
2,67,109,14606,109,False
2,67,113,15142,113,False
2,67,127,17018,127,False
2,67,131,17554,134,True
2,71,73,10366,142,True
2,71,79,11218,71,False
2,71,83,11786,142,True
2,71,89,12638,89,False
2,71,97,13774,71,False
2,71,101,14342,142,True
2,71,103,14626,142,True
2,71,107,15194,71,False
2,71,109,15478,71,False
2,71,113,16046,71,False
2,71,127,18034,127,False
2,71,131,18602,142,True
2,71,137,19454,71,False
2,71,139,19738,142,True
2,73,79,11534,73,False
2,73,83,12118,73,False
2,73,89,12994,146,True
2,73,97,14162,73,False
2,73,101,14746,73,False
2,73,103,15038,73,False
2,73,107,15622,73,False
2,73,109,15914,146,True
2,73,113,16498,146,True
2,73,127,18542,146,True
2,73,131,19126,131,False
2,73,137,20002,146,True
2,73,139,20294,73,False
2,79,83,13114,79,False
2,79,89,14062,79,False
2,79,97,15326,79,False
2,79,101,15958,79,False
2,79,103,16274,79,False
2,79,107,16906,158,True
2,79,109,17222,158,True
2,79,113,17854,113,False
2,79,127,20066,158,True
2,79,131,20698,158,True
2,79,137,21646,158,True
2,79,139,21962,158,True
2,79,149,23542,79,False
2,79,151,23858,151,False
2,79,157,24806,158,True
2,83,89,14774,83,False
2,83,97,16102,83,False
2,83,101,16766,101,False
2,83,103,17098,166,True
2,83,107,17762,166,True
2,83,109,18094,83,False
2,83,113,18758,166,True
2,83,127,21082,166,True
2,83,131,21746,83,False
2,83,137,22742,83,False
2,83,139,23074,166,True
2,83,149,24734,166,True
2,83,151,25066,166,True
2,83,157,26062,157,False
2,83,163,27058,163,False
2,89,97,17266,178,True
2,89,101,17978,178,True
2,89,103,18334,89,False
2,89,107,19046,178,True
2,89,109,19402,109,False
2,89,113,20114,178,True
2,89,127,22606,178,True
2,89,131,23318,89,False
2,89,137,24386,178,True
2,89,139,24742,178,True
2,89,149,26522,149,False
2,89,151,26878,89,False
2,89,157,27946,157,False
2,89,163,29014,89,False
2,89,167,29726,178,True
2,89,173,30794,178,True
2,97,101,19594,194,True
2,97,103,19982,97,False
2,97,107,20758,194,True
2,97,109,21146,194,True
2,97,113,21922,194,True
2,97,127,24638,194,True
2,97,131,25414,97,False
2,97,137,26578,97,False
2,97,139,26966,97,False
2,97,149,28906,149,False
2,97,151,29294,151,False
2,97,157,30458,97,False
2,97,163,31622,163,False
2,97,167,32398,97,False
2,97,173,33562,173,False
2,97,179,34726,179,False
2,97,181,35114,194,True
2,97,191,37054,191,False
2,97,193,37442,194,True
2,101,103,20806,202,True
2,101,107,21614,101,False
2,101,109,22018,202,True
2,101,113,22826,202,True
2,101,127,25654,202,True
2,101,131,26462,101,False
2,101,137,27674,202,True
2,101,139,28078,101,False
2,101,149,30098,149,False
2,101,151,30502,151,False
2,101,157,31714,101,False
2,101,163,32926,202,True
2,101,167,33734,202,True
2,101,173,34946,202,True
2,101,179,36158,101,False
2,101,181,36562,181,False
2,101,191,38582,191,False
2,101,193,38986,202,True
2,101,197,39794,197,False
2,101,199,40198,202,True
2,103,107,22042,103,False
2,103,109,22454,103,False
2,103,113,23278,103,False
2,103,127,26162,206,True
2,103,131,26986,206,True
2,103,137,28222,103,False
2,103,139,28634,103,False
2,103,149,30694,103,False
2,103,151,31106,206,True
2,103,157,32342,103,False
2,103,163,33578,206,True
2,103,167,34402,206,True
2,103,173,35638,206,True
2,103,179,36874,206,True
2,103,181,37286,206,True
2,103,191,39346,206,True
2,103,193,39758,103,False
2,103,197,40582,197,False
2,103,199,40994,206,True
2,107,109,23326,107,False
2,107,113,24182,107,False
2,107,127,27178,127,False
2,107,131,28034,214,True
2,107,137,29318,137,False
2,107,139,29746,139,False
2,107,149,31886,149,False
2,107,151,32314,107,False
2,107,157,33598,107,False
2,107,163,34882,214,True
2,107,167,35738,167,False
2,107,173,37022,214,True
2,107,179,38306,214,True
2,107,181,38734,181,False
2,107,191,40874,191,False
2,107,193,41302,214,True
2,107,197,42158,197,False
2,107,199,42586,214,True
2,109,113,24634,218,True
2,109,127,27686,218,True
2,109,131,28558,109,False
2,109,137,29866,137,False
2,109,139,30302,109,False
2,109,149,32482,109,False
2,109,151,32918,218,True
2,109,157,34226,218,True
2,109,163,35534,109,False
2,109,167,36406,218,True
2,109,173,37714,218,True
2,109,179,39022,109,False
2,109,181,39458,218,True
2,109,191,41638,218,True
2,109,193,42074,193,False
2,109,197,42946,197,False
2,109,199,43382,109,False
2,113,127,28702,226,True
2,113,131,29606,113,False
2,113,137,30962,113,False
2,113,139,31414,113,False
2,113,149,33674,149,False
2,113,151,34126,151,False
2,113,157,35482,157,False
2,113,163,36838,113,False
2,113,167,37742,113,False
2,113,173,39098,113,False
2,113,179,40454,226,True
2,113,181,40906,113,False
2,113,191,43166,226,True
2,113,193,43618,226,True
2,113,197,44522,113,False
2,113,199,44974,113,False
2,127,131,33274,254,True
2,127,137,34798,127,False
2,127,139,35306,254,True
2,127,149,37846,127,False
2,127,151,38354,254,True
2,127,157,39878,127,False
2,127,163,41402,254,True
2,127,167,42418,254,True
2,127,173,43942,127,False
2,127,179,45466,127,False
2,127,181,45974,127,False
2,127,191,48514,254,True
2,127,193,49022,127,False
2,127,197,50038,127,False
2,127,199,50546,254,True
2,131,137,35894,262,True
2,131,139,36418,262,True
2,131,149,39038,131,False
2,131,151,39562,262,True
2,131,157,41134,262,True
2,131,163,42706,163,False
2,131,167,43754,167,False
2,131,173,45326,173,False
2,131,179,46898,131,False
2,131,181,47422,131,False
2,131,191,50042,191,False
2,131,193,50566,131,False
2,131,197,51614,131,False
2,131,199,52138,262,True
2,137,139,38086,274,True
2,137,149,40826,137,False
2,137,151,41374,137,False
2,137,157,43018,274,True
2,137,163,44662,137,False
2,137,167,45758,137,False
2,137,173,47402,173,False
2,137,179,49046,137,False
2,137,181,49594,181,False
2,137,191,52334,191,False
2,137,193,52882,137,False
2,137,197,53978,274,True
2,137,199,54526,137,False
2,139,149,41422,139,False
2,139,151,41978,139,False
2,139,157,43646,139,False
2,139,163,45314,278,True
2,139,167,46426,167,False
2,139,173,48094,139,False
2,139,179,49762,278,True
2,139,181,50318,278,True
2,139,191,53098,139,False
2,139,193,53654,139,False
2,139,197,54766,139,False
2,139,199,55322,199,False
2,149,151,44998,149,False
2,149,157,46786,298,True
2,149,163,48574,149,False
2,149,167,49766,298,True
2,149,173,51554,298,True
2,149,179,53342,149,False
2,149,181,53938,181,False
2,149,191,56918,191,False
2,149,193,57514,298,True
2,149,197,58706,149,False
2,149,199,59302,149,False
2,151,157,47414,151,False
2,151,163,49226,302,True
2,151,167,50434,302,True
2,151,173,52246,302,True
2,151,179,54058,151,False
2,151,181,54662,181,False
2,151,191,57682,302,True
2,151,193,58286,151,False
2,151,197,59494,151,False
2,151,199,60098,199,False
