family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
h11	0	UNSAT	0.080330	15	77	852d788281d4cf4f4f3a5f6b6f7bd6d697cef15a08a02ce6d6a91a220163eedf	6cba99778b92501c4c9d201353948821884991f01f1b1e20a989d387dfa0843a	-	drat-trim VERIFIED
h11	1	UNSAT	0.081660	15	77	b3fbb61a056854f6839a70a461ca522c02ec978f6164f8b128e650c3f5ec23b9	ada86b2fea4fb2f1f38e344d4fac78a8e5b16e64fd17b17a551524e177216cbc	-	drat-trim VERIFIED
h11	2	UNSAT	0.080068	15	77	078d22eda5d0b311561955f8fd5b716163f64b9693a5e620a3a1dba905fd4664	1103d921871be75037337c8aca07ae126fd373e4eaa7cec8ef9d0d9eafa9aa66	-	drat-trim VERIFIED
h11	3	UNSAT	0.075810	15	77	44ab7cd53849ffe3b90c22836159035032b009616c644c02bbe968aa787659d6	c339b82c8551d10cc8d0df5551d9260d2ce0ff1ba948c79709b03c4f5df439d0	-	drat-trim VERIFIED
h11	4	UNSAT	0.082275	15	77	d4e045eba102ad4dbb674c63d5b95dd53a0ed5bf080a72f5b5fae65dbbc0498e	ce98d7552b7281349f9483962de96b827907cb4fea1bbf577eaf34fb831993f3	-	drat-trim VERIFIED
h11	5	UNSAT	0.100705	15	77	b885b815f10d99ad08a184c5b24a5f580e35df31d794ed272362a29d5a2acf20	6dbdddd640251fb44891c832ab875c55ef53e5d4e3ec96f9dd1147613866d724	-	drat-trim VERIFIED
h11	6	UNSAT	0.077272	15	77	99a965da6e1e16ed20cfb00a372b34ef6a5199873b2e48ac9c2bc432aa4c8392	9e049d015a933d0d36c55258f98d7f215ffa70eea2aa27d3e767eac40111abcc	-	drat-trim VERIFIED
h11	7	UNSAT	0.075499	15	77	363e1b5608cd1d82ce0aa9e4cf0d7b20040c8772e47e12ccae6d963466506017	c69e165ad2f06faf0f5e8dcb5b3f4ea0e31fa70e89a1a29f4ae66f802e26898a	-	drat-trim VERIFIED
h11	8	UNSAT	0.094059	15	77	d2e3504f1a01cf42bd7c2257f72f76a6e4285f65ab0ae09db537a9b32dc415dd	c4f8177d569c144f00bb19dad2f5d3d0d0f178aff00e377efded8bbaa4110ab2	-	drat-trim VERIFIED
h11	9	UNSAT	0.076460	15	77	abff956ad83733808ccfc4e83dfa7e759a96de7220d7ea573311818ee72b8d64	357f366538215291a719c9f7bd00b45b89094707a436113e952cebc66692cd58	-	drat-trim VERIFIED
