family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
p199	0	CAP	521.839871	208	4151	36806a2f4e27bdc5d13aadd72276b23f0514314c0b705165f98b4cca92e718b0	b61fbe75abad481bf6509af7629031382fc57ab8bc2131eed4b3e4ffe06e5a9d	-	checker timeout
p199	1	UNSAT	306.310001	208	4151	d4e8db85c78f22712059f3f5e4f84cd3adf51d2537095e5bf76ca28dfbe6c52b	e7a04a816eaf0098e5514ba91ce5c4b1d7c210e9e2cc0d8c7b20d559a6ab2ba4	-	drat-trim VERIFIED
p199	2	CAP	532.100398	208	4151	a0497dceb010c04a9b02f323331fd2d727bf12f7ad5e9ebd9d4920be6850b40c	d4030d490a2990c219a53f162d4407a773877bb4bc3a2ecc3756df787eb83642	-	checker timeout
p199	3	UNSAT	223.896459	208	4151	e07cde8b14f19bf2094e2643ac43c6aad6c6d62ade399db270968a479d0ee6c4	bab498a3b1bc2da56ad402523e2acff3d091808ca256fec13818b938bc1b6963	-	drat-trim VERIFIED
p199	4	UNSAT	418.210434	208	4151	ea4356bd1ff5cdf06fb5504411d0ca57ddc8b3056dc8281c8025d1d24ef60648	eba1cd256b579f413fc8e0c246cf932d1c8098dd22b03c57e6973a1bf7119768	-	drat-trim VERIFIED
p199	5	UNSAT	381.433469	208	4151	9d8c49c9126a7f066447047baaaf050030ef54df12b5ad2af4daddde280a576b	3573ad9efbeefdb43db308019ac12b4227eb474004bfa31f4641cc2dcbbe6dfd	-	drat-trim VERIFIED
p199	6	UNSAT	64.006549	208	4151	707ff0d524b7630df03cf367f15efc87427dd9f73bfd5152aaab1e535603cb99	ae5c67c647a6b9804c2eb2d4a887464cf262d6a97589b312bd513b9bba584f7b	-	drat-trim VERIFIED
p199	7	UNSAT	28.712363	208	4151	cf88a2052e99b310304583294fb7d5db3f5a4fff9213f3f5428c18d60ef31ce9	c45864968261a1237353fc9a06e210387f9e07d6750a6a574baecf81943a0f3c	-	drat-trim VERIFIED
p199	8	UNSAT	81.629378	208	4151	7f31b68ab7b3bfe176e1ea5a4edc9da4d09d1b44d6d0a9f6b3ece10e9012a15c	79bd0c611a5502df98c1d1248c261741a0513874112ab5adbcc74a8071a4e034	-	drat-trim VERIFIED
p199	9	UNSAT	227.631773	208	4151	d30c63063be3a51340a5398ceaf70db78f815145206966dec50a58fb83a5eca8	e279f3f69a0bc691e40e9eb4b35957a527608eece05a2cc5f94e5b17a29dbdda	-	drat-trim VERIFIED
