target	census_index	status	nodes	mapping	cnf_sha256
0	10	NO_MATCH	2	-	0a35835436a1e63be90c4f9755937e57008f1ac861879b00e2dd4f7273563c54
1	11	NO_MATCH	2	-	ddde7bccff4e6aac05a53d3e87482c1261cf18974469dc08c592e723905b899b
2	12	NO_MATCH	1	-	584195160876b9a86f2ae2a01872d275bc0f8483239ef3055691b98955843e6f
3	13	NO_MATCH	2	-	b1cc0d51519ad4c439a623035f500d6c2baa145fe6749f5fc03b048e9686f9c9
4	14	NO_MATCH	2	-	b3e64140ebd294961adf9e6656d8d17a5f9a2f07ee5ce0ba33e01a724973b060
5	15	NO_MATCH	1	-	955d66a3b54448241126d71a51c56405ef96742f6ecbf1e34bd59a88962a64fd
6	16	NO_MATCH	2	-	525221da23152cf62a13bde5afe6640a002aa4e16b59fe7b9c54ff4c65301118
7	17	NO_MATCH	2	-	5499375ecb3d3b0252fbe902d40fbefbf6cc5f6e3d950c8ddc65e8fe8e4ea89e
8	18	NO_MATCH	1	-	61d16f4ff571b245145b49d3b2eb5142bf14ffa89f6cf7685d486a00b0550f9c
9	19	NO_MATCH	2	-	70379933d77f40eb81ba0bf6b128fca45e2f45986ce568020003c4580f027652
10	474903	NO_MATCH	65	-	91e6b5ff3c09c674893e1295fe5160a160ba419cb4718707f2785bbafb75319d
11	474904	NO_MATCH	65	-	27e98121c448c271c48659a049d5a7e733eca765d390e590e6046e8ec17ecefd
12	474905	NO_MATCH	16	-	ff0d48f45f048c9bcbcb39733a3966fa49b199f9d11cd919481fd07787160e7d
13	474906	NO_MATCH	16	-	7ef8730d1aa5a54abcb9de7eb1631c7bbb4e2bc0c01a5a4b1084aded18e87d06
14	474907	NO_MATCH	16	-	a1879f7ad374e8aed240bd891a759c4678ec7712bc69c2ad00b317e498715d45
15	474908	NO_MATCH	5	-	59e76748f7061699030f092bc6a4e8000a5400436ffb95fc3da2b3da2308544b
16	474909	NO_MATCH	5	-	5ac36bdf6c7fc5de0edd3b4f2d98bf18a0ba8600cb8a0c7e4659d595a9748aa0
17	474910	NO_MATCH	2	-	7f7c1908273e294b68b43e4efc139c8ce4592e3ff6407d86924e5cb39be9aa84
18	474911	NO_MATCH	16	-	2e0ad233644693fd48cad6026a78f6d07641f27e0a20554a268324490f48528c
19	474912	NO_MATCH	5	-	9786d52afaf9e37e9dbc6d6ddfc5d5d5c4347676ee10913a01d27bd70505039c
20	949797	NO_MATCH	16	-	ec020d241f2d662b5b79dfb94033753874c7a3fcad3e6d9e1163fe903f8611f4
21	949798	NO_MATCH	65	-	311566cacc5e8590218f24d4d4034e97f5830cc29c8e74798690e6366c380c5c
22	949799	NO_MATCH	326	-	a18df8307fac354915ac82b387092ff81c6ec3401c268f808b9c378a9dc44ccc
23	949800	NO_MATCH	65	-	2b94517e0895cab1830f53b9315153e5ab3efaba44180f1184ec817fd495a97e
24	949801	NO_MATCH	16	-	4c47e6a8bd529a5d48c96e3b8b6b6af75ab244270af65f9122ceca4dcde93974
25	949802	NO_MATCH	16	-	f62e9a891c1c99cb3ad00db88bd8cf64b84dd84aaa19074f0782df2301d1ea5f
26	949803	NO_MATCH	65	-	0f7701b089bdd44c1f7845150e56fef88d002d0924dd7fd306dde5a478060ed3
27	949804	NO_MATCH	16	-	2cb91c52690d33e7ada63c72527b62bd91da8706c3ef9fe6a64b82387c4b81b0
28	949805	NO_MATCH	65	-	bfd288c62cf946af4345c92a78d8eda31b468a853737f961d0c43c6bfd700da9
29	949806	NO_MATCH	16	-	0521b65d58f07431848d691d75ac430272acfbc5a359b19372b872dbe0a99239
30	1424691	NO_MATCH	65	-	83bfaedf86ac5d04a51bfd09920692880e26db458abaca115ae5a759e3fdab73
31	1424692	NO_MATCH	16	-	7907b8f666d7cbc95b32b871f85ef8fe2cc0c8d21f1dadcb85370e856675f92c
32	1424693	NO_MATCH	65	-	4177ca5c827fb75dd6b36755bf214185d12afd697cf3436b1c3e88f6db78635d
33	1424694	NO_MATCH	65	-	369b2bdbc1923be37988cf7564c1cd3122059d957885a715eb79bb2e6a8093f8
34	1424695	NO_MATCH	16	-	0697a476bd7b8dccf1f2e43318b8acd5de1d31ccdc9822c82b0a8a219db3a90c
35	1424696	NO_MATCH	16	-	eb50b2773bcb2a5e2a22feb6944d3f3114da3d36060a40a9767a62f70af69799
36	1424697	NO_MATCH	65	-	0ab689698653e302c00b130b4f5a10fcb8224437ff1ddd05c8e31208c3a22c1d
37	1424698	NO_MATCH	65	-	b6fcb252bb9eef8bb3dde448783c09f58f59e8e4dc2a8af7b22771e40a80f892
38	1424699	NO_MATCH	8437	-	d40eceb545b9970b2a3c42c5826090466969775de75e2c577fffba5528ac2b2c
39	1424700	NO_MATCH	8437	-	2c51b8080d665caffe6c36d42ea51f7383034f6feca7a476894ff5514f6fa06c
40	1899585	NO_MATCH	326	-	74794cb8191853f0c78965e658371074a1fe0207e3a26ce2fef11e9680ed27ab
41	1899586	NO_MATCH	326	-	62d9dda57a5f841399e40a9a16c22c1d5e40a3c6d80c19665a53288c755f1279
42	1899587	NO_MATCH	326	-	555202a3550948abf2105190cc6db76f6efb8c3e9887346f3ccafc6707b37e44
43	1899588	NO_MATCH	9157	-	9adb990135bf484fb548687eaa8378897c0cb1a643d564d20f232d3bd26b5e01
44	1899589	NO_MATCH	65	-	f1b542beac7e789d72dc5af43c9e89dd4da9e7da9809215033ffee7626c9582a
45	1899590	NO_MATCH	65	-	285dd9559982e145f338aa4db5767b058dd8caeaccc45031605f8d3227b02310
46	1899591	NO_MATCH	326	-	ed1e9beee6768bc6f226614ad8c4178bdf0615784b3f113961196fdc0564c0f6
47	1899592	NO_MATCH	57620	-	f12fd9f85f6a304f14ee1b4866b43fbd675e7c6c3f512cefe238ed8d79ac8aac
48	1899593	NO_MATCH	8437	-	f13fb55656e158f8fafc9a2f0ee4ab54c51b7eb0529c7a704a39c49bb4f3fcbe
49	1899594	NO_MATCH	326	-	966cae18705e1dd349ada919031361f75fd7a4143780356aeb88801cbbb9e1e9
50	2374479	NO_MATCH	16	-	4711b8a1fc53c62ba0ca02ef3d194ab2b93af402db1a8a69a144175342134a53
51	2374480	NO_MATCH	326	-	834cd3be95b62dfe086056809af8c5053dba4328eb2ad8d75a66735f284a7aa1
52	2374481	NO_MATCH	65	-	bda9c4a16b26c9806ca6fb696dd855cb71c31877947fc01acd14f2cd25343991
53	2374482	NO_MATCH	326	-	315a088a4c72a13231df33662dc06d99be59aec9ad88ab8222a421ff064c084b
54	2374483	NO_MATCH	9157	-	02d44e51c5245e787a854b1652f7db03ad12f1439d7c6d2bf8f7a929a63c4813
55	2374484	NO_MATCH	16	-	6886af834749cb4162465994fff5cbb5189552cfbd289a88d4dfb217aaf41323
56	2374485	NO_MATCH	16	-	ef6e30eb74bea5a5ce37551a95a73f92b577ff05d7427b68751be6299a2b1057
57	2374486	NO_MATCH	16	-	ed6f8bbee3af6f9ce6f871f3a2b78e7a718d0f74aa208cd23b29c3c15a72ed78
58	2374487	NO_MATCH	65	-	c9173fdf82991efca082dc86df3d91d9f5a7c045021e090636248e56d86003bd
