original_clause	status	remaining_clauses	seconds
0	RETAIN_SAT	302	0.007084
1	RETAIN_SAT	302	0.008006
2	RETAIN_SAT	302	0.005888
3	RETAIN_SAT	302	0.005193
4	RETAIN_SAT	302	0.005487
5	RETAIN_SAT	302	0.005490
6	RETAIN_SAT	302	0.005490
7	RETAIN_SAT	302	0.005197
8	RETAIN_SAT	302	0.005164
9	RETAIN_SAT	302	0.005449
10	RETAIN_SAT	302	0.005277
11	RETAIN_SAT	302	0.005115
12	RETAIN_SAT	302	0.005054
13	RETAIN_SAT	302	0.005060
14	RETAIN_SAT	302	0.005670
15	RETAIN_SAT	302	0.005563
16	RETAIN_SAT	302	0.005620
17	RETAIN_SAT	302	0.005489
18	RETAIN_SAT	302	0.005762
19	RETAIN_SAT	302	0.005664
20	RETAIN_SAT	302	0.005214
21	RETAIN_SAT	302	0.005000
22	RETAIN_SAT	302	0.005424
23	RETAIN_SAT	302	0.005131
24	RETAIN_SAT	302	0.005140
25	RETAIN_SAT	302	0.005112
26	RETAIN_SAT	302	0.005227
27	RETAIN_SAT	302	0.005118
28	RETAIN_SAT	302	0.005136
29	RETAIN_SAT	302	0.005183
30	RETAIN_SAT	302	0.005020
31	RETAIN_SAT	302	0.005210
32	RETAIN_SAT	302	0.005134
33	RETAIN_SAT	302	0.005094
34	RETAIN_SAT	302	0.005237
35	RETAIN_SAT	302	0.005201
36	RETAIN_SAT	302	0.005274
37	RETAIN_SAT	302	0.005172
38	RETAIN_SAT	302	0.005270
39	RETAIN_SAT	302	0.005379
40	RETAIN_SAT	302	0.005115
41	RETAIN_SAT	302	0.005118
42	RETAIN_SAT	302	0.005197
43	RETAIN_SAT	302	0.005435
44	RETAIN_SAT	302	0.005216
45	RETAIN_SAT	302	0.005215
46	RETAIN_SAT	302	0.005361
47	RETAIN_SAT	302	0.005446
48	RETAIN_SAT	302	0.005606
49	RETAIN_SAT	302	0.005273
50	RETAIN_SAT	302	0.005350
51	RETAIN_SAT	302	0.005536
52	RETAIN_SAT	302	0.005403
53	RETAIN_SAT	302	0.005199
54	RETAIN_SAT	302	0.005657
55	RETAIN_SAT	302	0.005237
56	RETAIN_SAT	302	0.005714
57	RETAIN_SAT	302	0.005160
58	RETAIN_SAT	302	0.005443
59	RETAIN_SAT	302	0.005098
60	RETAIN_SAT	302	0.005065
61	RETAIN_SAT	302	0.005015
62	RETAIN_SAT	302	0.005445
63	RETAIN_SAT	302	0.005168
64	RETAIN_SAT	302	0.005182
65	RETAIN_SAT	302	0.005336
66	RETAIN_SAT	302	0.005360
67	RETAIN_SAT	302	0.005233
68	RETAIN_SAT	302	0.005428
69	RETAIN_SAT	302	0.005400
70	RETAIN_SAT	302	0.005323
71	RETAIN_SAT	302	0.005461
72	RETAIN_SAT	302	0.005317
73	RETAIN_SAT	302	0.005258
74	RETAIN_SAT	302	0.005171
75	RETAIN_SAT	302	0.005232
76	RETAIN_SAT	302	0.005235
77	RETAIN_SAT	302	0.005234
78	RETAIN_SAT	302	0.005329
79	RETAIN_SAT	302	0.005277
80	RETAIN_SAT	302	0.005220
81	RETAIN_SAT	302	0.005252
82	RETAIN_SAT	302	0.005468
83	RETAIN_SAT	302	0.005289
84	RETAIN_SAT	302	0.005543
85	RETAIN_SAT	302	0.005515
86	RETAIN_SAT	302	0.005180
87	RETAIN_SAT	302	0.005387
88	RETAIN_SAT	302	0.005266
89	RETAIN_SAT	302	0.005266
90	RETAIN_SAT	302	0.005295
91	RETAIN_SAT	302	0.005164
92	RETAIN_SAT	302	0.005202
93	RETAIN_SAT	302	0.005110
94	RETAIN_SAT	302	0.005182
95	RETAIN_SAT	302	0.005173
96	RETAIN_SAT	302	0.005334
97	RETAIN_SAT	302	0.005169
98	RETAIN_SAT	302	0.005072
99	RETAIN_SAT	302	0.005084
100	RETAIN_SAT	302	0.005304
101	RETAIN_SAT	302	0.005590
102	RETAIN_SAT	302	0.005394
103	RETAIN_SAT	302	0.005519
104	RETAIN_SAT	302	0.005229
105	RETAIN_SAT	302	0.005068
106	RETAIN_SAT	302	0.005036
107	RETAIN_SAT	302	0.005275
108	RETAIN_SAT	302	0.005034
109	RETAIN_SAT	302	0.005079
110	RETAIN_SAT	302	0.005045
111	RETAIN_SAT	302	0.005079
112	RETAIN_SAT	302	0.005214
113	RETAIN_SAT	302	0.005410
114	RETAIN_SAT	302	0.005191
115	RETAIN_SAT	302	0.005259
116	RETAIN_SAT	302	0.005124
117	RETAIN_SAT	302	0.005270
118	RETAIN_SAT	302	0.005272
119	RETAIN_SAT	302	0.005262
120	RETAIN_SAT	302	0.005397
121	RETAIN_SAT	302	0.005304
122	RETAIN_SAT	302	0.005465
123	RETAIN_SAT	302	0.005076
124	RETAIN_SAT	302	0.005048
125	RETAIN_SAT	302	0.005548
126	RETAIN_SAT	302	0.005527
127	RETAIN_SAT	302	0.005460
128	RETAIN_SAT	302	0.005358
129	RETAIN_SAT	302	0.005217
130	RETAIN_SAT	302	0.005516
131	RETAIN_SAT	302	0.005468
132	RETAIN_SAT	302	0.005291
133	RETAIN_SAT	302	0.005084
134	RETAIN_SAT	302	0.005107
135	RETAIN_SAT	302	0.005236
136	RETAIN_SAT	302	0.005391
137	RETAIN_SAT	302	0.005358
138	RETAIN_SAT	302	0.005550
139	RETAIN_SAT	302	0.005430
140	RETAIN_SAT	302	0.005226
141	RETAIN_SAT	302	0.005434
142	RETAIN_SAT	302	0.005471
143	RETAIN_SAT	302	0.005487
144	RETAIN_SAT	302	0.005648
145	RETAIN_SAT	302	0.005368
146	RETAIN_SAT	302	0.005440
147	RETAIN_SAT	302	0.005547
148	RETAIN_SAT	302	0.005658
149	RETAIN_SAT	302	0.005765
150	RETAIN_SAT	302	0.005994
151	RETAIN_SAT	302	0.005367
152	RETAIN_SAT	302	0.006108
153	RETAIN_SAT	302	0.005317
154	RETAIN_SAT	302	0.005214
155	RETAIN_SAT	302	0.005165
156	RETAIN_SAT	302	0.005149
157	RETAIN_SAT	302	0.006174
158	RETAIN_SAT	302	0.005349
159	RETAIN_SAT	302	0.006210
160	RETAIN_SAT	302	0.006036
161	RETAIN_SAT	302	0.005377
162	RETAIN_SAT	302	0.005077
163	RETAIN_SAT	302	0.005048
164	RETAIN_SAT	302	0.005101
165	RETAIN_SAT	302	0.004974
166	RETAIN_SAT	302	0.005018
167	RETAIN_SAT	302	0.005025
168	RETAIN_SAT	302	0.005009
