original_clause	status	remaining_clauses	seconds
0	RETAIN_CAP	2329	10.018457
1	RETAIN_CAP	2329	10.023083
2	RETAIN_CAP	2329	10.024171
3	RETAIN_CAP	2329	10.022290
4	RETAIN_CAP	2329	10.024799
5	RETAIN_CAP	2329	10.024613
6	RETAIN_CAP	2329	10.022209
7	RETAIN_CAP	2329	10.023423
8	RETAIN_CAP	2329	10.023182
9	RETAIN_CAP	2329	10.022864
10	RETAIN_CAP	2329	10.025497
11	RETAIN_CAP	2329	18.867743
12	RETAIN_CAP	2329	10.024606
13	RETAIN_CAP	2329	10.025132
14	RETAIN_CAP	2329	10.022770
15	RETAIN_CAP	2329	10.018365
16	RETAIN_CAP	2329	10.023681
17	RETAIN_CAP	2329	10.025697
18	RETAIN_CAP	2329	10.017965
19	RETAIN_CAP	2329	10.022570
20	RETAIN_CAP	2329	10.029954
21	RETAIN_CAP	2329	10.017339
22	RETAIN_CAP	2329	10.021172
23	RETAIN_CAP	2329	10.024446
24	RETAIN_CAP	2329	10.019374
25	RETAIN_CAP	2329	10.022112
26	RETAIN_CAP	2329	10.023550
27	RETAIN_CAP	2329	10.017348
28	RETAIN_CAP	2329	10.024650
29	RETAIN_CAP	2329	10.024823
30	RETAIN_CAP	2329	10.017734
31	RETAIN_CAP	2329	10.022804
32	RETAIN_CAP	2329	10.022829
33	RETAIN_CAP	2329	10.015353
34	RETAIN_CAP	2329	10.024803
35	RETAIN_CAP	2329	10.026497
36	RETAIN_CAP	2329	10.015752
37	RETAIN_CAP	2329	10.024067
38	RETAIN_CAP	2329	10.025275
39	RETAIN_CAP	2329	10.016043
40	RETAIN_CAP	2329	10.024807
41	RETAIN_CAP	2329	10.023598
42	RETAIN_CAP	2329	10.027772
43	RETAIN_CAP	2329	10.024338
44	RETAIN_CAP	2329	10.025577
45	RETAIN_CAP	2329	10.031861
46	RETAIN_CAP	2329	10.024059
47	RETAIN_CAP	2329	10.022498
48	RETAIN_CAP	2329	10.023776
49	RETAIN_CAP	2329	10.019687
50	RETAIN_CAP	2329	10.025869
51	RETAIN_CAP	2329	10.024760
52	RETAIN_CAP	2329	10.019735
53	RETAIN_CAP	2329	10.023629
54	RETAIN_CAP	2329	10.024749
55	RETAIN_CAP	2329	10.019167
56	RETAIN_CAP	2329	10.024265
57	RETAIN_CAP	2329	10.024899
58	RETAIN_CAP	2329	10.018976
59	RETAIN_CAP	2329	10.022240
60	RETAIN_CAP	2329	10.022801
61	RETAIN_CAP	2329	10.017735
62	RETAIN_CAP	2329	10.024179
63	RETAIN_CAP	2329	10.024251
64	RETAIN_CAP	2329	10.019100
65	RETAIN_CAP	2329	10.021409
66	RETAIN_CAP	2329	10.024097
67	RETAIN_CAP	2329	10.018528
68	RETAIN_CAP	2329	10.023290
69	RETAIN_CAP	2329	10.027625
70	RETAIN_CAP	2329	10.018051
71	RETAIN_CAP	2329	10.023435
72	RETAIN_CAP	2329	10.025862
73	RETAIN_CAP	2329	10.017012
74	RETAIN_CAP	2329	10.024337
75	RETAIN_CAP	2329	10.024659
76	RETAIN_CAP	2329	10.020732
77	RETAIN_CAP	2329	10.022261
78	RETAIN_CAP	2329	10.022312
79	RETAIN_CAP	2329	10.016415
80	RETAIN_CAP	2329	10.022773
81	RETAIN_CAP	2329	10.024575
82	RETAIN_CAP	2329	10.017229
83	RETAIN_CAP	2329	10.022966
84	RETAIN_CAP	2329	10.023948
85	RETAIN_CAP	2329	10.015367
86	RETAIN_CAP	2329	10.025102
87	RETAIN_CAP	2329	10.024841
88	RETAIN_CAP	2329	10.026169
89	RETAIN_CAP	2329	10.027738
90	RETAIN_CAP	2329	10.024374
91	RETAIN_CAP	2329	10.025144
92	RETAIN_CAP	2329	10.022547
93	RETAIN_CAP	2329	10.026202
94	RETAIN_CAP	2329	18.473040
95	RETAIN_CAP	2329	10.025003
96	RETAIN_CAP	2329	10.022922
97	RETAIN_CAP	2329	10.023266
98	RETAIN_CAP	2329	0.007752
99	RETAIN_CAP	2329	0.007554
100	RETAIN_CAP	2329	0.007437
101	RETAIN_CAP	2329	0.007543
102	RETAIN_CAP	2329	0.008225
103	RETAIN_CAP	2329	0.007910
104	RETAIN_CAP	2329	0.007406
105	RETAIN_CAP	2329	0.007492
106	RETAIN_CAP	2329	0.007326
107	RETAIN_CAP	2329	0.007890
108	RETAIN_CAP	2329	0.007757
109	RETAIN_CAP	2329	0.007882
110	RETAIN_CAP	2329	0.008014
111	RETAIN_CAP	2329	0.009184
