base_index	leaf_ordinal	target_clause_index
0	41	1268
0	49	1334
0	56	1312
0	62	1218
0	67	1326
0	71	1362
0	74	1254
0	76	1276
0	77	1370
0	119	1268
0	127	1334
0	134	1312
0	140	1218
0	145	1326
0	149	1362
0	152	1254
0	154	1276
0	155	1370
0	197	1268
0	205	1334
0	212	1312
0	218	1218
0	223	1326
0	227	1362
0	230	1254
0	232	1276
0	233	1370
0	275	1268
0	283	1334
0	290	1312
0	296	1218
0	301	1326
0	305	1362
0	308	1254
0	310	1276
0	311	1370
0	353	1268
0	361	1334
0	368	1312
0	374	1218
0	379	1326
0	383	1362
0	386	1254
0	388	1276
0	389	1370
0	431	1268
0	439	1334
0	446	1312
0	452	1218
0	457	1326
0	461	1362
0	464	1254
0	466	1276
0	467	1370
0	509	1268
0	517	1334
0	524	1312
0	530	1218
0	535	1326
0	539	1362
0	542	1254
0	544	1276
0	545	1370
0	587	1268
0	595	1334
0	602	1312
0	608	1218
0	613	1326
0	617	1362
0	620	1254
0	622	1276
0	623	1370
0	665	1268
0	673	1334
0	680	1312
0	686	1218
0	691	1326
0	695	1362
0	698	1254
0	700	1276
0	701	1370
0	743	1268
0	751	1334
0	758	1312
0	764	1218
0	769	1326
0	773	1362
0	776	1254
0	778	1276
0	779	1370
0	821	1268
0	829	1334
0	836	1312
0	842	1218
0	847	1326
0	851	1362
0	854	1254
0	856	1276
0	857	1370
0	899	1268
0	907	1334
0	914	1312
0	920	1218
0	925	1326
0	929	1362
0	932	1254
0	934	1276
0	935	1370
0	977	1268
0	985	1334
0	992	1312
0	998	1218
0	1003	1326
0	1007	1362
0	1010	1254
0	1012	1276
0	1013	1370
0	1055	1268
0	1063	1334
0	1070	1312
0	1076	1218
0	1081	1326
0	1085	1362
0	1088	1254
0	1090	1276
0	1091	1370
0	1133	1268
0	1141	1334
0	1148	1312
0	1154	1218
0	1159	1326
0	1163	1362
0	1166	1254
0	1168	1276
0	1169	1370
0	1211	1268
0	1219	1334
0	1226	1312
0	1232	1218
0	1237	1326
0	1241	1362
0	1244	1254
0	1246	1276
0	1247	1370
0	1289	1268
0	1297	1334
0	1304	1312
0	1310	1218
0	1315	1326
0	1319	1362
0	1322	1254
0	1324	1276
0	1325	1370
0	1367	1268
0	1375	1334
0	1382	1312
0	1388	1218
0	1393	1326
0	1397	1362
0	1400	1254
0	1402	1276
0	1403	1370
0	1445	1268
0	1453	1334
0	1460	1312
0	1466	1218
0	1471	1326
0	1475	1362
0	1478	1254
0	1480	1276
0	1481	1370
0	1523	1268
0	1531	1334
0	1538	1312
0	1544	1218
0	1549	1326
0	1553	1362
0	1556	1254
0	1558	1276
0	1559	1370
0	1601	1268
0	1609	1334
0	1616	1312
0	1622	1218
0	1627	1326
0	1631	1362
0	1634	1254
0	1636	1276
0	1637	1370
0	1679	1268
0	1687	1334
0	1694	1312
0	1700	1218
0	1705	1326
0	1709	1362
0	1712	1254
0	1714	1276
0	1715	1370
0	1757	1268
0	1765	1334
0	1772	1312
0	1778	1218
0	1783	1326
0	1787	1362
0	1790	1254
0	1792	1276
0	1793	1370
0	1835	1268
0	1843	1334
0	1850	1312
0	1856	1218
0	1861	1326
0	1865	1362
0	1868	1254
0	1870	1276
0	1871	1370
0	1913	1268
0	1921	1334
0	1928	1312
0	1934	1218
0	1939	1326
0	1943	1362
0	1946	1254
0	1948	1276
0	1949	1370
0	1991	1268
0	1999	1334
0	2006	1312
0	2012	1218
0	2017	1326
0	2021	1362
0	2024	1254
0	2026	1276
0	2027	1370
0	2069	1268
0	2077	1334
0	2084	1312
0	2090	1218
0	2095	1326
0	2099	1362
0	2102	1254
0	2104	1276
0	2105	1370
0	2147	1268
0	2155	1334
0	2162	1312
0	2168	1218
0	2173	1326
0	2177	1362
0	2180	1254
0	2182	1276
0	2183	1370
0	2225	1268
0	2233	1334
0	2240	1312
0	2246	1218
0	2251	1326
0	2255	1362
0	2258	1254
0	2260	1276
0	2261	1370
0	2303	1268
0	2311	1334
0	2318	1312
0	2324	1218
0	2329	1326
0	2333	1362
0	2336	1254
0	2338	1276
0	2339	1370
0	2381	1268
0	2389	1334
0	2396	1312
0	2402	1218
0	2407	1326
0	2411	1362
0	2414	1254
0	2416	1276
0	2417	1370
0	2459	1268
0	2467	1334
0	2474	1312
0	2480	1218
0	2485	1326
0	2489	1362
0	2492	1254
0	2494	1276
0	2495	1370
0	2537	1268
0	2545	1334
0	2552	1312
0	2558	1218
0	2563	1326
0	2567	1362
0	2570	1254
0	2572	1276
0	2573	1370
0	2615	1268
0	2623	1334
0	2630	1312
0	2636	1218
0	2641	1326
0	2645	1362
0	2648	1254
0	2650	1276
0	2651	1370
0	2693	1268
0	2701	1334
0	2708	1312
0	2714	1218
0	2719	1326
0	2723	1362
0	2726	1254
0	2728	1276
0	2729	1370
0	2771	1268
0	2779	1334
0	2786	1312
0	2792	1218
0	2797	1326
0	2801	1362
0	2804	1254
0	2806	1276
0	2807	1370
0	2849	1268
0	2857	1334
0	2864	1312
0	2870	1218
0	2875	1326
0	2879	1362
0	2882	1254
0	2884	1276
0	2885	1370
0	2927	1268
0	2935	1334
0	2942	1312
0	2948	1218
0	2953	1326
0	2957	1362
0	2960	1254
0	2962	1276
0	2963	1370
0	3005	1268
0	3013	1334
0	3020	1312
0	3026	1218
0	3031	1326
0	3035	1362
0	3038	1254
0	3040	1276
0	3041	1370
0	3083	1268
0	3091	1334
0	3098	1312
0	3104	1218
0	3109	1326
0	3113	1362
0	3116	1254
0	3118	1276
0	3119	1370
0	3161	1268
0	3169	1334
0	3176	1312
0	3182	1218
0	3187	1326
0	3191	1362
0	3194	1254
0	3196	1276
0	3197	1370
0	3239	1268
0	3247	1334
0	3254	1312
0	3260	1218
0	3265	1326
0	3269	1362
0	3272	1254
0	3274	1276
0	3275	1370
0	3317	1268
0	3325	1334
0	3332	1312
0	3338	1218
0	3343	1326
0	3347	1362
0	3350	1254
0	3352	1276
0	3353	1370
0	3395	1268
0	3403	1334
0	3410	1312
0	3416	1218
0	3421	1326
0	3425	1362
0	3428	1254
0	3430	1276
0	3431	1370
0	3473	1268
0	3481	1334
0	3488	1312
0	3494	1218
0	3499	1326
0	3503	1362
0	3506	1254
0	3508	1276
0	3509	1370
0	3551	1268
0	3559	1334
0	3566	1312
0	3572	1218
0	3577	1326
0	3581	1362
0	3584	1254
0	3586	1276
0	3587	1370
0	3629	1268
0	3637	1334
0	3644	1312
0	3650	1218
0	3655	1326
0	3659	1362
0	3662	1254
0	3664	1276
0	3665	1370
0	3707	1268
0	3715	1334
0	3722	1312
0	3728	1218
0	3733	1326
0	3737	1362
0	3740	1254
0	3742	1276
0	3743	1370
0	3785	1268
0	3793	1334
0	3800	1312
0	3806	1218
0	3811	1326
0	3815	1362
0	3818	1254
0	3820	1276
0	3821	1370
0	3863	1268
0	3871	1334
0	3878	1312
0	3884	1218
0	3889	1326
0	3893	1362
0	3896	1254
0	3898	1276
0	3899	1370
0	3941	1268
0	3949	1334
0	3956	1312
0	3962	1218
0	3967	1326
0	3971	1362
0	3974	1254
0	3976	1276
0	3977	1370
0	4019	1268
0	4027	1334
0	4034	1312
0	4040	1218
0	4045	1326
0	4049	1362
0	4052	1254
0	4054	1276
0	4055	1370
0	4097	1268
0	4105	1334
0	4112	1312
0	4118	1218
0	4123	1326
0	4127	1362
0	4130	1254
0	4132	1276
0	4133	1370
0	4175	1268
0	4183	1334
0	4190	1312
0	4196	1218
0	4201	1326
0	4205	1362
0	4208	1254
0	4210	1276
0	4211	1370
0	4253	1268
0	4261	1334
0	4268	1312
0	4274	1218
0	4279	1326
0	4283	1362
0	4286	1254
0	4288	1276
0	4289	1370
0	4331	1268
0	4339	1334
0	4346	1312
0	4352	1218
0	4357	1326
0	4361	1362
0	4364	1254
0	4366	1276
0	4367	1370
0	4409	1268
0	4417	1334
0	4424	1312
0	4430	1218
0	4435	1326
0	4439	1362
0	4442	1254
0	4444	1276
0	4445	1370
0	4487	1268
0	4495	1334
0	4502	1312
0	4508	1218
0	4513	1326
0	4517	1362
0	4520	1254
0	4522	1276
0	4523	1370
0	4565	1268
0	4573	1334
0	4580	1312
0	4586	1218
0	4591	1326
0	4595	1362
0	4598	1254
0	4600	1276
0	4601	1370
0	4643	1268
0	4651	1334
0	4658	1312
0	4664	1218
0	4669	1326
0	4673	1362
0	4676	1254
0	4678	1276
0	4679	1370
0	4721	1268
0	4729	1334
0	4736	1312
0	4742	1218
0	4747	1326
0	4751	1362
0	4754	1254
0	4756	1276
0	4757	1370
0	4799	1268
0	4807	1334
0	4814	1312
0	4820	1218
0	4825	1326
