base_index	matches	candidate_clauses
0	702	456
1	468	408
2	234	384
3	312	336
4	312	324
5	468	312
6	468	384
7	546	360
8	546	456
9	702	480
10	234	336
11	390	384
12	234	360
13	390	396
14	312	336
15	390	372
16	312	360
17	390	372
18	234	348
19	312	396
20	390	384
21	390	348
22	468	348
23	624	408
24	546	324
25	468	348
26	390	420
27	390	360
28	468	408
29	312	372
30	390	360
31	312	360
32	390	312
33	546	336
34	546	360
35	234	360
36	390	384
37	312	372
38	390	384
39	468	408
40	234	444
41	156	396
42	312	408
43	78	444
44	234	420
45	156	444
46	78	456
47	234	444
48	156	444
49	78	480
50	390	348
51	156	324
52	234	324
53	156	336
54	312	420
55	156	348
56	390	384
57	234	336
58	234	288
59	234	360
60	312	300
61	312	240
62	156	324
63	156	348
64	468	348
65	390	480
66	312	396
67	234	396
68	234	336
69	312	456
70	468	408
71	312	396
72	468	492
73	390	372
74	390	408
75	468	468
76	156	408
77	234	420
78	234	372
79	156	396
80	468	396
81	468	372
82	312	420
83	468	432
84	234	372
85	234	360
86	234	276
87	234	384
88	624	420
89	312	408
90	546	384
91	234	312
92	468	384
93	0	240
94	390	288
95	468	348
96	312	396
97	468	336
98	624	408
99	546	384
