base_index	leaf_ordinal	status	objective	source_clauses	weights	support	denominator	W	U	coordinate_maxima	detail
4	0	CERTIFIED_DEFICIT	0.83333333333329218	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	1	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	2	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	3	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	4	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	5	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	6	CERTIFIED_DEFICIT	0.83333333333333326	1400,1428,1554,1862,2394,2492	683,683,683,683,683,683	6	4096	4098	3415	0,0,683,0,683,683,683,0,0,0,683,0,0	exact integerized weighted deficit
4	7	CERTIFIED_DEFICIT	0.7619047619047622	1241,1255,1271,1315,1359,1521,1551,1625,1639,1653,1655,1713,1727,1833,1861,1875,1919,1929,1935,1943,2025,2071,2111,2125,2167,2259,2333,2347,2361,2437,2449,2451,2523,2553,2565	105,177,92,267,41,165,194,175,274,33,331,85,52,98,129,2,83,98,230,79,98,80,48,151,18,149,21,12,10,19,124,298,6,257,98	35	4096	4099	3130	684,0,0,0,0,0,0,0,98,586,588,587,587	exact integerized weighted deficit
4	8	CERTIFIED_DEFICIT	0.5952380952380959	1237,1317,1357,1475,1555,1635,1755,1833,1873,2033,2113,2153,2231,2271,2351,2431,2511,2551	98,488,98,488,98,98,98,98,488,98,488,98,98,488,98,98,488,98	18	4096	4104	2448	684,0,0,0,0,0,0,0,0,0,588,588,588	exact integerized weighted deficit
4	9	CERTIFIED_DEFICIT	0.50000000000000022	1233,1243,1387,1405,1443,1531,1549,1697,1747,1769,1819,1891,1929,1947,2095,2183,2239,2543,2565	195,390,98,98,98,488,195,98,98,98,390,98,390,488,98,98,98,98,488	19	4096	4102	2055	684,0,0,0,0,0,0,0,0,0,196,587,588	exact integerized weighted deficit
