base_index	leaf_ordinal	status	source_clauses	weights	W	U	coordinate_maxima	pool_size
4	0	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	1	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	2	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	3	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	4	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	5	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	6	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	7	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	8	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	9	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	10	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	11	CERTIFIED_DEFICIT	1299,1405	1,1	2	1	1,0,0,0,0,0,0,0,0,0,0,0,0	24
4	12	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	13	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	14	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	15	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	16	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	17	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	18	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	19	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	20	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	21	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	22	CERTIFIED_DEFICIT	1299,1405	1,1	2	1	0,1,0,0,0,0,0,0,0,0,0,0,0	24
4	23	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	24	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	25	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	26	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	27	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	28	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	29	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	30	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	31	CERTIFIED_DEFICIT	1233,1313,1331	1,1,1	3	2	0,0,1,0,0,0,0,0,0,0,0,0,1	24
4	32	CERTIFIED_DEFICIT	1299,1387	1,1	2	1	0,0,1,0,0,0,0,0,0,0,0,0,0	24
4	33	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	34	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	35	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	36	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	37	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	38	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	39	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	40	CERTIFIED_DEFICIT	1367,1425	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	41	CERTIFIED_DEFICIT	1269,1283	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	42	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	43	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	44	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	45	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	46	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	47	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	48	CERTIFIED_DEFICIT	1233,1291,1313	1,1,1	3	2	0,0,0,0,1,0,0,0,0,0,0,0,1	24
4	49	CERTIFIED_DEFICIT	1265,1335	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	50	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	51	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	52	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	53	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	54	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	55	CERTIFIED_DEFICIT	1199,1205,1207	1,1,1	3	2	0,0,0,0,0,0,0,0,0,0,0,1,1	24
4	56	CERTIFIED_DEFICIT	1219	1	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0	0
4	57	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	58	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	59	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	60	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	61	CERTIFIED_DEFICIT	1327,1465	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	62	CERTIFIED_DEFICIT	1259	1	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0	0
4	63	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	64	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	65	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	66	CERTIFIED_DEFICIT	1273,1671	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	67	CERTIFIED_DEFICIT	1235,1249	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
4	68	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	69	UNCOVERED			0	0	0,0,0,0,0,0,0,0,0,0,0,0,0	24
4	70	CERTIFIED_DEFICIT	1255,1537	1,1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,1	24
