base_index	leaf_ordinal	status	left_counts	left_hashes	right_counts	right_hashes	left_path	left_sha256	right_path	right_sha256	generated_children	query_checks	seconds	detail
4	78	CAP	6,36,252,3528,49248,0,0	0a5f6263e96426fc6a2bb46c2c8a252f82c3dc600af002baf122ccd8299c3398,6ad5763b4a40fc7be9f88b39d94b3a6019a2f51511ea8bfc99c99b8e7acdea8c,d29b50a5e9fff9e862d092f330b70e6a9fc0e7fe717a981d68343974bf1bc44b,fca388c0943632a95e30292f319a6f48018004f0bd33d4d836495ec7414ddb6f,2f0be2402cafa5152886932268f270bd1cb70a8dd788455a4f3e5bb140f2cc13,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	594942	0	5228.83	left: aggregate wall cap
4	79	CAP	6,6,36,504,7050,98700,0	0a5f6263e96426fc6a2bb46c2c8a252f82c3dc600af002baf122ccd8299c3398,4ba1fe9be3bfb59496009d110bdd08bbebdebb114ba7b17b54fe69ca2a1d6abc,c43fd1b3cea95643214f43b469a41ca6dae32f06d9fd2873ebdbfbfae915c23d,dda6aa65c6712ebafe299547ea64ce46a1fd103d8dd6be889cfcbe2c91fad34d,09f0ff115f82b2ed1d2310aeffbad2ee7edeb2c8f8c93680e0c0941bf1df50a1,a1efcbb4e11edbdd2c1974fa83ba3ba33c9576e219bacac0ebf9f724c5364a57,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	698508	0	5635.63	left: aggregate wall cap
4	80	CAP	6,6,6,72,1008,14112,197496	0a5f6263e96426fc6a2bb46c2c8a252f82c3dc600af002baf122ccd8299c3398,4ba1fe9be3bfb59496009d110bdd08bbebdebb114ba7b17b54fe69ca2a1d6abc,29732f4b25283d6b6694d2e71a73fc633027e7775ef4c95d8e30ff8da56ddd5d,c3cc821cad699bc77729a28379c670df51c30aae376da81533528b03d79020c4,2ade64bc768b001e8e7843d480728ad2bdfe80519b5c9ea9ed2fc6a57ab2c730,c406777b57cfdc89284cf05b0638a4bc526efc6eef7f63503b682f6ba088f79f,7c39faa9361cc57cef09e6b39f6a7361d2baace366002baa225fbe7cb032b92a	14,196,2744,38416,0,0	69e49c4506ecd5da5341ef7527b341673467e5f552ad4907ea4b215a20c097d0,dd123ae4c441a7bdf1a63f8468b37b4c510e277be9b7ad96365ff36c63f10bea,12f7a93f7d2fb2a25875e4f5cd5cba79bbbc0effe3ee1f65097c76988c5149c3,1ae82fb58585fb672aef3a0c03c9652df8ca7b7ce76fcef616cd6db9bb0ed2eb,-,-	-	-	-	-	638308	0	4309.14	right: aggregate wall cap
4	81	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.234e-05	left: aggregate wall cap
4	82	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	2.641e-06	left: aggregate wall cap
4	83	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.98e-06	left: aggregate wall cap
4	90	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	2.03e-06	left: aggregate wall cap
4	91	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.87e-06	left: aggregate wall cap
4	92	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.62e-06	left: aggregate wall cap
4	93	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
