family	index	p	c	predicate_comparisons	cnf_sha256
h11	0	11	4	528	852d788281d4cf4f4f3a5f6b6f7bd6d697cef15a08a02ce6d6a91a220163eedf
h11	1	11	4	528	b3fbb61a056854f6839a70a461ca522c02ec978f6164f8b128e650c3f5ec23b9
h11	2	11	4	528	078d22eda5d0b311561955f8fd5b716163f64b9693a5e620a3a1dba905fd4664
h11	3	11	4	528	44ab7cd53849ffe3b90c22836159035032b009616c644c02bbe968aa787659d6
h11	4	11	4	528	d4e045eba102ad4dbb674c63d5b95dd53a0ed5bf080a72f5b5fae65dbbc0498e
h11	5	11	4	528	b885b815f10d99ad08a184c5b24a5f580e35df31d794ed272362a29d5a2acf20
h11	6	11	4	528	99a965da6e1e16ed20cfb00a372b34ef6a5199873b2e48ac9c2bc432aa4c8392
h11	7	11	4	528	363e1b5608cd1d82ce0aa9e4cf0d7b20040c8772e47e12ccae6d963466506017
h11	8	11	4	528	d2e3504f1a01cf42bd7c2257f72f76a6e4285f65ab0ae09db537a9b32dc415dd
h11	9	11	4	528	abff956ad83733808ccfc4e83dfa7e759a96de7220d7ea573311818ee72b8d64
h11	10	11	4	528	9437e99bdd244acece2ff486f605c0acf92a771f01c24391d3e5b1dc0540442e
h11	11	11	4	528	8eea84434f252702f104ce5bed060f335303196f354574972e845f2e50deef4b
h11	12	11	4	528	cc75ec2f16b48817d0682f2d62f3869bf2ebd1c1efec26d4d07a9f201734d9fc
h11	13	11	4	528	86c2bd3040fa76d8aa927d2a1ded7f8ea7135f0749706dd575d72a45b009c1aa
h11	14	11	4	528	c9fcf4f7b30a4c3fc8b17dc2268212262175c276b8648230950b0956bf8333f9
h11	15	11	4	528	05b986dd6da5dcef190fc6168e9aae153216cb2af6c0f09d2c5c4b433a13e633
h11	16	11	4	528	a2af10a77940c9a22f6dbc7a2d7b27e567c2af308f42eb44302fd81a732abd40
h11	17	11	4	528	4a004793728a474290019a342158e0c5b08ec5f8e054c5ddce2621bfebeb11b3
h11	18	11	4	528	c50c9d297a8f920a7973ec5f882ec36b137b80e08619e134ecbe98eb5ace769a
h11	19	11	4	528	3d47c9948c40e35b9026478e4d3e183585224582669a0f70cef986528dce2796
h11	20	11	4	528	c87757c28c435983e8b81ddb795e2bb484c8007ffdc1bb9e05b5c830b5fe2b8a
h11	21	11	4	528	39368caf20a790f731f81564ba60b96e80d3b1b34c730669f2f3d7cf2bdc75fb
h11	22	11	4	528	e6dae4759ca68e1c8c11f3e41c6446e96a060a5bbc8b6328009f284dca070dad
h11	23	11	4	528	3fb3739a148d9ac27a642afdd95e76141551bf50f45e1894126c7282bfccf967
h11	24	11	4	528	9d477a142e2dc59966f8e2050b9465b037cc6dec7f450a3edf2ccd8fe28b371a
h11	25	11	4	528	8d532f336bf1793a6aa6c5075f8c0779f50f9bd4a8c86d7044ced762e12848d4
h11	26	11	4	528	b87a82ce69f1c29fd31278241c4c4314b1562904984e71b73c97c2d807983e66
h11	27	11	4	528	17762568645629d4b9ba216f82cdae4ad2a7ab6a110074dfa7f9533ddfda70fa
h11	28	11	4	528	44ae470d51a66b5407ea5f0d5fd0ec72a08105cb35c15af7d598ffefb8998630
h11	29	11	4	528	31fa20f2fb730f44e89c9dab5ab509fc71dccd15df1ae01dd11acb3e17c56e61
h11	30	11	4	528	a60a793b5429a3007f641f0cbca391a765d46382eb3594d5f264ab7a1b0112b9
h11	31	11	4	528	0bf5852326720f3f0dbb0d8ce6ee462eaf84c89e42302459c2627913953e5b6b
h11	32	11	4	528	41568400fa0561a9dd6d4710f9e4dc8c6c38c2ecbc6dbcf09d2b79119b810fb1
h11	33	11	4	528	57164af336b3f46216d650da224f774bdeedef3aee4b60e9adcf06553ecbaec9
h11	34	11	4	528	b39eefcead61391696edf30de6642272de3bff20090471858bdbaf15372c7791
h11	35	11	4	528	dbf7bdde28bcde0194a03609c9efd72cb5d8d9012ba4ed37013f7699391c385d
h11	36	11	4	528	bce454b944f450ba440ffcea97f24db2bc30f21e00c15a72716d360c31faff36
h11	37	11	4	528	ea24ca6431e9b56e247a561dab29304e04450259f9efe76fc775b75359feba20
h11	38	11	4	528	d7da0ea7be6b400d7254d6debffa5a8cc798f745f17b8d852ec55aa647838734
h11	39	11	4	528	9d55295029b10a367f274c353d2c0d1c42bf18e09cafcf338d522960a5a0d390
h11	40	11	4	528	5adabece2a7de812b5a1c1303682d32c2f8ee5273fc5c1f555885d84eabfaf44
h11	41	11	4	528	736d760ec1a644ad5bbe13fd221423af74d253ae62b9657aa236e90696a9b781
h11	42	11	4	528	63e0f26d30406b0f176a42ce4ca5841463d8470198fb264ae2112cfa1fd95e33
h11	43	11	4	528	fd2db9f1c0913aa0431c79066ab1f6b5e3a1882d87bed068d0dc81011d4b534f
h11	44	11	4	528	b59b283b396a3bcec487c18358123eeec67c2363a583b829a9256840e3dc2fb3
h11	45	11	4	528	4ed46ca99c1a69e231312eaace1cc0a7ba12ddef8044e54d0b12a1e450fd2eeb
h11	46	11	4	528	ac65a83ed95c240baa6026ea0eb97eeaf89bb152e022cc394f2262fe86e9874a
h11	47	11	4	528	5cb8638a0cc6773ab6fa52e00cd2b76a864a8929739c62ace00872fb7246680f
h11	48	11	4	528	6e13d20c8e61bc527f653cbe35e35b7e32a8b8a32b5742907227f0f2b8650066
h11	49	11	4	528	82c950554b802eb597bb35ecba9668e18be0801f79a89537a191063c4a7477ec
h11	50	11	4	528	9036483de10c696ab1dfdd7fdcc0f979f055fdf7804e9b3409dc583d2f681e18
h11	51	11	4	528	9f6afc42f43bbdc81f06806b56cb14e750c9e9eb6cb97695991c926d4273b3c2
h11	52	11	4	528	6b4e55adb590542547d5a8557bc2ab51e1fd0f03870dc65085fb96e7ff60d1a8
h11	53	11	4	528	be01d5fecc9953c9ca02cacca5b37c1426044afa36e26c7809412940b542e53f
h11	54	11	4	528	08ef9fe45aa2b31270c95247b9631941d668e65a277a567d5ec281fbc2e8a2c7
h11	55	11	4	528	8dcf90d370550e5a5fa4f559f912fd82cef2f77c2fa93b54de82e6598d3c9ebf
h11	56	11	4	528	7ad24fba1c2fd7c06207d2bc38ec6a935eb0d8c94be04542dad07c07bb09abd2
h11	57	11	4	528	e99e2a7aefa9fb6b4d9a5c63f0e64bed3e23c2541326f39df1fa006db29dd6db
h11	58	11	4	528	dcad1b195058c6d315a4c861f03878bc4fba6874231d4e8f0ab3663fa32e2b26
h11	59	11	4	528	237d7c27c0255bea0b5bc4f2ee6e9dfa0124fa0d1962419ce9da0cae34ff18f0
h11	60	11	4	528	422410a9148a1e64f82d2c7c137ca0ab6046ecdd61fff61e3f34486cdd24cbd6
h11	61	11	4	528	c9904fa8ef7bdf57a066185e75ad8d1801b27e232e90af778d30c7025b4e3812
h11	62	11	4	528	c87fe725f25fcbfcb5fa5784163eadbe3b6007d4d79d6108b23f259a144a8924
h11	63	11	4	528	d51b8831d7a90f9ca909a0f60a3376d799ef1c7f0c6eda034b65720dc5e837cf
h11	64	11	4	528	1f9a7324396799f5b2c954a2dabfce6cdb414677177aeb4ad830be603bba7cc9
h11	65	11	4	528	08c5686cef9dea17bf4effe3aba3ca1929477d4b2fdd624fe6cd8cdeeba74170
h11	66	11	4	528	b3dbddaba0f3fc4f53832ae548351e849929aad62c48324d4d6748325eefa38e
h11	67	11	4	528	c41725ea0b9c2f4f393e66766d6ca94d20d7c29341488c18339841255bf7a225
h11	68	11	4	528	75ea5b5d5bc1c0421731f3e49daa9994cbb140b423af159a60ee530f3e4a0c02
