base_index	leaf_ordinal	status	four_block	partition	source_clauses	weights	support	W	U	block_maxima	partitions_tested	blocks_evaluated	maximum_antichain_states	detail
4	78	CAP					0	0	0		339	407	16464	aggregate wall cap
4	79	CAP					0	0	0		472	544	16464	aggregate wall cap
4	80	CAP					0	0	0		529	602	30408	aggregate wall cap
4	81	CAP					0	0	0		0	0	1	aggregate wall cap
4	82	CAP					0	0	0		0	0	1	aggregate wall cap
4	90	CAP					0	0	0		0	0	1	aggregate wall cap
4	91	CAP					0	0	0		0	0	1	aggregate wall cap
4	92	CAP					0	0	0		0	0	1	aggregate wall cap
4	93	CAP					0	0	0		0	0	1	aggregate wall cap
4	101	CAP					0	0	0		0	0	1	aggregate wall cap
4	102	CAP					0	0	0		0	0	1	aggregate wall cap
4	103	CAP					0	0	0		0	0	1	aggregate wall cap
4	111	CAP					0	0	0		0	0	1	aggregate wall cap
4	112	CAP					0	0	0		0	0	1	aggregate wall cap
4	120	CAP					0	0	0		0	0	1	aggregate wall cap
4	936	CAP					0	0	0		0	0	1	aggregate wall cap
4	937	CAP					0	0	0		0	0	1	aggregate wall cap
4	938	CAP					0	0	0		0	0	1	aggregate wall cap
4	939	CAP					0	0	0		0	0	1	aggregate wall cap
4	940	CAP					0	0	0		0	0	1	aggregate wall cap
4	948	CAP					0	0	0		0	0	1	aggregate wall cap
4	949	CAP					0	0	0		0	0	1	aggregate wall cap
4	950	CAP					0	0	0		0	0	1	aggregate wall cap
4	951	CAP					0	0	0		0	0	1	aggregate wall cap
4	959	CAP					0	0	0		0	0	1	aggregate wall cap
4	960	CAP					0	0	0		0	0	1	aggregate wall cap
4	961	CAP					0	0	0		0	0	1	aggregate wall cap
4	969	CAP					0	0	0		0	0	1	aggregate wall cap
4	970	CAP					0	0	0		0	0	1	aggregate wall cap
4	978	CAP					0	0	0		0	0	1	aggregate wall cap
3	78	CAP					0	0	0		0	0	1	aggregate wall cap
3	79	CAP					0	0	0		0	0	1	aggregate wall cap
3	80	CAP					0	0	0		0	0	1	aggregate wall cap
3	81	CAP					0	0	0		0	0	1	aggregate wall cap
3	82	CAP					0	0	0		0	0	1	aggregate wall cap
3	90	CAP					0	0	0		0	0	1	aggregate wall cap
3	91	CAP					0	0	0		0	0	1	aggregate wall cap
3	92	CAP					0	0	0		0	0	1	aggregate wall cap
3	93	CAP					0	0	0		0	0	1	aggregate wall cap
3	101	CAP					0	0	0		0	0	1	aggregate wall cap
3	102	CAP					0	0	0		0	0	1	aggregate wall cap
3	103	CAP					0	0	0		0	0	1	aggregate wall cap
3	111	CAP					0	0	0		0	0	1	aggregate wall cap
3	112	CAP					0	0	0		0	0	1	aggregate wall cap
3	120	CAP					0	0	0		0	0	1	aggregate wall cap
3	936	CAP					0	0	0		0	0	1	aggregate wall cap
3	937	CAP					0	0	0		0	0	1	aggregate wall cap
3	938	CAP					0	0	0		0	0	1	aggregate wall cap
3	939	CAP					0	0	0		0	0	1	aggregate wall cap
3	940	CAP					0	0	0		0	0	1	aggregate wall cap
3	948	CAP					0	0	0		0	0	1	aggregate wall cap
3	949	CAP					0	0	0		0	0	1	aggregate wall cap
3	950	CAP					0	0	0		0	0	1	aggregate wall cap
3	951	CAP					0	0	0		0	0	1	aggregate wall cap
3	959	CAP					0	0	0		0	0	1	aggregate wall cap
3	960	CAP					0	0	0		0	0	1	aggregate wall cap
3	961	CAP					0	0	0		0	0	1	aggregate wall cap
3	969	CAP					0	0	0		0	0	1	aggregate wall cap
3	970	CAP					0	0	0		0	0	1	aggregate wall cap
3	978	CAP					0	0	0		0	0	1	aggregate wall cap
