base_index	leaf_ordinal	status	partition_rank	partition	source_base	source_leaf	source_clauses	weights	support	W	U	block_maxima	trials	detail
4	78	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	79	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	80	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	81	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	82	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	90	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	91	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	92	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	93	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	101	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	102	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	103	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	111	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	112	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	120	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	936	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	937	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	938	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	939	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	940	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	948	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	949	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	950	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	951	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	952	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	959	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	960	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	961	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	969	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	970	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
4	978	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	78	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	79	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	80	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	81	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	82	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	90	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	91	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	92	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	93	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	101	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	102	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	103	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	111	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	112	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	120	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	936	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	937	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	938	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	939	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	940	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	948	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	949	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	950	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	951	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	959	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	960	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	961	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	969	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	970	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
3	978	UNRESOLVED	-1		-1	-1			0	0	0		150	no transferred weight produced a deficit
