base_index	leaf_ordinal	status	oracle_score	partition	source_clauses	weights	support	W	U	block_maxima	candidate_partitions	detail
4	78	NEED_LP	21277	0-10-12,1-3-6-11,2-7-8,4-5-9	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	111209	21891,42591,22597,24130	200200	oracle partition requires fresh LP
4	79	NEED_LP	20125	0-1-3,2-7-8,4-5-6-11,9-10-12	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	104131	20785,22597,37950,22799	200200	oracle partition requires fresh LP
4	80	NEED_LP	19716	0-1-2,3-7-8,4-5-6-11,9-10-12	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	96834	6044,30041,37950,22799	200200	oracle partition requires fresh LP
4	81	NEED_LP	19420	0-7-8,1-2-3,4-5-6-11,9-10-12	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	89799	21612,7438,37950,22799	200200	oracle partition requires fresh LP
4	82	NEED_LP	17679	0-5-6-11,1-2-4,3-10-12,7-8-9	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	82633	36978,150,24024,21481	200200	oracle partition requires fresh LP
4	90	NEED_LP	23819	0-9-10,1-3-12,2-7-8,4-5-6-11	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	111667	23104,28016,22597,37950	200200	oracle partition requires fresh LP
4	91	NEED_LP	22232	0-9-10,1-5-6-11,2-3-12,4-7-8	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	105437	23104,38039,21478,22816	200200	oracle partition requires fresh LP
4	92	NEED_LP	21257	0-9-10,1-5-6-11,2-3-12,4-7-8	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	98918	23104,38039,14959,22816	200200	oracle partition requires fresh LP
4	93	NEED_LP	20685	0-1-9,2-3-4,5-6-11-12,7-8-10	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	91778	20644,7587,38443,25104	200200	oracle partition requires fresh LP
4	101	NEED_LP	22414	0-9-10,1-3-12,2-7-8,4-5-6-11	1220,1222,1227,1231,1237,1243,1245,1259,1261,1264,1301,1318,1327,1332,1341,1350,1355,1366,1369,1377,1400,1415,1423,1426,1428,1434,1437,1448,1451,1460,1462,1465,1474,1476,1484,1490,1504,1528,1531,1532,1549,1555,1565,1570,1572,1588,1602,1618,1620,1625,1629,1635,1638,1641,1643,1657,1658,1662,1686,1699,1700,1714,1716,1725,1728,1730,1739,1742,1748,1753,1756,1767,1775,1821,1824,1832,1835,1840,1846,1849,1858,1860,1863,1872,1874,1888,1889,1902,1926,1929,1930,1931,1945,1947,1959,1963,1968,1970,1986,2000,2002,2018,2027,2033,2039,2041,2055,2056,2057,2060,2084,2097,2098,2100,2112,2123,2126,2137,2140,2146,2151,2154,2156,2162,2165,2173,2211,2222,2230,2238,2244,2256,2258,2270,2272,2282,2286,2287,2300,2327,2328,2329,2343,2351,2357,2361,2368,2384,2398,2414,2416,2421,2425,2431,2437,2439,2453,2454,2455,2458,2482,2495,2496,2510,2512,2521,2524,2526,2535,2538,2544,2549,2552,2560,2563,2571	343,48,219,423,152,125,265,952,125,170,226,218,733,150,33,124,722,191,411,414,2819,414,411,191,3250,195,722,148,33,150,200,733,218,261,3024,243,52,170,125,329,125,152,219,48,343,25,25,343,48,219,423,152,7435,125,265,952,329,170,52,226,243,261,218,733,200,150,33,148,124,722,195,411,414,411,191,195,722,124,148,33,150,200,733,218,261,243,226,52,170,125,329,952,265,125,423,219,48,343,25,25,763,48,423,152,125,265,952,329,125,170,52,226,243,571,261,733,200,33,148,124,722,195,2535,191,411,414,414,191,195,124,148,150,200,218,261,149,243,226,52,125,329,952,265,152,423,219,343,25,25,343,48,219,423,152,125,265,952,329,125,170,52,226,243,261,218,733,200,150,33,148,124,722,195,191,411,414	176	65528	105129	23104,21478,22597,37950	200200	oracle partition requires fresh LP
