base_index	leaf_ordinal	status	initial_partition	reselected_partition	initial_score	reselected_score	objective	source_clauses	weights	support	denominator	W	U	block_maxima	detail
4	78	UNRESOLVED	0-10-12,1-3-6-11,2-7-8,4-5-9	0-1-2,3-4-5,6-7-8,9-10-11-12	21277	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=17
4	79	UNRESOLVED	0-1-3,2-7-8,4-5-6-11,9-10-12	0-1-2,3-4-5,6-7-8,9-10-11-12	20125	1	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=20
4	80	UNRESOLVED	0-1-2,3-7-8,4-5-6-11,9-10-12	0-1-2,3-4-5-6,7-8-9,10-11-12	19716	0.5	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=21
4	81	UNRESOLVED	0-7-8,1-2-3,4-5-6-11,9-10-12	0-1-2,3-4-5,6-7-8,9-10-11-12	19420	1	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=24
4	82	UNRESOLVED	0-5-6-11,1-2-4,3-10-12,7-8-9	0-1-2,3-4-5,6-7-8,9-10-11-12	17679	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=40
4	90	UNRESOLVED	0-9-10,1-3-12,2-7-8,4-5-6-11	0-1-2,3-4-5,6-7-8,9-10-11-12	23819	1	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=23
4	91	UNRESOLVED	0-9-10,1-5-6-11,2-3-12,4-7-8	0-1-2,3-4-5,6-7-8,9-10-11-12	22232	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=23
4	92	UNRESOLVED	0-9-10,1-5-6-11,2-3-12,4-7-8	0-1-2,3-4-5,6-7-8,9-10-11-12	21257	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=22
4	93	UNRESOLVED	0-1-9,2-3-4,5-6-11-12,7-8-10	0-9-10,1-6-11-12,2-3-4,5-7-8	20685	0.50000000000023104	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=35
4	101	UNRESOLVED	0-9-10,1-3-12,2-7-8,4-5-6-11	0-1-2,3-4-5,6-7-8,9-10-11-12	22414	0	0.99999999999999944			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=23
4	102	UNRESOLVED	0-9-10,1-3-12,2-7-8,4-5-6-11	0-1-2,3-4-5,6-7-8,9-10-11-12	21439	0	0.99999999999999956			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=28
4	103	UNRESOLVED	0-9-10,1-3-4,2-7-8,5-6-11-12	0-1-2,3-4-5,6-7-8,9-10-11-12	21031	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=41
4	111	UNRESOLVED	0-9-10,1-2-12,3-7-8,4-5-6-11	0-1-2,3-4-5,6-7-8,9-10-11-12	21218	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=27
4	112	UNRESOLVED	0-9-10,1-2-4,3-6-11-12,5-7-8	0-1-2,3-4-5,6-7-8,9-10-11-12	20892	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=41
4	120	UNRESOLVED	0-9-10,1-2-3,4-7-8,5-6-11-12	0-1-2-3,4-5-6,7-8-9,10-11-12	20991	0.20000000000000007	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=31
4	936	UNRESOLVED	0-3-6-11,1-10-12,2-7-8,4-5-9	0-1-2,3-4-5,6-7-8,9-10-11-12	21277	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=17
4	937	UNRESOLVED	0-3-12,1-9-10,2-7-8,4-5-6-11	0-1-2,3-4-5,6-7-8,9-10-11-12	23819	0	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=23
4	938	UNRESOLVED	0-5-6-11,1-9-10,2-3-12,4-7-8	0-1-2,3-4-5-7,6-8-9,10-11-12	22232	1	1			0	0	0	0		reselected LP did not integerize strictly; separation_rounds=22
