base_index	leaf_ordinal	status	oracle_score	partition	objective	class_weights	denominator	W	U	block_maxima	separation_rounds	detail
4	78	UNRESOLVED	814	0-1-6,2-7-9,3-4-5,8-10-11-12	1.5151515151515191	0,-0,0,0,0,0,0,0.0050505050505049789	0	0	0		2	class LP did not integerize strictly
4	79	UNRESOLVED	849	0-1-2,3-4-5,6-10-11-12,7-8-9	1.404040404040404	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	80	UNRESOLVED	913	0-1-2-5,3-6-12,4-7-9,8-10-11	1.4747474747474749	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	81	UNRESOLVED	923	0-1-2,3-4-5,6-10-11-12,7-8-9	1.404040404040404	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	82	UNRESOLVED	971	0-5-7,1-2-3-4,6-11-12,8-9-10	1.5050505050505052	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		3	class LP did not integerize strictly
4	90	UNRESOLVED	849	0-1-2,3-4-5,6-10-11-12,7-8-9	1.404040404040404	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	91	UNRESOLVED	913	0-2-3,1-6-12,4-5-7-9,8-10-11	1.5454545454545454	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	92	UNRESOLVED	929	0-2-3-5,1-6-12,4-7-9,8-10-11	1.5656565656565653	0,0,0,0,0,7.5136305706955042e-17,0,0.0050505050505045999	0	0	0		2	class LP did not integerize strictly
4	93	UNRESOLVED	959	0-2-3-4,1-5-7,6-11-12,8-9-10	1.5050505050505039	0,0,0,0,0,-1.1719020815487764e-16,0,0.0050505050505057535	0	0	0		3	class LP did not integerize strictly
4	101	UNRESOLVED	1011	0-1-2-5,3-6-12,4-7-9,8-10-11	1.4747474747474749	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	102	UNRESOLVED	1029	0-1-2-3,4-5-7,6-11-12,8-9-10	1.4343434343434343	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	103	UNRESOLVED	1027	0-1-2-3,4-5-10,6-11-12,7-8-9	1.404040404040404	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	111	UNRESOLVED	1099	0-1-2-5,3-6-12,4-7-9,8-10-11	1.4747474747474749	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	112	UNRESOLVED	1139	0-1-2-4,3-5-6,7-8-9,10-11-12	1.4225589225589226	0,0,0,0,0,0.00084175084175084171,0,0	0	0	0		3	class LP did not integerize strictly
4	120	UNRESOLVED	1119	0-1-2-3,4-5-7,6-11-12,8-9-10	1.4343434343434343	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		3	class LP did not integerize strictly
4	936	UNRESOLVED	814	0-1-6,2-7-9,3-4-5,8-10-11-12	1.5151515151515191	0,-0,0,0,0,0,0,0.0050505050505049789	0	0	0		2	class LP did not integerize strictly
4	937	UNRESOLVED	849	0-1-2,3-4-5,6-10-11-12,7-8-9	1.404040404040404	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	938	UNRESOLVED	913	0-6-12,1-2-3,4-5-7-9,8-10-11	1.5454545454545454	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	939	UNRESOLVED	929	0-6-12,1-2-3-5,4-7-9,8-10-11	1.5656565656565653	0,0,0,0,0,7.5136305706955042e-17,0,0.0050505050505045999	0	0	0		2	class LP did not integerize strictly
4	940	UNRESOLVED	959	0-5-7,1-2-3-4,6-11-12,8-9-10	1.5050505050505039	0,0,0,0,0,-1.1719020815487764e-16,0,0.0050505050505057535	0	0	0		3	class LP did not integerize strictly
4	948	UNRESOLVED	849	0-1-2,3-4-5,6-10-11-12,7-8-9	1.404040404040404	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
4	949	UNRESOLVED	913	0-1-2-5,3-6-12,4-7-9,8-10-11	1.4747474747474749	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
