base_index	leaf_ordinal	status	partition	W	U	block_maxima	block_option_counts	detail
4	78	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	112805	40225,41839,30741	49392,38416,38416	source weight has no strict deficit on frozen partition
4	79	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	106965	34385,41839,30741	7056,38416,38416	source weight has no strict deficit on frozen partition
4	80	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100602	28022,41839,30741	1008,38416,38416	source weight has no strict deficit on frozen partition
4	81	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	93514	20934,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	82	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	86209	13629,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	90	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	111652	39072,41839,30741	7056,38416,38416	source weight has no strict deficit on frozen partition
4	91	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	106817	34237,41839,30741	1008,38416,38416	source weight has no strict deficit on frozen partition
4	92	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100773	28193,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	93	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	94926	22346,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	101	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	106639	34059,41839,30741	1008,38416,38416	source weight has no strict deficit on frozen partition
4	102	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100970	28390,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	103	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	94926	22346,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	111	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100821	28241,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	112	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	94926	22346,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	120	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	94926	22346,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	936	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	112805	40225,41839,30741	49392,38416,38416	source weight has no strict deficit on frozen partition
4	937	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	111652	39072,41839,30741	7056,38416,38416	source weight has no strict deficit on frozen partition
4	938	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	106817	34237,41839,30741	1008,38416,38416	source weight has no strict deficit on frozen partition
4	939	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100773	28193,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	940	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	94926	22346,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
4	948	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	106965	34385,41839,30741	7056,38416,38416	source weight has no strict deficit on frozen partition
4	949	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	100602	28022,41839,30741	1008,38416,38416	source weight has no strict deficit on frozen partition
4	950	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	93514	20934,41839,30741	144,38416,38416	source weight has no strict deficit on frozen partition
4	951	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	65528	86209	13629,41839,30741	24,32928,38416	source weight has no strict deficit on frozen partition
