base_index	leaf_ordinal	status	partition	objective	separation_rounds	cuts	denominator	support	W	U	block_maxima	detail
4	78	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	22	60	0	0	0	0		fully separated LP has no strict deficit
4	79	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	22	60	0	0	0	0		fully separated LP has no strict deficit
4	80	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	25	69	0	0	0	0		fully separated LP has no strict deficit
4	81	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000009	28	78	0	0	0	0		fully separated LP has no strict deficit
4	82	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	57	126	0	0	0	0		fully separated LP has no strict deficit
4	90	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	23	65	0	0	0	0		fully separated LP has no strict deficit
4	91	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	26	74	0	0	0	0		fully separated LP has no strict deficit
4	92	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	30	84	0	0	0	0		fully separated LP has no strict deficit
4	93	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	55	122	0	0	0	0		fully separated LP has no strict deficit
4	101	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	24	68	0	0	0	0		fully separated LP has no strict deficit
4	102	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000031	32	92	0	0	0	0		fully separated LP has no strict deficit
4	103	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	0.999999999999994	59	130	0	0	0	0		fully separated LP has no strict deficit
4	111	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	29	83	0	0	0	0		fully separated LP has no strict deficit
4	112	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	59	130	0	0	0	0		fully separated LP has no strict deficit
4	120	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000011	55	128	0	0	0	0		fully separated LP has no strict deficit
4	936	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	23	61	0	0	0	0		fully separated LP has no strict deficit
4	937	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	23	65	0	0	0	0		fully separated LP has no strict deficit
4	938	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	26	74	0	0	0	0		fully separated LP has no strict deficit
4	939	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	30	84	0	0	0	0		fully separated LP has no strict deficit
4	940	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	55	122	0	0	0	0		fully separated LP has no strict deficit
4	948	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	22	60	0	0	0	0		fully separated LP has no strict deficit
4	949	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	25	69	0	0	0	0		fully separated LP has no strict deficit
4	950	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000009	28	78	0	0	0	0		fully separated LP has no strict deficit
4	951	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	57	126	0	0	0	0		fully separated LP has no strict deficit
4	959	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	24	68	0	0	0	0		fully separated LP has no strict deficit
4	960	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000031	32	92	0	0	0	0		fully separated LP has no strict deficit
4	961	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	0.999999999999994	59	130	0	0	0	0		fully separated LP has no strict deficit
4	969	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	29	83	0	0	0	0		fully separated LP has no strict deficit
4	970	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	59	130	0	0	0	0		fully separated LP has no strict deficit
4	978	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000011	55	128	0	0	0	0		fully separated LP has no strict deficit
3	78	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	22	60	0	0	0	0		fully separated LP has no strict deficit
3	79	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	21	58	0	0	0	0		fully separated LP has no strict deficit
3	80	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	24	67	0	0	0	0		fully separated LP has no strict deficit
3	81	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	31	88	0	0	0	0		fully separated LP has no strict deficit
3	82	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	58	125	0	0	0	0		fully separated LP has no strict deficit
3	90	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	27	76	0	0	0	0		fully separated LP has no strict deficit
3	91	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000138	30	85	0	0	0	0		fully separated LP has no strict deficit
3	92	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	28	79	0	0	0	0		fully separated LP has no strict deficit
3	93	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	56	122	0	0	0	0		fully separated LP has no strict deficit
3	101	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	27	76	0	0	0	0		fully separated LP has no strict deficit
3	102	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	0.99999999999999889	37	106	0	0	0	0		fully separated LP has no strict deficit
3	103	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	69	149	0	0	0	0		fully separated LP has no strict deficit
3	111	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	30	87	0	0	0	0		fully separated LP has no strict deficit
3	112	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	58	127	0	0	0	0		fully separated LP has no strict deficit
3	120	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	53	123	0	0	0	0		fully separated LP has no strict deficit
3	936	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	22	60	0	0	0	0		fully separated LP has no strict deficit
3	937	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	27	76	0	0	0	0		fully separated LP has no strict deficit
3	938	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1.0000000000000138	30	85	0	0	0	0		fully separated LP has no strict deficit
3	939	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	28	79	0	0	0	0		fully separated LP has no strict deficit
3	940	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	56	122	0	0	0	0		fully separated LP has no strict deficit
3	948	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	21	58	0	0	0	0		fully separated LP has no strict deficit
3	949	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	24	67	0	0	0	0		fully separated LP has no strict deficit
3	950	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	31	88	0	0	0	0		fully separated LP has no strict deficit
3	951	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	58	125	0	0	0	0		fully separated LP has no strict deficit
3	959	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	27	76	0	0	0	0		fully separated LP has no strict deficit
3	960	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	0.99999999999999889	37	106	0	0	0	0		fully separated LP has no strict deficit
3	961	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	69	149	0	0	0	0		fully separated LP has no strict deficit
3	969	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	30	87	0	0	0	0		fully separated LP has no strict deficit
3	970	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	58	127	0	0	0	0		fully separated LP has no strict deficit
3	978	UNRESOLVED	0-1-2-3-4,5-6-7-8,9-10-11-12	1	53	123	0	0	0	0		fully separated LP has no strict deficit
