base_index	leaf_ordinal	classification	expected_objective	observed_objective	objective_delta	expected_rounds	observed_rounds	expected_cuts	observed_cuts	detail
4	78	MATCH	1	1	0	22	22	59	59	
4	79	MATCH	1	1	0	23	23	64	64	
4	80	MATCH	1	1	0	25	25	71	71	
4	81	MATCH	1.0000000000000018	1.0000000000000018	0	41	41	90	90	
4	82	MATCH	1	1	0	107	107	217	217	
4	90	MATCH	1.0000000000000002	1.0000000000000002	0	24	24	65	65	
4	91	MATCH	1	1	0	27	27	75	75	
4	92	MATCH	1	1	0	38	38	86	86	
4	93	MATCH	1	1	0	59	59	130	130	
4	101	MATCH	1	1	0	26	26	72	72	
4	102	MATCH	1	1	0	42	42	94	94	
4	103	MATCH	0.99999999999999989	0.99999999999999989	0	65	65	143	143	
4	111	MATCH	1	1	0	41	41	92	92	
4	112	MATCH	1	1	0	68	68	148	148	
4	120	MATCH	1	1	0	104	104	209	209	
4	936	MATCH	1	1	0	22	22	59	59	
4	937	MATCH	1.0000000000000002	1.0000000000000002	0	24	24	65	65	
4	938	MATCH	1	1	0	27	27	75	75	
4	939	MATCH	1	1	0	38	38	86	86	
4	940	MATCH	1	1	0	117	117	236	236	
4	948	MATCH	1	1	0	23	23	64	64	
4	949	MATCH	1	1	0	25	25	71	71	
4	950	MATCH	1.0000000000000018	1.0000000000000018	0	41	41	90	90	
4	951	MATCH	1	1	0	60	60	132	132	
4	959	MATCH	1	1	0	26	26	72	72	
4	960	MATCH	1	1	0	42	42	94	94	
4	961	MATCH	1	1	0	61	61	136	136	
4	969	MATCH	1	1	0	41	41	92	92	
4	970	MATCH	1	1	0	62	62	136	136	
4	978	MATCH	1	1	0	104	104	209	209	
3	78	MATCH	1	1	0	20	20	58	58	
3	79	MATCH	1	1	0	22	22	63	63	
3	80	MATCH	1	1	0	27	27	78	78	
3	81	MATCH	1	1	0	39	39	87	87	
3	90	MATCH	1	1	0	24	24	69	69	
3	91	MISMATCH	1	1	0	28	26	80	74	
