base_index	leaf_ordinal	status	selected_rotation	partition	score	capacities
4	78	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	475871250253441319/72157404934571304	103997,6531,109753,7133
4	79	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	18543002906488257/3006558538940471	98024,6141,94858,7077
4	80	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	147702273864345459/24052468311523768	93211,5927,105325,6828
4	81	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	69782310416147123/12026234155761884	87966,5572,101026,6393
4	82	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	381507232872703067/72157404934571304	82401,5156,97880,5240
4	90	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	453176898831365567/72157404934571304	104949,6495,94366,6782
4	91	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	150964195389357927/24052468311523768	101399,6305,105330,6492
4	92	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	35570333420894865/6013117077880942	96684,5950,101026,5931
4	93	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	391014592158185165/72157404934571304	91535,5697,95463,4817
4	101	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	145721619222526927/24052468311523768	101399,6305,85683,6828
4	102	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	34147177276260085/6013117077880942	96684,5950,78142,6393
4	103	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	373936718422567805/72157404934571304	91535,5697,72579,5279
4	111	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	36246754187873437/6013117077880942	96684,5950,101026,6393
4	112	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	399131641361928029/72157404934571304	91535,5697,95463,5279
4	120	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	16540618217298728/3006558538940471	90640,5541,97026,5271
4	936	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	475871250253441319/72157404934571304	103997,6531,109753,7133
4	937	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	453176898831365567/72157404934571304	104949,6495,94366,6782
4	938	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	150964195389357927/24052468311523768	101399,6305,105330,6492
4	939	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	35570333420894865/6013117077880942	96684,5950,101026,5931
4	940	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	130218858490877485/24052468311523768	92165,5603,97386,4731
4	948	SELECTED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	18543002906488257/3006558538940471	98024,6141,94858,7077
4	949	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	147702273864345459/24052468311523768	93211,5927,105325,6828
4	950	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	69782310416147123/12026234155761884	87966,5572,101026,6393
4	951	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	126982445387044469/24052468311523768	82973,5346,95463,5133
4	959	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	145721619222526927/24052468311523768	101399,6305,85683,6828
4	960	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	34147177276260085/6013117077880942	96684,5950,78142,6393
4	961	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	62003083301721741/12026234155761884	91690,5724,72579,5133
4	969	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	36246754187873437/6013117077880942	96684,5950,101026,6393
4	970	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	66202237124948445/12026234155761884	91690,5724,95463,5133
4	978	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	16540618217298728/3006558538940471	90640,5541,97026,5271
3	78	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	61499079561863291/9019675616821413	109280,6872,117399,6898
3	79	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	153232864983960685/24052468311523768	103237,6519,100979,6822
3	80	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	225879185013172061/36078702467285652	96430,6061,113785,6454
3	81	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	427894007574877241/72157404934571304	90251,5713,109402,6107
3	82	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	404567165484437135/72157404934571304	84269,5287,105714,5813
3	90	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	232165724064652039/36078702467285652	109138,6771,100482,6494
3	91	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	152948765390370787/24052468311523768	103963,6391,113785,6054
3	92	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	436044146128732883/72157404934571304	98969,6091,109402,5645
3	93	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	136262173952260225/24052468311523768	92425,5683,103359,5292
3	101	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	444311689330979539/72157404934571304	104065,6409,93810,6454
3	102	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418966272393115523/72157404934571304	98969,6091,86518,6107
3	103	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	130569549373721105/24052468311523768	92425,5683,80475,5754
3	111	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	110720460387488951/18039351233642826	98852,6023,109973,6074
3	112	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138967857020174513/24052468311523768	92425,5683,103359,5754
3	120	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138967857020174513/24052468311523768	92425,5683,103359,5754
3	936	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	61499079561863291/9019675616821413	109280,6872,117399,6898
3	937	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	232165724064652039/36078702467285652	109138,6771,100482,6494
3	938	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	152948765390370787/24052468311523768	103963,6391,113785,6054
3	939	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	436044146128732883/72157404934571304	98969,6091,109402,5645
3	940	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138034173311292341/24052468311523768	94429,5717,105782,5283
3	948	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	153232864983960685/24052468311523768	103237,6519,100979,6822
3	949	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	225879185013172061/36078702467285652	96430,6061,113785,6454
3	950	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	427894007574877241/72157404934571304	90251,5713,109402,6107
3	951	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	33718556113192085/6013117077880942	85740,5425,103359,5733
3	959	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	444311689330979539/72157404934571304	104065,6409,93810,6454
3	960	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418966272393115523/72157404934571304	98969,6091,86518,6107
3	961	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	131897945669167353/24052468311523768	94457,5803,80475,5733
3	969	SELECTED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	110720460387488951/18039351233642826	98852,6023,109973,6074
3	970	SELECTED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	140296253315620761/24052468311523768	94457,5803,103359,5733
3	978	SELECTED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418880463201220891/72157404934571304	92417,5682,105402,5740
