q	matrix	coefficients_Q	first_degree	classification	realized_epsilon
3	0,0,0,0,0,-1,0,-1,2	0,0,131220,174960,452790,660960,1344390,1884270,2926740,3602240,3909868,3445190,2126910,764490,118870,5326	2	LOCAL_POSITIVE	-
3	0,0,0,0,-1,1,0,1,-1	0,0,0,0,58320,0,77760,0,69120,0,13312,0,0,0,0,0	4	LOCAL_POSITIVE	-
3	0,0,0,0,-1,0,0,0,1	0,0,131220,0,141750,0,91770,0,36740,0,8536,0,950,0,30,0	2	LOCAL_POSITIVE	-
3	0,0,0,0,-2,1,0,1,0	0,0,131220,-174960,452790,-660960,1344390,-1884270,2926740,-3602240,3909868,-3445190,2126910,-764490,118870,-5326	2	LOCAL_POSITIVE	-
3	0,0,-1,0,2,1,-1,1,-2	0,0,918540,-131220,6102540,-1442610,21777360,-6090840,42989280,-11495280,43152276,-8374440,17091920,-1229040,1170720,108160	2	LOCAL_POSITIVE	-
3	0,0,-1,0,2,0,-1,0,0	0,0,393660,306180,1275750,1601370,2944350,3729510,4654980,4817070,4357728,3254250,1946550,859950,245790,32766	2	LOCAL_POSITIVE	-
3	0,0,-1,0,2,-1,-1,-1,2	0,0,131220,87480,562140,404190,2169240,1824360,5512800,5566720,7079476,6809720,4154320,1341920,213920,16832	2	LOCAL_POSITIVE	-
3	0,0,-1,0,1,1,-1,1,-1	0,0,393660,-87480,1144530,-407025,1819260,-717390,1586835,-525915,650403,-110010,75945,-555,-270,120	2	LOCAL_POSITIVE	-
3	0,0,-1,0,1,0,-1,0,1	0,0,131220,43740,149040,59535,125070,29250,72045,3880,20837,-1035,600,-115,55,0	2	LOCAL_POSITIVE	-
3	0,0,-1,0,0,2,-1,2,-2	0,0,393660,-481140,2354670,-3620700,11403990,-15026850,35172180,-30444540,46543772,-10735270,2414590,3076030,384910,1406	2	LOCAL_POSITIVE	-
3	0,0,-1,0,0,1,-1,1,0	0,0,131220,0,183060,0,160080,0,84720,0,22272,0,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,0,-1,0,0,0,-1,0,2	0,0,131220,174960,452790,660960,1344390,1884270,2926740,3602240,3909868,3445190,2126910,764490,118870,5326	2	LOCAL_POSITIVE	-
3	0,0,-1,0,-1,2,-1,2,-1	0,0,131220,-43740,664200,-124335,2436270,582090,5932245,4743460,7287061,7083455,4120720,1332515,211415,13292	2	LOCAL_POSITIVE	-
3	0,0,-1,0,-1,1,-1,1,1	0,0,131220,131220,282690,308205,468420,438210,473115,314235,215763,64710,13505,975,-30,-20	2	LOCAL_POSITIVE	-
3	0,0,-1,0,-2,2,-1,2,0	0,0,131220,87480,676350,279450,2930910,1284870,9616820,3139270,15612032,3961510,1135350,1439930,528470,36686	2	LOCAL_POSITIVE	-
3	0,0,-1,0,-2,1,-1,1,2	0,0,393660,306180,1909980,1922130,6654960,6591240,15256800,12054960,19289556,8901480,9062160,1316400,491040,63360	2	LOCAL_POSITIVE	-
3	0,0,-2,0,2,1,-2,1,0	0,0,918540,306180,5847390,3329100,19823190,12868530,37536020,20610860,36277532,12194150,13672590,1984690,1198190,56194	2	LOCAL_POSITIVE	-
3	0,0,-2,0,1,2,-2,2,-1	0,0,918540,-393660,6838830,-4401540,29466690,-19572480,71201700,-34393980,77511744,-6640860,11059910,907500,-301290,-9520	2	LOCAL_POSITIVE	-
3	0,0,-2,0,1,1,-2,1,1	0,0,524880,174960,2287440,1211760,6501120,2683200,11894160,-289600,11423296,-6115520,4420480,-1495040,293120,-15872	2	LOCAL_POSITIVE	-
3	0,0,-2,0,0,1,-2,1,2	0,0,393660,481140,2354670,3620700,11403990,15026850,35172180,30444540,46543772,10735270,2414590,-3076030,384910,-1406	2	LOCAL_POSITIVE	-
3	0,0,-2,0,-1,2,-2,2,1	0,0,393660,481140,2412990,3173580,10521090,12016080,28296180,20101140,34883424,2052180,1128870,-295380,65430,-3120	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,2,-1,2,-1,-2	0,0,131220,-262440,1300860,-1423170,5861400,-6247800,19572320,-11023520,32572180,1321080,5094640,1822880,490240,20992	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,2,-2,2,-2,0	0,0,131220,174960,1833030,868320,9926070,377550,32325300,-14216000,36021596,-4799530,-2990610,51930,168070,5646	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,1,-1,2,-1,-1	0,0,131220,131220,739530,463725,2195340,1603530,4784555,4500655,6783547,6981870,4676665,1474055,144850,-12188	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,1,-2,2,-2,1	0,0,393660,874800,3645000,6722595,22756950,30175470,74029365,44080260,72582485,-11750695,49840,353005,-20585,320	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,0,0,2,0,-2	0,0,131220,87480,676350,279450,2930910,1284870,9616820,3139270,15612032,3961510,1135350,1439930,528470,36686	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,0,-1,2,-1,0	0,0,393660,481140,1647540,2532060,5148360,6598800,9403200,9115920,8854416,6381120,3859680,1529280,248640,9792	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,0,-2,2,-2,2	0,0,918540,1880820,9570150,24378570,76105230,155277270,335432100,452529790,568038416,331539290,75730230,-24614130,-4518290,490686	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,-1,0,2,0,-1	0,0,393660,87480,1341360,479925,3342870,2010150,6400125,5770080,8083701,6662595,4267560,1571715,271095,14652	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,-1,-1,2,-1,1	0,0,918540,787320,6027210,8120655,22997220,30945690,49557155,50825785,48457147,29806590,13266625,3008285,124930,-40688	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,-2,1,2,1,-2	0,0,393660,-306180,2726460,-2583090,15882480,-9533160,52670880,-9480720,59964980,-7092520,7082800,-769520,741760,320	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,-2,0,2,0,0	0,0,918540,-306180,5847390,-3329100,19823190,-12868530,37536020,-20610860,36277532,-12194150,13672590,-1984690,1198190,-56194	2	LOCAL_POSITIVE	-
3	0,-1,2,-1,-2,-1,2,-1,2	0,0,1705860,1049760,19282860,19693530,111416280,128853000,341682560,348629920,494488180,346062120,239086000,74887040,12513280,-983168	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,2,0,1,0,-2	0,0,131220,0,669060,0,2028480,0,4850160,0,7415616,0,4359680,0,245760,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,2,-1,1,-1,0	0,0,0,0,298890,0,886950,151470,2078730,1781820,3065710,3687580,2215630,552650,55880,2006	4	LOCAL_POSITIVE	-
3	0,-1,1,-1,2,-2,1,-2,2	0,0,131220,349920,2360340,2540160,15614160,12334080,58281200,16547840,46004480,308480,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,1,0,1,0,-1	0,0,0,0,65610,0,65610,0,65610,0,35478,0,-810,0,0,0	4	LOCAL_POSITIVE	-
3	0,-1,1,-1,1,-1,1,-1,1	0,0,131220,174960,552420,570240,1431600,1069440,1925360,624640,639104,16000,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,0,1,1,1,-2	0,0,0,0,298890,0,886950,-151470,2078730,-1781820,3065710,-3687580,2215630,-552650,55880,-2006	4	LOCAL_POSITIVE	-
3	0,-1,1,-1,0,0,1,0,0	0,0,131220,0,183060,0,160080,0,84720,0,22272,0,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,0,-1,1,-1,2	0,0,524880,699840,2800170,5106240,11310630,17827470,27273450,31324780,30312110,20991020,9474510,2414970,276280,9606	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,-1,1,1,1,-1	0,0,131220,-174960,552420,-570240,1431600,-1069440,1925360,-624640,639104,-16000,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,-1,0,1,0,1	0,0,524880,0,1789290,0,2932170,0,2367930,0,857958,0,102950,0,2400,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,-2,2,1,2,-2	0,0,131220,-349920,2360340,-2540160,15614160,-12334080,58281200,-16547840,46004480,-308480,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,-2,1,1,1,0	0,0,524880,-699840,2800170,-5106240,11310630,-17827470,27273450,-31324780,30312110,-20991020,9474510,-2414970,276280,-9606	2	LOCAL_POSITIVE	-
3	0,-1,1,-1,-2,0,1,0,2	0,0,1180980,0,9054180,0,33592320,0,62694000,0,55411776,0,19284480,0,1658880,0	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,2,1,0,1,-2	0,0,393660,306180,1909980,1922130,6654960,6591240,15256800,12054960,19289556,8901480,9062160,1316400,491040,63360	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,2,0,0,0,0	0,0,131220,174960,452790,660960,1344390,1884270,2926740,3602240,3909868,3445190,2126910,764490,118870,5326	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,2,-1,0,-1,2	0,0,131220,87480,562140,404190,2169240,1824360,5512800,5566720,7079476,6809720,4154320,1341920,213920,16832	2	LOCAL_POSITIVE	-
