base	direction	deficit_coefficients
1,1,1	0,-1,0,-1,1,1	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,-1,0,0,0,1	0,0,0,0,1399680,0,349920,0,126360,0,20736,0,-270,0,0,0
1,1,1	0,-1,0,1,-1,1	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,-1,1,-1,1,0	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,-1,1,0,0,0	0,0,0,0,1399680,0,349920,0,126360,0,20736,0,-270,0,0,0
1,1,1	0,-1,1,1,-1,0	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,0,-1,-1,1,1	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,0,-1,0,0,1	0,0,0,0,1399680,0,349920,0,126360,0,20736,0,-270,0,0,0
1,1,1	0,0,-1,1,-1,1	0,0,0,0,11197440,0,11197440,0,9953280,0,3981312,0,0,0,0,0
1,1,1	0,0,0,-1,1,0	0,0,0,0,1399680,0,349920,0,126360,0,20736,0,-270,0,0,0
1,1,2	0,-1,0,-1,1,1	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,-1,0,0,0,1	0,0,74515340,0,58638210,0,9384480,0,1336130,0,55556,0,-290,0,0,0
1,1,2	0,-1,0,1,-1,1	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,-1,1,-1,1,0	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,-1,1,0,0,0	0,0,74515340,0,58638210,0,9384480,0,1336130,0,55556,0,-290,0,0,0
1,1,2	0,-1,1,1,-1,0	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,0,-1,-1,1,1	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,0,-1,0,0,1	0,0,74515340,0,58638210,0,9384480,0,1336130,0,55556,0,-290,0,0,0
1,1,2	0,0,-1,1,-1,1	0,0,100107770,0,354437780,0,229411190,0,128679160,0,30245408,0,0,0,0,0
1,1,2	0,0,0,-1,1,0	0,0,25592430,0,42833870,0,10041790,0,2734810,0,352122,0,-5910,0,90,0
1,2,1	0,-1,0,-1,1,1	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
1,2,1	0,-1,0,0,0,1	0,0,0,0,141717600,0,20995200,0,3907440,0,412452,0,-2160,0,0,0
