a	b	c	t	coefficient
10	3	0	2	180
9	4	0	2	330
8	5	0	2	720
7	6	0	2	2280
6	7	0	2	2880
5	8	0	2	2700
4	9	0	2	3240
12	0	1	2	60
9	3	1	2	480
8	4	1	2	1410
7	5	1	2	3240
6	6	1	2	7620
5	7	1	2	10800
4	8	1	2	10800
3	9	1	2	6480
11	0	2	2	-80
8	3	2	2	1080
7	4	2	2	3120
6	5	2	2	9000
5	6	2	2	16560
4	7	2	2	9720
3	8	2	2	2700
2	9	2	2	-9720
10	0	3	2	220
7	3	3	2	2640
6	4	3	2	6540
5	5	3	2	13680
4	6	3	2	6600
3	7	3	2	-10080
2	8	3	2	-27000
1	9	3	2	-12960
9	0	4	2	90
6	3	4	2	2760
5	4	4	2	6900
4	5	4	2	-7560
3	6	4	2	-35400
2	7	4	2	-33480
1	8	4	2	-10800
0	9	4	2	12960
8	0	5	2	1020
5	3	5	2	360
4	4	5	2	-15150
3	5	5	2	-32040
2	6	5	2	-27900
1	7	5	2	-12960
0	8	5	2	21600
7	0	6	2	-1800
4	3	6	2	-8160
3	4	6	2	-14880
2	5	6	2	-14400
1	6	6	2	-8880
0	7	6	2	33120
6	0	7	2	2880
3	3	7	2	-7680
2	4	7	2	-2640
1	5	7	2	4320
0	6	7	2	39120
5	0	8	2	-3240
2	3	8	2	3420
1	4	8	2	690
0	5	8	2	23040
4	0	9	2	150
1	3	9	2	-2760
0	4	9	2	13680
3	0	10	2	-420
0	3	10	2	7680
2	0	11	2	680
1	0	12	2	-190
0	0	13	2	630
11	0	0	4	40
8	3	0	4	300
7	4	0	4	420
6	5	0	4	1620
5	6	0	4	4320
4	7	0	4	5940
3	8	0	4	4050
2	9	0	4	4860
10	0	1	4	-330
7	3	1	4	2040
6	4	1	4	5430
5	5	1	4	7560
4	6	1	4	25380
3	7	1	4	28080
2	8	1	4	24300
1	9	1	4	19440
9	0	2	4	2310
6	3	2	4	6120
5	4	2	4	10440
4	5	2	4	27000
3	6	2	4	49680
2	7	2	4	55080
1	8	2	4	48600
0	9	2	4	19440
8	0	3	4	-5100
5	3	3	4	13080
4	4	3	4	29310
3	5	3	4	72360
2	6	3	4	117180
1	7	3	4	73440
0	8	3	4	32400
7	0	4	4	11100
4	3	4	4	15000
3	4	4	4	51960
2	5	4	4	89640
1	6	4	4	76680
0	7	4	4	56160
6	0	5	4	-11160
3	3	5	4	29520
2	4	5	4	64080
1	5	5	4	60480
0	6	5	4	76680
5	0	6	4	18720
2	3	6	4	43320
1	4	6	4	21300
0	5	6	4	47520
4	0	7	4	-12300
1	3	7	4	-4080
0	4	7	4	35760
3	0	8	4	16470
0	3	8	4	25920
2	0	9	4	-700
1	0	10	4	-90
0	0	11	4	2910
9	0	0	6	-290
6	3	0	6	120
5	4	0	6	-300
4	5	0	6	1800
3	6	0	6	1080
2	7	0	6	3240
8	0	1	6	3060
5	3	1	6	2040
4	4	1	6	6630
3	5	1	6	4680
2	6	1	6	24300
1	7	1	6	12960
7	0	2	6	-13000
4	3	2	6	6720
3	4	2	6	6720
2	5	2	6	4320
1	6	2	6	6480
0	7	2	6	12960
6	0	3	6	35040
3	3	3	6	25920
2	4	3	6	25680
1	5	3	6	18720
0	6	3	6	41040
5	0	4	6	-47280
2	3	4	6	21720
1	4	4	6	660
0	5	4	6	28800
4	0	5	6	47180
1	3	5	6	-13200
0	4	5	6	40800
3	0	6	6	-16920
0	3	6	6	44160
2	0	7	6	9840
1	0	8	6	-4030
0	0	9	6	8270
7	0	0	8	1450
4	3	0	8	60
3	4	0	8	-900
2	5	0	8	1620
1	6	0	8	-1620
6	0	1	8	-9900
3	3	1	8	2280
2	4	1	8	6480
1	5	1	8	6480
0	6	1	8	11340
5	0	2	8	29760
2	3	2	8	-180
1	4	2	8	1890
0	5	2	8	6480
4	0	3	8	-48950
1	3	3	8	9480
0	4	3	8	24120
3	0	4	8	56430
0	3	4	8	36960
2	0	5	8	-28140
1	0	6	8	9970
0	0	7	8	11250
5	0	0	10	-2280
2	3	0	10	-180
1	4	0	10	-1350
4	0	1	10	10110
1	3	1	10	2520
0	4	1	10	2160
3	0	2	10	-18180
0	3	2	10	5760
2	0	3	10	19560
1	0	4	10	-8490
0	0	5	10	11106
3	0	0	12	1050
2	0	1	12	-2340
1	0	2	12	2610
0	0	3	12	-1590
1	0	0	14	-90
0	0	1	14	90
