e	t	c	coefficient
12	1	0	60
11	2	0	240
10	3	0	800
9	4	0	2580
8	5	0	5250
7	6	0	8280
6	7	0	11340
5	8	0	9720
4	9	0	8910
3	10	0	9720
9	3	1	400
8	4	1	2400
7	5	1	9240
6	6	1	22140
5	7	1	28080
4	8	1	22680
3	9	1	12960
9	2	2	600
8	3	2	3060
7	4	2	12360
6	5	2	30060
5	6	2	39420
4	7	2	32940
3	8	2	1620
2	9	2	-19440
1	10	2	-29160
9	1	3	720
8	2	3	1800
7	3	3	5400
6	4	3	18180
5	5	3	24960
4	6	3	10440
3	7	3	-36720
2	8	3	-48600
1	9	3	-35640
0	10	3	19440
8	1	4	360
7	2	4	1200
6	3	4	4500
5	4	4	5640
4	5	4	-21630
3	6	4	-75060
2	7	4	-86400
1	8	4	-46980
0	9	4	33210
7	1	5	360
6	2	5	1680
4	4	5	-27780
3	5	5	-69480
2	6	5	-81540
1	7	5	-57240
0	8	5	61560
6	1	6	900
5	2	6	-2340
4	3	6	-16800
3	4	6	-37980
2	5	6	-47220
1	6	6	-41400
0	7	6	108000
5	1	7	-1800
4	2	7	-5820
3	3	7	-7320
2	4	7	-16140
1	5	7	-22440
0	6	7	117720
4	1	8	-2340
3	2	8	-1020
2	3	8	-4680
1	4	8	-8880
0	5	8	91260
3	1	9	120
2	2	9	-1320
1	3	9	-2360
0	4	9	49620
2	1	10	-180
1	2	10	-240
0	3	10	17000
1	1	11	360
0	2	11	5220
0	1	12	1440
