direction	degree	e	t	c	coefficient
standard_axis	2	12	1	0	60
standard_axis	2	11	2	0	240
standard_axis	2	10	3	0	800
standard_axis	2	9	4	0	2580
standard_axis	2	8	5	0	5250
standard_axis	2	7	6	0	8280
standard_axis	2	6	7	0	11340
standard_axis	2	5	8	0	9720
standard_axis	2	4	9	0	8910
standard_axis	2	3	10	0	9720
standard_axis	2	9	3	1	400
standard_axis	2	8	4	1	2400
standard_axis	2	7	5	1	9240
standard_axis	2	6	6	1	22140
standard_axis	2	5	7	1	28080
standard_axis	2	4	8	1	22680
standard_axis	2	3	9	1	12960
standard_axis	2	9	2	2	600
standard_axis	2	8	3	2	3060
standard_axis	2	7	4	2	12360
standard_axis	2	6	5	2	30060
standard_axis	2	5	6	2	39420
standard_axis	2	4	7	2	32940
standard_axis	2	3	8	2	1620
standard_axis	2	2	9	2	-19440
standard_axis	2	1	10	2	-29160
standard_axis	2	9	1	3	720
standard_axis	2	8	2	3	1800
standard_axis	2	7	3	3	5400
standard_axis	2	6	4	3	18180
standard_axis	2	5	5	3	24960
standard_axis	2	4	6	3	10440
standard_axis	2	3	7	3	-36720
standard_axis	2	2	8	3	-48600
standard_axis	2	1	9	3	-35640
standard_axis	2	0	10	3	19440
standard_axis	2	8	1	4	360
standard_axis	2	7	2	4	1200
standard_axis	2	6	3	4	4500
standard_axis	2	5	4	4	5640
standard_axis	2	4	5	4	-21630
standard_axis	2	3	6	4	-75060
standard_axis	2	2	7	4	-86400
standard_axis	2	1	8	4	-46980
standard_axis	2	0	9	4	33210
standard_axis	2	7	1	5	360
standard_axis	2	6	2	5	1680
standard_axis	2	4	4	5	-27780
standard_axis	2	3	5	5	-69480
standard_axis	2	2	6	5	-81540
standard_axis	2	1	7	5	-57240
standard_axis	2	0	8	5	61560
standard_axis	2	6	1	6	900
standard_axis	2	5	2	6	-2340
standard_axis	2	4	3	6	-16800
standard_axis	2	3	4	6	-37980
standard_axis	2	2	5	6	-47220
standard_axis	2	1	6	6	-41400
standard_axis	2	0	7	6	108000
