class	a0	a1	a2	a5	a3	a4	coefficient
trans	12	2	0	0	0	0	-30
trans	11	3	0	0	0	0	-80
trans	10	4	0	0	0	0	-200
trans	9	5	0	0	0	0	-480
trans	8	6	0	0	0	0	-735
trans	7	7	0	0	0	0	-840
trans	6	8	0	0	0	0	-720
trans	5	9	0	0	0	0	-400
trans	4	10	0	0	0	0	-220
trans	3	11	0	0	0	0	-120
trans	0	14	0	0	0	0	-15
trans	12	0	2	0	0	0	30
trans	9	3	2	0	0	0	180
trans	8	4	2	0	0	0	210
trans	7	5	2	0	0	0	300
trans	6	6	2	0	0	0	480
trans	5	7	2	0	0	0	300
trans	4	8	2	0	0	0	210
trans	3	9	2	0	0	0	180
trans	0	12	2	0	0	0	30
trans	11	0	3	0	0	0	80
trans	9	2	3	0	0	0	-180
trans	7	4	3	0	0	0	-260
trans	6	5	3	0	0	0	-800
trans	5	6	3	0	0	0	-500
trans	4	7	3	0	0	0	-480
trans	3	8	3	0	0	0	-540
trans	0	11	3	0	0	0	-120
trans	10	0	4	0	0	0	200
trans	8	2	4	0	0	0	-210
trans	7	3	4	0	0	0	260
trans	5	5	4	0	0	0	-200
trans	4	6	4	0	0	0	60
trans	9	0	5	0	0	0	480
trans	7	2	5	0	0	0	-300
trans	6	3	5	0	0	0	800
trans	5	4	5	0	0	0	200
trans	3	6	5	0	0	0	720
trans	0	9	5	0	0	0	240
trans	8	0	6	0	0	0	735
trans	6	2	6	0	0	0	-480
trans	5	3	6	0	0	0	500
trans	4	4	6	0	0	0	-60
trans	3	5	6	0	0	0	-720
trans	0	8	6	0	0	0	-360
trans	7	0	7	0	0	0	840
trans	5	2	7	0	0	0	-300
trans	4	3	7	0	0	0	480
trans	6	0	8	0	0	0	720
trans	4	2	8	0	0	0	-210
trans	3	3	8	0	0	0	540
trans	0	6	8	0	0	0	360
trans	5	0	9	0	0	0	400
trans	3	2	9	0	0	0	-180
trans	0	5	9	0	0	0	-240
trans	4	0	10	0	0	0	220
trans	3	0	11	0	0	0	120
trans	0	3	11	0	0	0	120
trans	0	2	12	0	0	0	-30
trans	0	0	14	0	0	0	15
trans	10	2	1	0	1	0	30
trans	9	3	1	0	1	0	100
trans	8	4	1	0	1	0	200
trans	7	5	1	0	1	0	380
trans	6	6	1	0	1	0	500
trans	5	7	1	0	1	0	380
trans	4	8	1	0	1	0	200
trans	3	9	1	0	1	0	100
trans	2	10	1	0	1	0	30
trans	10	1	2	0	1	0	-30
trans	8	3	2	0	1	0	-220
trans	7	4	2	0	1	0	-650
trans	6	5	2	0	1	0	-990
trans	5	6	2	0	1	0	-1030
trans	4	7	2	0	1	0	-650
trans	3	8	2	0	1	0	-360
trans	2	9	2	0	1	0	-150
trans	9	1	3	0	1	0	-100
trans	8	2	3	0	1	0	220
trans	6	4	3	0	1	0	-570
trans	5	5	3	0	1	0	80
trans	4	6	3	0	1	0	-70
trans	3	7	3	0	1	0	-200
trans	2	8	3	0	1	0	160
trans	8	1	4	0	1	0	-200
trans	7	2	4	0	1	0	650
trans	6	3	4	0	1	0	570
trans	4	5	4	0	1	0	680
trans	3	6	4	0	1	0	630
trans	2	7	4	0	1	0	30
trans	7	1	5	0	1	0	-380
trans	6	2	5	0	1	0	990
trans	5	3	5	0	1	0	-80
trans	4	4	5	0	1	0	-680
trans	2	6	5	0	1	0	-490
trans	6	1	6	0	1	0	-500
trans	5	2	6	0	1	0	1030
trans	4	3	6	0	1	0	70
trans	3	4	6	0	1	0	-630
trans	2	5	6	0	1	0	490
trans	5	1	7	0	1	0	-380
trans	4	2	7	0	1	0	650
trans	3	3	7	0	1	0	200
trans	2	4	7	0	1	0	-30
trans	4	1	8	0	1	0	-200
trans	3	2	8	0	1	0	360
trans	2	3	8	0	1	0	-160
trans	3	1	9	0	1	0	-100
trans	2	2	9	0	1	0	150
trans	2	1	10	0	1	0	-30
trans	10	2	0	0	2	0	15
trans	9	3	0	0	2	0	50
trans	8	4	0	0	2	0	100
trans	7	5	0	0	2	0	190
trans	6	6	0	0	2	0	250
trans	5	7	0	0	2	0	190
trans	4	8	0	0	2	0	100
trans	3	9	0	0	2	0	50
trans	2	10	0	0	2	0	15
trans	9	2	1	0	2	0	-150
trans	8	3	1	0	2	0	-350
trans	7	4	1	0	2	0	-660
