a	mask	deficit	central
0,0,0,12,12,0	24	0	1
0,2,2,9,9,2	62	0	1
0,4,4,6,6,4	62	0	1
0,6,6,3,3,6	62	0	1
0,8,8,0,0,8	38	0	1
1,1,1,10,10,1	63	0	1
1,3,3,7,7,3	63	0	1
1,5,5,4,4,5	63	0	1
1,7,7,1,1,7	63	0	1
2,0,0,11,11,0	25	0	1
2,2,2,8,8,2	63	0	1
2,4,4,5,5,4	63	0	1
2,6,6,2,2,6	63	0	1
3,1,1,9,9,1	63	0	1
3,3,3,6,6,3	63	0	1
3,5,5,3,3,5	63	0	1
3,7,7,0,0,7	39	0	1
4,0,0,10,10,0	25	0	1
4,2,2,7,7,2	63	0	1
4,4,4,4,4,4	63	0	1
4,6,6,1,1,6	63	0	1
5,1,1,8,8,1	63	0	1
5,3,3,5,5,3	63	0	1
5,5,5,2,2,5	63	0	1
6,0,0,9,9,0	25	0	1
6,2,2,6,6,2	63	0	1
6,4,4,3,3,4	63	0	1
6,6,6,0,0,6	39	0	1
7,1,1,7,7,1	63	0	1
7,3,3,4,4,3	63	0	1
7,5,5,1,1,5	63	0	1
8,0,0,8,8,0	25	0	1
8,2,2,5,5,2	63	0	1
8,4,4,2,2,4	63	0	1
9,1,1,6,6,1	63	0	1
9,3,3,3,3,3	63	0	1
9,5,5,0,0,5	39	0	1
10,0,0,7,7,0	25	0	1
10,2,2,4,4,2	63	0	1
10,4,4,1,1,4	63	0	1
11,1,1,5,5,1	63	0	1
11,3,3,2,2,3	63	0	1
12,0,0,6,6,0	25	0	1
12,2,2,3,3,2	63	0	1
12,4,4,0,0,4	39	0	1
13,1,1,4,4,1	63	0	1
13,3,3,1,1,3	63	0	1
14,0,0,5,5,0	25	0	1
14,2,2,2,2,2	63	0	1
15,1,1,3,3,1	63	0	1
15,3,3,0,0,3	39	0	1
16,0,0,4,4,0	25	0	1
16,2,2,1,1,2	63	0	1
17,1,1,2,2,1	63	0	1
18,0,0,3,3,0	25	0	1
18,2,2,0,0,2	39	0	1
19,1,1,1,1,1	63	0	1
20,0,0,2,2,0	25	0	1
21,1,1,0,0,1	39	0	1
22,0,0,1,1,0	25	0	1
24,0,0,0,0,0	1	0	1
