e	T1	T2	T3	C1	C2	numerator	denominator
0	0	0	0	1	7	-45	1
0	0	0	0	3	6	-120	1
0	0	0	0	5	5	-108	1
0	0	0	0	7	4	360	1
0	0	0	0	9	3	-265	1
0	0	0	0	11	2	90	1
0	0	0	0	13	1	-15	1
0	0	0	0	15	0	16333	16384
0	0	0	1	0	6	270	1
0	0	0	1	2	5	1530	1
0	0	0	1	4	4	1050	1
0	0	0	1	6	3	-2820	1
0	0	0	1	8	2	1575	1
0	0	0	1	10	1	-360	1
0	0	0	1	12	0	30	1
0	0	0	2	1	4	-6075	1
0	0	0	2	3	3	-10260	1
0	0	0	2	5	2	12195	1
0	0	0	2	7	1	-3990	1
0	0	0	2	9	0	420	1
0	0	0	3	0	3	7290	1
0	0	0	3	2	2	24300	1
0	0	0	3	4	1	-13770	1
0	0	0	3	6	0	1890	1
0	0	0	4	1	1	-32805	1
0	0	0	4	3	0	7290	1
0	0	0	5	0	0	19683	1
0	0	1	1	0	5	-540	1
0	0	1	1	2	4	-315	1
0	0	1	1	4	3	6600	1
0	0	1	1	6	2	-6225	1
0	0	1	1	8	1	1950	1
0	0	1	1	10	0	-200	1
0	0	1	2	1	3	7290	1
0	0	1	2	3	2	-19710	1
0	0	1	2	5	1	10170	1
0	0	1	2	7	0	-1440	1
0	0	1	3	0	2	-10935	1
0	0	1	3	2	1	12150	1
0	0	1	3	4	0	-2835	1
0	0	2	0	1	5	360	1
0	0	2	0	3	4	-125	1
0	0	2	0	5	3	-1845	1
0	0	2	0	7	2	1525	1
0	0	2	0	9	1	-425	1
0	0	2	0	11	0	40	1
0	0	2	1	0	4	-405	1
0	0	2	1	2	3	-2790	1
0	0	2	1	4	2	9825	1
0	0	2	1	6	1	-4930	1
0	0	2	1	8	0	665	1
0	0	2	2	1	2	3645	1
0	0	2	2	3	1	-4860	1
0	0	2	2	5	0	990	1
0	0	3	0	1	4	-540	1
0	0	3	0	3	3	550	1
0	0	3	0	5	2	-1560	1
0	0	3	0	7	1	760	1
0	0	3	0	9	0	-100	1
0	0	3	1	0	3	1620	1
0	0	3	1	2	2	405	1
0	0	3	1	4	1	600	1
0	0	3	1	6	0	-220	1
0	0	3	2	1	1	-4860	1
0	0	3	2	3	0	1080	1
0	0	3	3	0	0	3645	1
