equation	e	T1	T2	T3	C1	C2	numerator	denominator
dT2	0	0	0	1	0	5	-540	1
dT2	0	0	0	1	2	4	-315	1
dT2	0	0	0	1	4	3	6600	1
dT2	0	0	0	1	6	2	-6225	1
dT2	0	0	0	1	8	1	1950	1
dT2	0	0	0	1	10	0	-200	1
dT2	0	0	0	2	1	3	7290	1
dT2	0	0	0	2	3	2	-19710	1
dT2	0	0	0	2	5	1	10170	1
dT2	0	0	0	2	7	0	-1440	1
dT2	0	0	0	3	0	2	-10935	1
dT2	0	0	0	3	2	1	12150	1
dT2	0	0	0	3	4	0	-2835	1
dT2	0	0	1	0	1	5	720	1
dT2	0	0	1	0	3	4	-250	1
dT2	0	0	1	0	5	3	-3690	1
dT2	0	0	1	0	7	2	3050	1
dT2	0	0	1	0	9	1	-850	1
dT2	0	0	1	0	11	0	80	1
dT2	0	0	1	1	0	4	-810	1
dT2	0	0	1	1	2	3	-5580	1
dT2	0	0	1	1	4	2	19650	1
dT2	0	0	1	1	6	1	-9860	1
dT2	0	0	1	1	8	0	1330	1
dT2	0	0	1	2	1	2	7290	1
dT2	0	0	1	2	3	1	-9720	1
dT2	0	0	1	2	5	0	1980	1
dT2	0	0	2	0	1	4	-1620	1
dT2	0	0	2	0	3	3	1650	1
dT2	0	0	2	0	5	2	-4680	1
dT2	0	0	2	0	7	1	2280	1
dT2	0	0	2	0	9	0	-300	1
dT2	0	0	2	1	0	3	4860	1
dT2	0	0	2	1	2	2	1215	1
dT2	0	0	2	1	4	1	1800	1
dT2	0	0	2	1	6	0	-660	1
dT2	0	0	2	2	1	1	-14580	1
dT2	0	0	2	2	3	0	3240	1
dT2	0	0	2	3	0	0	10935	1
dT2	0	0	3	0	1	3	540	1
dT2	0	0	3	0	3	2	-420	1
dT2	0	0	3	0	5	1	-1040	1
dT2	0	0	3	0	7	0	280	1
dT2	0	0	3	1	0	2	-4320	1
dT2	0	0	3	1	2	1	4680	1
dT2	0	0	3	1	4	0	-960	1
dT2	0	0	4	0	1	2	900	1
dT2	0	0	4	0	3	1	-1100	1
dT2	0	0	4	0	5	0	200	1
dT2	0	0	5	0	1	1	-540	1
dT2	0	0	5	0	3	0	120	1
dT2	0	0	5	1	0	0	810	1
dT2	0	1	0	0	0	6	-90	1
dT2	0	1	0	0	2	5	-870	1
dT2	0	1	0	0	4	4	-1730	1
dT2	0	1	0	0	6	3	3060	1
dT2	0	1	0	0	8	2	-1605	1
dT2	0	1	0	0	10	1	360	1
dT2	0	1	0	0	12	0	-30	1
dT2	0	1	0	1	1	4	5670	1
dT2	0	1	0	1	3	3	27150	1
dT2	0	1	0	1	5	2	-30980	1
dT2	0	1	0	1	7	1	10510	1
dT2	0	1	0	1	9	0	-1140	1
dT2	0	1	0	2	0	3	-7290	1
dT2	0	1	0	2	2	2	-58320	1
dT2	0	1	0	2	4	1	35730	1
dT2	0	1	0	2	6	0	-5310	1
dT2	0	1	0	3	1	1	53460	1
dT2	0	1	0	3	3	0	-12960	1
dT2	0	1	0	4	0	0	-32805	1
dT2	0	1	1	0	0	5	360	1
dT2	0	1	1	0	2	4	250	1
dT2	0	1	1	0	4	3	-13760	1
dT2	0	1	1	0	6	2	12650	1
dT2	0	1	1	0	8	1	-3900	1
dT2	0	1	1	0	10	0	400	1
dT2	0	1	1	1	1	3	-16560	1
dT2	0	1	1	1	3	2	70320	1
dT2	0	1	1	1	5	1	-39480	1
dT2	0	1	1	1	7	0	5800	1
dT2	0	1	1	2	0	2	21870	1
dT2	0	1	1	2	2	1	-35640	1
dT2	0	1	1	2	4	0	9000	1
dT2	0	1	2	0	0	4	405	1
dT2	0	1	2	0	2	3	5490	1
dT2	0	1	2	0	4	2	-27915	1
dT2	0	1	2	0	6	1	14550	1
dT2	0	1	2	0	8	0	-1995	1
dT2	0	1	2	1	1	2	-5670	1
dT2	0	1	2	1	3	1	18810	1
dT2	0	1	2	1	5	0	-4440	1
dT2	0	1	3	0	0	3	-2160	1
dT2	0	1	3	0	2	2	-2220	1
dT2	0	1	3	0	4	1	-3440	1
dT2	0	1	3	0	6	0	1120	1
dT2	0	1	3	1	1	1	16560	1
dT2	0	1	3	1	3	0	-3840	1
dT2	0	1	3	2	0	0	-14580	1
dT2	0	1	4	0	0	2	1800	1
dT2	0	1	4	0	2	1	-2650	1
dT2	0	1	4	0	4	0	550	1
dT2	0	1	6	0	0	0	-315	1
dT2	0	2	0	0	1	5	-530	1
dT2	0	2	0	0	3	4	-2520	1
dT2	0	2	0	0	5	3	5560	1
dT2	0	2	0	0	7	2	-3470	1
dT2	0	2	0	0	9	1	880	1
dT2	0	2	0	0	11	0	-80	1
dT2	0	2	0	1	0	4	315	1
dT2	0	2	0	1	2	3	39990	1
dT2	0	2	0	1	4	2	-52470	1
dT2	0	2	0	1	6	1	20250	1
dT2	0	2	0	1	8	0	-2415	1
dT2	0	2	0	2	1	2	-40500	1
dT2	0	2	0	2	3	1	29970	1
dT2	0	2	0	2	5	0	-5160	1
dT2	0	2	1	0	1	4	-1110	1
dT2	0	2	1	0	3	3	-31980	1
dT2	0	2	1	0	5	2	36250	1
dT2	0	2	1	0	7	1	-12760	1
dT2	0	2	1	0	9	0	1440	1
dT2	0	2	1	1	0	3	180	1
dT2	0	2	1	1	2	2	104460	1
dT2	0	2	1	1	4	1	-69980	1
dT2	0	2	1	1	6	0	11240	1
dT2	0	2	1	2	1	1	-68850	1
dT2	0	2	1	2	3	0	18720	1
dT2	0	2	1	3	0	0	41310	1
dT2	0	2	2	0	1	3	5490	1
dT2	0	2	2	0	3	2	-49560	1
dT2	0	2	2	0	5	1	30690	1
dT2	0	2	2	0	7	0	-4740	1
dT2	0	2	2	1	0	2	-6345	1
dT2	0	2	2	1	2	1	30330	1
dT2	0	2	2	1	4	0	-8505	1
dT2	0	2	3	0	1	2	500	1
dT2	0	2	3	0	3	1	-9920	1
dT2	0	2	3	0	5	0	2600	1
dT2	0	2	4	0	1	1	-4350	1
dT2	0	2	4	0	3	0	900	1
dT2	0	2	4	1	0	0	5850	1
dT2	0	3	0	0	0	5	-220	1
dT2	0	3	0	0	2	4	-2480	1
dT2	0	3	0	0	4	3	8950	1
dT2	0	3	0	0	6	2	-6900	1
dT2	0	3	0	0	8	1	2000	1
dT2	0	3	0	0	10	0	-200	1
dT2	0	3	0	1	1	3	31260	1
dT2	0	3	0	1	3	2	-58700	1
dT2	0	3	0	1	5	1	27250	1
dT2	0	3	0	1	7	0	-3660	1
