e	t	c	r2	u	s2	w	numerator	denominator
0	0	0	0	1	6	0	270	1
0	0	0	0	3	3	0	-7290	1
0	0	0	0	5	0	0	19683	1
0	0	0	1	1	5	0	-270	1
0	0	0	1	3	2	0	10935	2
0	0	0	2	1	4	0	-405	4
0	0	0	3	1	3	0	405	2
0	0	0	3	3	0	0	-3645	8
0	0	0	4	1	2	0	-135	2
0	0	0	6	1	0	0	135	64
0	0	1	0	0	7	0	90	1
0	0	1	0	2	4	0	-12150	1
0	0	1	0	4	1	0	65610	1
0	0	1	1	2	3	0	7290	1
0	0	1	2	0	5	0	-180	1
0	0	1	2	2	2	0	3645	2
0	0	1	3	0	4	0	135	1
0	0	1	3	2	1	0	-1215	1
0	0	1	4	0	3	0	-135	8
0	0	1	5	0	2	0	-45	4
0	0	1	6	0	1	0	45	16
0	0	2	0	1	5	0	-7740	1
0	0	2	0	3	2	0	119070	1
0	0	2	1	1	4	0	1980	1
0	0	2	1	3	1	0	13365	1
0	0	2	2	1	3	0	3195	1
0	0	2	3	1	2	0	-810	1
0	0	2	4	1	1	0	-315	2
0	0	3	0	0	6	0	-1590	1
0	0	3	0	2	3	0	130680	1
0	0	3	0	4	0	0	-7290	1
0	0	3	1	2	2	0	56970	1
0	0	3	2	0	4	0	650	1
0	0	3	2	2	1	0	6075	1
0	0	3	3	0	3	0	10	1
0	0	3	3	2	0	0	135	1
0	0	3	4	0	2	0	-15	8
0	0	3	5	0	1	0	-65	2
0	0	3	6	0	0	0	-5	16
0	0	4	0	1	4	0	51450	1
0	0	4	0	3	1	0	4050	1
0	0	4	1	1	3	0	47580	1
0	0	4	1	3	0	0	7695	2
0	0	4	2	1	2	0	60645	2
0	0	4	3	1	1	0	4425	2
0	0	4	4	1	0	0	-15	1
0	0	5	0	0	5	0	11106	1
0	0	5	0	2	2	0	71100	1
0	0	5	1	2	1	0	26910	1
0	0	5	2	0	3	0	13960	1
0	0	5	2	2	0	0	45	2
0	0	5	3	0	2	0	5400	1
0	0	5	4	0	1	0	4595	8
0	0	5	5	0	0	0	15	4
0	0	6	0	1	3	0	46680	1
0	0	6	0	3	0	0	5130	1
0	0	6	1	1	2	0	47280	1
0	0	6	2	1	1	0	9055	1
0	0	6	3	1	0	0	155	1
0	0	7	0	0	4	0	11250	1
0	0	7	0	2	1	0	25080	1
0	0	7	1	2	0	0	990	1
0	0	7	2	0	2	0	4820	1
0	0	7	3	0	1	0	790	1
0	0	7	4	0	0	0	35	8
0	0	8	0	1	2	0	27810	1
0	0	8	1	1	1	0	5730	1
0	0	8	2	1	0	0	355	4
0	0	9	0	0	3	0	8270	1
0	0	9	0	2	0	0	330	1
0	0	9	2	0	1	0	1180	1
0	0	9	3	0	0	0	65	1
0	0	10	0	1	1	0	4260	1
0	0	10	1	1	0	0	100	1
0	0	11	0	0	2	0	2910	1
0	0	11	2	0	0	0	50	1
0	0	12	0	1	0	0	150	1
0	0	13	0	0	1	0	630	1
0	1	1	0	1	5	0	-2160	1
0	1	1	0	3	2	0	116640	1
0	1	1	1	1	4	0	-4860	1
0	1	1	1	3	1	0	29160	1
0	1	1	2	1	3	0	5130	1
0	1	1	3	1	2	0	-405	1
0	1	1	4	1	1	0	-675	2
0	1	2	0	2	3	0	301320	1
0	1	2	1	0	5	0	-2160	1
