a0	a1	a2	a5	a3	a4	coefficient
15	0	0	0	0	0	1
12	3	0	0	0	0	10
11	4	0	0	0	0	20
10	5	0	0	0	0	40
9	6	0	0	0	0	80
8	7	0	0	0	0	105
7	8	0	0	0	0	105
6	9	0	0	0	0	80
5	10	0	0	0	0	40
4	11	0	0	0	0	20
3	12	0	0	0	0	10
0	15	0	0	0	0	1
12	0	3	0	0	0	10
9	3	3	0	0	0	60
8	4	3	0	0	0	70
7	5	3	0	0	0	100
6	6	3	0	0	0	160
5	7	3	0	0	0	100
4	8	3	0	0	0	70
3	9	3	0	0	0	60
0	12	3	0	0	0	10
11	0	4	0	0	0	20
8	3	4	0	0	0	70
7	4	4	0	0	0	60
6	5	4	0	0	0	40
5	6	4	0	0	0	50
4	7	4	0	0	0	20
10	0	5	0	0	0	40
7	3	5	0	0	0	100
6	4	5	0	0	0	40
5	5	5	0	0	0	20
4	6	5	0	0	0	40
9	0	6	0	0	0	80
6	3	6	0	0	0	160
5	4	6	0	0	0	50
4	5	6	0	0	0	40
3	6	6	0	0	0	120
0	9	6	0	0	0	40
8	0	7	0	0	0	105
5	3	7	0	0	0	100
4	4	7	0	0	0	20
7	0	8	0	0	0	105
4	3	8	0	0	0	70
6	0	9	0	0	0	80
3	3	9	0	0	0	60
0	6	9	0	0	0	40
5	0	10	0	0	0	40
4	0	11	0	0	0	20
3	0	12	0	0	0	10
0	3	12	0	0	0	10
0	0	15	0	0	0	1
10	2	2	0	1	0	15
9	3	2	0	1	0	50
8	4	2	0	1	0	100
7	5	2	0	1	0	190
6	6	2	0	1	0	250
5	7	2	0	1	0	190
4	8	2	0	1	0	100
3	9	2	0	1	0	50
2	10	2	0	1	0	15
9	2	3	0	1	0	50
8	3	3	0	1	0	60
7	4	3	0	1	0	100
6	5	3	0	1	0	170
5	6	3	0	1	0	100
4	7	3	0	1	0	50
3	8	3	0	1	0	30
8	2	4	0	1	0	100
7	3	4	0	1	0	100
6	4	4	0	1	0	70
5	5	4	0	1	0	170
4	6	4	0	1	0	70
3	7	4	0	1	0	10
2	8	4	0	1	0	40
7	2	5	0	1	0	190
6	3	5	0	1	0	170
5	4	5	0	1	0	170
4	5	5	0	1	0	220
3	6	5	0	1	0	140
2	7	5	0	1	0	70
6	2	6	0	1	0	250
5	3	6	0	1	0	100
4	4	6	0	1	0	70
3	5	6	0	1	0	140
5	2	7	0	1	0	190
4	3	7	0	1	0	50
3	4	7	0	1	0	10
2	5	7	0	1	0	70
4	2	8	0	1	0	100
3	3	8	0	1	0	30
