u_exponent	numerator	denominator
0	1902464334161910541367888154138026219885475660372543349850729669088234489	976562500000000000000000000000000000000000000000000000000000000
1	177267488847780237360247695946135392625683274742020504884579822772391391	122070312500000000000000000000000000000000000000000000000000
2	102760949706098707662850688232730252359044959747870189237048067666401503	244140625000000000000000000000000000000000000000000000000
3	-479247841251173831815755540781550325546245244177768803458699535535363	48828125000000000000000000000000000000000000000000000
4	-1426055488000347413744311536794580870534747857401580988201978209646147	122070312500000000000000000000000000000000000000000
5	-1131520052343109485060048797836171742161593864747914226290992305483687	781250000000000000000000000000000000000000000000
6	-2196512890063985075032440263380326157937827260463808557301557094468883	15625000000000000000000000000000000000000000000
7	-160681966601382570853755745916949410441309805380028846635282096579949	7812500000000000000000000000000000000000000
8	-354240547173513608490653796214685369670536521890299463586096686131307	125000000000000000000000000000000000000000
9	-15854098456939004925681383327932286769171330175863063224049384543033	62500000000000000000000000000000000000
10	-3886198579615535627420013835897384473174616659637929411348231833631	250000000000000000000000000000000000
11	-15868022192394548121470158641397084764785657277421706602956533487	15625000000000000000000000000000
12	-40979718521147799140687004319098209155464854256390250576242775881	500000000000000000000000000000
13	-5352269061430230834616541794922528771662731705290393867527667037	1000000000000000000000000000
14	-1043187775881481669733599251214687823046769046778423570219970473	4000000000000000000000000
15	-19732705535568023161297389743645365360324449093669301738074801	2000000000000000000000
16	-11799599246023757244047288858718762091982259262876783359232011	64000000000000000000
17	80974272158386977472440546277783624076871297690701873491083	16000000000000000
18	19491393314049381672496415081524408828558751005318437079503	64000000000000
19	15823806914764744861891363815408706353017752613342226657	8000000000
20	-3876960754390093575519724206240689382958057631795493213	64000000
21	1941029071842993265139566578022983169463796959000823	3200
22	-131925396806961565783942368666129559709386186484913	64
23	6682979268073476278110337076548228490000310258875	2
24	-2802346973603609540071799282292610702233920859375	1
25	1165816307354879019074579409370308532128000000000	1
26	-152066696928339427279920998154715326750000000000	1
