source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650651.tsv	0	3368	999992371	999841153	999999983	999999991	1000000000	1	18969709731206929206278845425522682847394904155913233220039163658373289417570239753068413884381126920651459838927690467619538510381447504747850119300091872741177041401346318524285004151891517319983615204671031509443812040642947509469365368149450204597153683129038090070504486994666493039901101117059248067301948138224676743176901495328343566835712448940914967863231512576000000000000000
candidates-650651.tsv	1	3304	999985024	999720308	999999988	999999974	1000000000	1	53056887589304324525299277229168921205927493834715855126255305644453311950446195830663193390849005835115012881118906380657889120906589405868897365263531483480557503507168578690327807154905545708522512544814666271022135162361756350108538130613298039679990423209892274978420672727480226950964387907012870993188524913571288910819927163662995348837886509477665991234592161378097324378554368
candidates-650651.tsv	2	7607	999967949	999977020	999999984	999999995	1000000000	1	82917645016233000033945923265278087972374271806158747099345922289986318922431799009644446102175075173722343031129363579761871853880310669734184382999645368737398783481381567578364323986309174367908011691010110304516159584995857770751241555394786370052338491496967752123751232942266152144842236007104729530057891628909476687931467402138784611524091852062894204488388744493845193812748243
candidates-650651.tsv	3	10458	999989812	998715665	999999975	999999986	1000000000	1	23174102133944203695901811642088505011175154752305330533501968262384706187443898038197464981709402744920905579928712462416912682169051428030484723652917104001973870771540498290641882569181106514982099131874574400608645299592611853764458235719724510868127323506072551614192270908385233243072774898621406391016104416920640652654515947273132505419754114872527642717437270256942728844673024
candidates-650651.tsv	4	2368	999981265	999873820	999999972	999999985	1000000000	1	68677472691356795487780602497526037193944194168062627990339006184903634720141492856718831644767559163201043529572573446843532074967991052444908084396045199425699721006061010426384329941977640133321942792400798972325344709632772932823371992560422089982395500271018552308816556410526039212449081443307428633952593063458491225861290018632258604482064030871079400378910900224000000000000000
candidates-650651.tsv	5	11159	999996268	998615993	999999984	999999996	1000000000	1	20313822079893572777060508871281353879943626100832447124032621645224252721248030678640198429370551490455641782628133969985661865218067075602495812963249305287350493174226463038073939103861964884682476262610180695283569660510308559135548441939203441419185352118152999365353383645026359935472733442531086108338044384084843128168317278159634624725543299149615853196288877785342145848147968
candidates-650651.tsv	6	2357	999987623	998341019	999999973	999999976	1000000000	1	1632319036008371373987247900667189330747339011043261875767907083601746428727355725468989270272571103034483877556064292521534803821518748508487597110362287236888447139610657045610860039535154673638542709392033411029240612725594103149393496809295719085583470864926694261386556334672868277530361699291134326619091257127876298238467752771094039872463687667467354522327144448582733713637376
candidates-650651.tsv	7	11762	999959782	999756752	999999987	999999979	1000000000	1	72985798541690916960384708391580221580949086319353604531768589265530779243276994532148138399394790155165178287219561658803618881274160314686112021237781839415293419067223428069611624813238935870862877060588490320356734859892715615410123053273274881218403277076916213966887454850266285504212895769827278409536311848576475192086284507396740846155799856276872089594729857024000000000000000
candidates-650651.tsv	8	12352	999996064	998511734	999999991	999999982	1000000000	1	46098894588020931722641660086802779293751814085349920692461197795441641996490207667376021065384689436469591239601065935259204717016292329722500659111965207815861320771568427554522785570834153235105538354874508000451872286932715192485739154681390744636325206731052058988001432335566977126310573152214041548103249005079690919226073180249122518068182900160568905747438116997208780857933824
candidates-650651.tsv	9	5683	999999018	998713921	999999987	999999964	1000000000	1	25274405450890464818771732176087481475542184887058799883977947318631553723971108787376763632383370728172375786665797739508203292898415773142123224159125199697078617948813842588626769671579250080936743006024476737273981784732640225762983210894671284699404272577326761450870390018592079056572275834378926058752668545465808044279004708208225990631172139528310335734111777835884940441419776
