x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	2	0	412782428160
0	0	3	1	-6191736422400
0	0	3	3	1651129712640
0	0	4	0	1238347284480
0	0	4	2	43342154956800
0	0	4	4	-15272949841920
0	0	4	6	773967052800
0	0	5	0	412782428160
0	0	5	1	-18575209267200
0	0	5	3	-177083661680640
0	0	5	4	412782428160
0	0	5	5	73888054640640
0	0	5	7	-5030785843200
0	0	6	0	3715041853440
0	0	6	1	-6191736422400
0	0	6	2	130026464870400
0	0	6	3	3302259425280
0	0	6	4	466444143820800
0	0	6	5	-2889476997120
0	0	6	6	-210106255933440
0	0	6	8	17878638919680
0	0	7	0	4127824281600
0	0	7	1	-55725627801600
0	0	7	2	43342154956800
0	0	7	3	-522995336478720
0	0	7	4	-21464686264320
0	0	7	5	-778507659509760
0	0	7	6	21877468692480
0	0	7	7	382649310904320
0	0	7	9	-35742765957120
0	0	8	0	6852188307456
0	0	8	1	-61917364224000
0	0	8	2	390079394611200
0	0	8	3	-149840021422080
0	0	8	4	1315537598545920
0	0	8	5	107323431321600
0	0	8	6	756217408389120
0	0	8	7	-62330146652160
0	0	8	8	-414846340300800
0	0	8	10	36008817131520
0	0	9	0	7430083706880
0	0	9	1	-102782824611840
0	0	9	2	433421549568000
0	0	9	3	-1612740946821120
0	0	9	4	246018327183360
0	0	9	5	-1961954881044480
0	0	9	6	-282343180861440
0	0	9	7	-260052929740800
0	0	9	8	109387343462400
0	0	9	9	172130272542720
0	0	9	11	6116758364160
0	0	10	0	4540606709760
0	0	10	1	-111451255603200
0	0	10	2	719479772282880
0	0	10	3	-1797254692208640
0	0	10	4	4297890642001920
0	0	10	5	75951966781440
0	0	10	6	1093460652195840
0	0	10	7	376457574481920
0	0	10	8	-200612260085760
0	0	10	9	-149840021422080
0	0	10	10	149840021422080
0	0	10	12	-45959131054080
0	0	11	0	1238347284480
0	0	11	1	-68109100646400
0	0	11	2	780158789222400
0	0	11	3	-3077293001932800
0	0	11	4	4770939304673280
0	0	11	5	-7520895841075200
0	0	11	6	-1368786531778560
0	0	11	7	1693646302740480
0	0	11	8	-330638724956160
0	0	11	9	-110625690746880
0	0	11	10	170479142830080
0	0	11	11	-149840021422080
0	0	11	13	14777933414400
0	0	12	1	-18575209267200
0	0	12	2	476763704524800
0	0	12	3	-3374083567779840
0	0	12	4	8894635761991680
0	0	12	5	-8142546177884160
0	0	12	6	7955142955499520
0	0	12	7	3115681767751680
0	0	12	8	-4065081352519680
0	0	12	9	456950147973120
0	0	12	10	913900295946240
0	0	12	11	-177909226536960
0	0	12	12	-110625690746880
0	0	12	14	26397113794560
0	0	13	0	82556485632
0	0	13	2	130026464870400
0	0	13	3	-2065150488084480
0	0	13	4	10067763422822400
0	0	13	5	-18189175140384768
0	0	13	6	7863505256448000
0	0	13	7	-2490316389089280
0	0	13	8	-2892779256545280
0	0	13	9	3301433860423680
0	0	13	10	-900278475816960
0	0	13	11	-973340965601280
0	0	13	12	173368619827200
0	0	13	13	118055774453760
0	0	13	15	14777623525248
0	0	14	1	-1238347284480
0	0	14	3	-563448014438400
0	0	14	4	6188021380546560
0	0	14	5	-21931130408140800
0	0	14	6	26739220131348480
0	0	14	7	-359120712499200
0	0	14	8	-7000377199165440
0	0	14	9	-1017095902986240
0	0	14	10	-90812134195200
0	0	14	11	1353513581936640
0	0	14	12	115166297456640
0	0	14	13	-141997155287040
0	0	14	14	56138410229760
0	0	15	2	8668430991360
0	0	15	4	1690344043315200
0	0	15	5	-13580954668892160
0	0	15	6	36007011208396800
0	0	15	7	-27902441013903360
0	0	15	8	-11905470792990720
0	0	15	9	13808810569236480
0	0	15	10	6087715250503680
0	0	15	11	-2420556158730240
0	0	15	12	-1406349732741120
0	0	15	13	490798307082240
0	0	15	14	82556485632000
0	0	15	15	-53661715660800
0	0	16	3	-37563200962560
0	0	16	5	-3718756895293440
0	0	16	6	22544112313958400
0	0	16	7	-45360661030502400
0	0	16	8	19324409374310400
0	0	16	9	20810013333258240
0	0	16	10	-13429876300185600
0	0	16	11	-7885795507568640
0	0	16	12	2584843565137920
0	0	16	13	946510107770880
0	0	16	14	-364486884065280
0	0	16	15	-23115815976960
0	0	17	4	112689602887680
0	0	17	6	6197928158822400
0	0	17	7	-28810149573427200
0	0	17	8	44216428139642880
0	0	17	9	-6538886444482560
0	0	17	10	-20613528897454080
0	0	17	11	8199097370542080
0	0	17	12	5682775688478720
0	0	17	13	-1395204607180800
0	0	17	14	-361184624640000
0	0	17	15	84620397772800
0	0	18	5	-247917126352896
0	0	18	7	-7968764775628800
0	0	18	8	28564956811100160
0	0	18	9	-33373459316736000
0	0	18	10	-2394220639813632
0	0	18	11	13559902765056000
0	0	18	12	-3245295450193920
0	0	18	13	-2488665259376640
0	0	18	14	404526779596800
0	0	18	15	58202322370560
0	0	19	6	413195210588160
0	0	19	8	7968764775628800
0	0	19	9	-21962914655109120
0	0	19	10	19370228223836160
0	0	19	11	4590553383567360
0	0	19	12	-6039006923980800
0	0	19	13	811530253762560
0	0	19	14	628667638087680
0	0	19	15	-49533891379200
0	0	20	7	-531250985041920
0	0	20	9	-6197928158822400
0	0	20	10	12981594583203840
0	0	20	11	-8507445844377600
0	0	20	12	-2939836453355520
0	0	20	13	1752674189967360
0	0	20	14	-119706904166400
0	0	20	15	-71411360071680
0	0	21	8	531250985041920
0	0	21	10	3718756895293440
0	0	21	11	-5789273554944000
0	0	21	12	2745003147264000
0	0	21	13	1069106488934400
0	0	21	14	-298028913131520
0	0	21	15	8668430991360
0	0	22	9	-413195210588160
0	0	22	11	-1690344043315200
0	0	22	12	1884351784550400
0	0	22	13	-616696947671040
0	0	22	14	-219600251781120
0	0	22	15	22290251120640
0	0	23	10	247917126352896
0	0	23	12	563448014438400
0	0	23	13	-422276424007680
0	0	23	14	86684309913600
0	0	23	15	19978669522944
0	0	24	11	-112689602887680
