x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	578547930240
0	0	2	0	2672340439680
0	0	4	0	7594589496960
0	0	6	0	10331213040000
0	0	8	0	10198973513088
0	0	10	0	-1460144776320
0	0	12	0	82649704320
0	1	0	0	-8678218953600
0	1	2	0	-40085106595200
0	1	4	0	-113918842454400
0	1	6	0	-154968195600000
0	1	8	0	-152984602696320
0	1	10	0	21902171644800
0	1	12	0	-1239745564800
0	2	0	0	60747532675200
0	2	2	0	280595746166400
0	2	4	0	797431897180800
0	2	6	0	1084777369200000
0	2	8	0	1070892218874240
0	2	10	0	-153315201513600
0	2	12	0	8678218953600
0	3	0	0	-261149597216640
0	3	0	2	1175462461440
0	3	1	3	81629337600
0	3	2	0	-1208862125285760
0	3	2	2	10579162152960
0	3	3	3	2318273187840
0	3	4	0	-3443522382622080
0	3	4	2	39965723688960
0	3	5	3	15134079191040
0	3	6	0	-4690645198807680
0	3	6	2	80715089018880
0	3	7	3	25403049861120
0	3	8	0	-4638965665173120
0	3	8	2	71703210147840
0	3	9	3	27998862796800
0	3	10	0	664365873225600
0	3	10	2	-3526387384320
0	3	11	3	-4212073820160
0	3	12	0	-37605615465600
0	3	13	3	146932807680
0	4	0	0	767122924129920
0	4	0	2	-11264848588800
0	4	1	3	-892480757760
0	4	2	0	3569598214300800
0	4	2	2	-104452900392960
0	4	2	4	326517350400
0	4	3	3	-20244075724800
0	4	4	0	10229825661356160
0	4	4	2	-407820170649600
0	4	4	4	7705809469440
0	4	5	3	-134416309248000
0	4	6	0	13985800319387520
0	4	6	2	-858283507261440
0	4	6	4	31476272578560
0	4	7	3	-216894591959040
0	4	8	0	13903183266802560
0	4	8	2	-798694090813440
0	4	8	4	91163644231680
0	4	9	3	-299677624197120
0	4	10	0	-1993097619676800
0	4	10	2	40651410124800
0	4	10	4	4244725555200
0	4	11	3	49761244200960
0	4	12	0	112816846396800
0	4	12	4	-1175462461440
0	4	13	3	-1763193692160
0	5	0	0	-1623969074805120
0	5	0	2	52500361973760
0	5	1	3	4763525345280
0	5	2	0	-7625163425235840
0	5	2	2	491680710144000
0	5	2	4	-544195584000
0	5	3	3	86483562209280
0	5	3	5	145118822400
0	5	4	0	-22091435726348160
0	5	4	2	1949722170531840
0	5	4	4	-41924827791360
0	5	5	3	570893819351040
0	5	5	5	8315308523520
0	5	6	0	-30408233305034880
0	5	6	2	4227986099036160
0	5	6	4	-190033097932800
0	5	7	3	855170708520960
0	5	7	5	68612179230720
0	5	8	0	-30528386792221824
0	5	8	2	4087833968332800
0	5	8	4	-759348750090240
0	5	9	3	1492282246533120
0	5	9	5	69047535697920
0	5	10	0	4384814763288960
0	5	10	2	-214423944007680
0	5	10	4	-46430767226880
0	5	11	3	-270160455720960
0	5	11	5	2873352683520
0	5	12	0	-248197062072960
0	5	12	4	12930087075840
0	5	13	3	9697565306880
0	5	13	5	-391820820480
0	6	0	0	2547671315794560
0	6	0	2	-152037362257920
0	6	1	3	-15646227701760
0	6	2	0	12128943084531840
0	6	2	2	-1432732737761280
0	6	2	4	1066623344640
0	6	3	3	-235581058990080
0	6	4	0	35742974452053120
0	6	4	2	-5735901270712320
0	6	4	4	135613539532800
0	6	4	6	1238347284480
0	6	5	3	-1533681018593280
0	6	5	5	-21042229248000
0	6	6	0	49728960818305920
0	6	6	2	-12730410832158720
0	6	6	4	585162627563520
0	6	6	6	21845220065280
0	6	7	3	-2078130560532480
0	6	7	5	-360591249899520
0	6	8	0	50722610256109440
0	6	8	2	-12708806267473920
0	6	8	4	2966606038794240
0	6	8	6	116965770854400
0	6	9	3	-4579667053240320
0	6	9	5	-435878894960640
0	6	10	0	-7308024605481600
0	6	10	2	684217107763200
0	6	10	4	232415050014720
0	6	10	6	42316648611840
0	6	11	3	891392366592000
0	6	11	5	-33435376680960
0	6	12	0	413661770121600
0	6	12	4	-64650435379200
0	6	12	6	-1567283281920
0	6	13	3	-32325217689600
0	6	13	5	3918208204800
0	7	0	0	-2999224177315200
0	7	0	2	297381118832640
0	7	1	3	34242197022720
0	7	2	0	-14569729436960640
0	7	2	2	2835231178199040
0	7	2	4	-12395566080000
0	7	3	3	445344270151680
0	7	3	5	-3758577500160
0	7	4	0	-44016871732364160
0	7	4	2	11479573654364160
0	7	4	4	-386156349112320
0	7	4	6	-5869250150400
0	7	5	3	2887126273751040
0	7	5	5	-41450772971520
0	7	5	7	343447879680
0	7	6	0	-62198166613322880
0	7	6	2	26021364883660800
0	7	6	4	-1428244938178560
0	7	6	6	-72423966965760
0	7	7	3	3503944758435840
0	7	7	5	690446333214720
0	7	7	7	35041358315520
0	7	8	0	-64919239767550080
0	7	8	2	26721037146009600
0	7	8	4	-7317732714577920
0	7	8	6	-589356561530880
0	7	9	3	9657158784768000
0	7	9	5	1064620704890880
0	7	9	7	117343079792640
0	7	10	0	9396031635619200
0	7	10	2	-1470797404876800
0	7	10	4	-702338820710400
0	7	10	6	-300395962368000
0	7	11	3	-1990939544064000
0	7	11	5	171486912430080
0	7	11	7	12364123668480
0	7	12	0	-531850847299200
0	7	12	4	193951306137600
0	7	12	6	14105549537280
0	7	13	3	72731739801600
0	7	13	5	-17631936921600
0	7	13	7	-391820820480
0	8	0	0	2652530473307520
0	8	0	2	-406659220070400
0	8	1	3	-51834830929920
0	8	2	0	13261323622320000
0	8	2	2	-3963739235328000
0	8	2	4	53186048409600
0	8	3	3	-602310835077120
0	8	3	5	17259465277440
0	8	4	0	41492587864245120
0	8	4	2	-16341787054817280
0	8	4	4	911626767728640
0	8	4	6	20768115916800
0	8	5	3	-3980391620198400
0	8	5	5	262916607836160
0	8	5	7	2902376448000
0	8	6	0	59899157949156480
0	8	6	2	-37917850402897920
0	8	6	4	3106500583587840
0	8	6	6	68186497351680
0	8	6	8	1054530109440
0	8	7	3	-4364535654973440
0	8	7	5	-314269321789440
0	8	7	7	-119887496478720
0	8	8	0	64518407068199040
0	8	8	2	-40011240207605760
0	8	8	4	12864783605760000
0	8	8	6	1107082472325120
0	8	8	8	49814454435840
0	8	9	3	-14744609295482880
0	8	9	5	-990871319347200
0	8	9	7	-637594058096640
0	8	10	0	-9396031635619200
0	8	10	2	2243370107658240
0	8	10	4	1422701399162880
0	8	10	6	942459680194560
0	8	10	8	48905043148800
0	8	11	3	3171397720965120
0	8	11	5	-513024060948480
0	8	11	7	-85678152744960
0	8	12	0	531850847299200
0	8	12	4	-387902612275200
0	8	12	6	-56422198149120
0	8	12	8	5485491486720
0	8	13	3	-116370783682560
0	8	13	5	47018498457600
0	8	13	7	3134566563840
0	9	0	0	-1746281642855040
0	9	0	2	391978032537600
0	9	1	3	55189494374400
0	9	2	0	-9090837001941120
0	9	2	2	3966414258954240
0	9	2	4	-119544048599040
0	9	3	3	588268170362880
0	9	3	5	-41252443914240
0	9	4	0	-29854604090586240
0	9	4	2	16837948308602880
0	9	4	4	-1575516356444160
0	9	4	6	-54590476124160
0	9	5	3	4090674669281280
0	9	5	5	-545617748459520
0	9	5	7	-16388752343040
0	9	6	0	-44348934435765120
0	9	6	2	40251796423557120
0	9	6	4	-5400016500326400
0	9	6	6	30571698585600
0	9	6	8	1441513635840
0	9	7	3	4153387768381440
0	9	7	5	-1047641802670080
0	9	7	7	128478530764800
0	9	7	9	2579890176000
0	9	8	0	-49778713899573120
0	9	8	2	43727138262097920
0	9	8	4	-16995445766553600
0	9	8	6	-683335510917120
0	9	8	8	-199789920092160
0	9	9	3	16704692949934080
0	9	9	5	-744111273738240
0	9	9	7	1507494327091200
0	9	9	9	23605995110400
0	9	10	0	7308024605481600
0	9	10	2	-2489041762099200
0	9	10	4	-2026889104343040
0	9	10	6	-1726797891502080
0	9	10	8	-235063468523520
0	9	11	3	-3694478516305920
0	9	11	5	994702456258560
0	9	11	7	256337887887360
0	9	11	9	14395787182080
0	9	12	0	-413661770121600
0	9	12	4	543063657185280
0	9	12	6	131651795681280
0	9	12	8	-38398440407040
0	9	13	3	135765914296320
0	9	13	5	-82282372300800
0	9	13	7	-10970982973440
0	9	13	9	696570347520
0	10	0	0	838755313269120
0	10	0	2	-262415947898880
0	10	1	3	-41373376266240
0	10	2	0	4619476887569280
0	10	2	2	-2823980841492480
0	10	2	4	164640528875520
0	10	3	3	-413695064309760
0	10	3	5	61298190581760
0	10	4	0	16209508640595840
0	10	4	2	-12550325629501440
0	10	4	4	1906000287989760
0	10	4	6	86839103324160
0	10	5	3	-3141256541552640
0	10	5	5	673215891701760
0	10	5	7	29346250752000
0	10	6	0	24998820360958080
0	10	6	2	-31252455818772480
0	10	6	4	6790603104092160
0	10	6	6	-130219956633600
0	10	6	8	-19339501731840
0	10	7	3	-3058466253373440
0	10	7	5	2407927596318720
0	10	7	7	-14008803655680
0	10	7	9	-11454712381440
0	10	8	0	29567250319584384
0	10	8	2	-35121708188835840
0	10	8	4	17051171394355200
0	10	8	6	-783293355786240
0	10	8	8	325075836764160
0	10	8	10	515978035200
0	10	9	3	-14133368815534080
0	10	9	5	3174967643996160
0	10	9	7	-2109215012290560
0	10	9	9	-63620091740160
0	10	10	0	-4384814763288960
0	10	10	2	2023558627368960
0	10	10	4	2070773036236800
0	10	10	6	2059410232442880
0	10	10	8	452103179304960
0	10	10	10	9906778275840
0	10	11	3	3171397720965120
0	10	11	5	-1309203968163840
0	10	11	7	-431177045114880
0	10	11	9	-74300837068800
0	10	12	0	248197062072960
0	10	12	4	-543063657185280
0	10	12	6	-197477693521920
0	10	12	8	115195321221120
0	10	12	10	2786281390080
0	10	13	3	-116370783682560
0	10	13	5	98738846760960
0	10	13	7	21941965946880
0	10	13	9	-4179422085120
0	11	0	0	-284327113887360
0	11	0	2	117039136481280
0	11	1	3	21512051435520
0	11	2	0	-1691775164327040
0	11	2	2	1395779438960640
0	11	2	4	-142466372812800
0	11	3	3	206053006602240
0	11	3	5	-58489335152640
0	11	4	0	-6497862953224320
0	11	4	2	6654554208092160
0	11	4	4	-1580218206289920
0	11	4	6	-70663191920640
0	11	5	3	1783381534341120
0	11	5	5	-563922069258240
0	11	5	7	-16101739560960
0	11	6	0	-10518512575489920
0	11	6	2	17548827372011520
0	11	6	4	-5910370374942720
0	11	6	6	203824223354880
0	11	6	8	55554710077440
0	11	7	3	1733437077626880
0	11	7	5	-2626708732968960
0	11	7	7	-11183823912960
0	11	7	9	30700693094400
0	11	8	0	-13275094491573120
0	11	8	2	20562691355320320
0	11	8	4	-12763432620195840
0	11	8	6	1949119927418880
0	11	8	8	-250368666992640
0	11	8	10	2579890176000
0	11	9	3	8849616073758720
0	11	9	5	-4135364010639360
0	11	9	7	2060513135493120
0	11	9	9	50385255137280
0	11	9	11	1547934105600
0	11	10	0	1993097619676800
0	11	10	2	-1196033054515200
0	11	10	4	-1515954754437120
0	11	10	6	-1685351955824640
0	11	10	8	-427200789381120
0	11	10	10	-27862813900800
0	11	11	3	-1990939544064000
0	11	11	5	1186694658293760
0	11	11	7	444063596544000
0	11	11	9	164390602014720
0	11	11	11	2476694568960
0	11	12	0	-112816846396800
0	11	12	4	387902612275200
0	11	12	6	197477693521920
0	11	12	8	-191992202035200
0	11	12	10	-13931406950400
0	11	13	3	72731739801600
0	11	13	5	-82282372300800
0	11	13	7	-27427457433600
0	11	13	9	10448555212800
0	11	13	11	928760463360
0	12	0	0	64740945686400
0	12	0	2	-32221618974720
0	12	1	3	-7487325020160
0	12	2	0	426628136903040
0	12	2	2	-457251269529600
0	12	2	4	73043946823680
