x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	578547930240
0	0	1	0	1257091799040
0	0	1	2	-8678218953600
0	0	2	0	-11830811996160
0	0	2	2	60747532675200
0	0	2	4	2672340439680
0	0	3	0	56864810557440
0	0	3	2	-248252161875840
0	0	3	4	-40085106595200
0	0	4	0	-165378619330560
0	0	4	2	650131757481600
0	0	4	4	280595746166400
0	0	4	6	7594589496960
0	0	5	0	309943370004480
0	0	5	2	-1079414321719680
0	0	5	4	-1153762322405760
0	0	5	6	-113918842454400
0	0	6	0	-363323514839040
0	0	6	2	1015774049393280
0	0	6	4	3058838006981760
0	0	6	6	797431897180800
0	0	6	8	10331213040000
0	0	7	0	219413209743360
0	0	7	2	-183638459698560
0	0	7	4	-5225968354055040
0	0	7	6	-3337404243742080
0	0	7	8	-154968195600000
0	0	8	0	8056513290240
0	0	8	2	-740862766224000
0	0	8	4	5200897943744640
0	0	8	6	9245811206367360
0	0	8	8	1084777369200000
0	0	8	10	10198973513088
0	0	9	0	-58786224076800
0	0	9	2	670132985927040
0	0	9	4	-1412841595547520
0	0	9	6	-17698580133183360
0	0	9	8	-4590943125863040
0	0	9	10	-152984602696320
0	0	10	0	-55822776791040
0	0	10	2	307429350168960
0	0	10	4	-3750230333520000
0	0	10	6	23507476851807360
0	0	10	8	12891673329932160
0	0	10	10	1070892218874240
0	0	10	12	-1460144776320
0	0	11	0	62242269143040
0	0	11	2	-859364075617920
0	0	11	4	5993618807779200
0	0	11	6	-21032705938654080
0	0	11	8	-24871674504712320
0	0	11	10	-4646704126377600
0	0	11	12	21902171644800
0	0	12	0	19897806090240
0	0	12	2	470414567088000
0	0	12	4	-4385494327524480
0	0	12	6	11946381111722880
0	0	12	8	32637899887643520
0	0	12	10	13992420458666880
0	0	12	12	-153315201513600
0	0	12	14	82649704320
0	0	13	0	7517437175808
0	0	13	2	-57515010906240
0	0	13	4	1942901699253120
0	0	13	6	-4697138812613760
0	0	13	8	-26337108862108800
0	0	13	10	-31000432925695104
0	0	13	12	664512806033280
0	0	13	14	-1239745564800
0	0	14	2	41297302258560
0	0	14	4	-926953167150720
0	0	14	6	3863974693265280
0	0	14	8	5999698152696960
0	0	14	10	52237487503290240
0	0	14	12	-1994860813368960
0	0	14	14	8678218953600
0	0	15	2	-38781077927040
0	0	15	4	717665749211520
0	0	15	6	-5537227140524160
0	0	15	8	15171390940890240
0	0	15	10	-68204657347274880
0	0	15	12	4394512328595840
0	0	15	14	-37605615465600
0	0	16	4	-383081379523200
0	0	16	6	4977174377450880
0	0	16	8	-23670223302913920
