x	y	r	h	numerator	denominator
0	0	0	2	315	16384
0	0	2	4	1455	16384
0	0	4	6	4135	16384
0	0	6	8	5625	16384
0	0	8	10	5553	16384
0	0	10	12	-795	16384
0	0	12	14	45	16384
0	1	0	2	-4725	16384
0	1	2	4	-21825	16384
0	1	4	6	-62025	16384
0	1	6	8	-84375	16384
0	1	8	10	-83295	16384
0	1	10	12	11925	16384
0	1	12	14	-675	16384
0	2	0	2	33075	16384
0	2	2	4	152775	16384
0	2	4	6	434175	16384
0	2	6	8	590625	16384
0	2	8	10	583065	16384
0	2	10	12	-83475	16384
0	2	12	14	4725	16384
0	3	0	0	5	128
0	3	0	2	-1279685	147456
0	3	1	0	25	9216
0	3	2	2	45	128
0	3	2	4	-658185	16384
0	3	3	2	355	4608
0	3	4	4	85	64
0	3	4	6	-16873945	147456
0	3	5	4	515	1024
0	3	6	6	515	192
0	3	6	8	-22985095	147456
0	3	7	6	1945	2304
0	3	8	8	305	128
0	3	8	10	-7577285	49152
0	3	9	8	8575	9216
0	3	10	10	-15	128
0	3	10	12	361725	16384
0	3	11	10	-215	1536
0	3	12	14	-20475	16384
0	3	13	12	5	1024
0	4	0	0	-575	1536
0	4	0	2	3759055	147456
0	4	1	0	-205	6912
0	4	2	0	25	2304
0	4	2	2	-15995	4608
0	4	2	4	52475225	442368
0	4	3	2	-775	1152
0	4	4	2	295	1152
0	4	4	4	-31225	2304
0	4	4	6	150384545	442368
0	4	5	4	-30875	6912
0	4	6	4	1205	1152
0	4	6	6	-21905	768
0	4	6	8	68533205	147456
0	4	7	6	-12455	1728
0	4	8	6	1745	576
0	4	8	8	-122305	4608
0	4	8	10	22709455	49152
0	4	9	8	-22945	2304
0	4	10	8	325	2304
0	4	10	10	2075	1536
0	4	10	12	-1085175	16384
0	4	11	10	635	384
0	4	12	10	-5	128
0	4	12	14	61425	16384
0	4	13	12	-15	256
0	5	0	0	72355	41472
0	5	0	2	-23873315	442368
0	5	1	0	6565	41472
0	5	2	0	-125	6912
0	5	2	2	225875	13824
0	5	2	4	-112094455	442368
0	5	3	0	25	5184
0	5	3	2	19865	6912
0	5	4	2	-535	384
0	5	4	4	447845	6912
0	5	4	6	-324757295	442368
0	5	5	2	955	3456
0	5	5	4	262265	13824
0	5	6	4	-2425	384
0	5	6	6	971155	6912
0	5	6	8	-149006395	147456
0	5	7	4	985	432
0	5	7	6	98215	3456
0	5	8	6	-1615	64
0	5	8	8	625975	4608
0	5	8	10	-49865057	49152
0	5	9	6	3965	1728
0	5	9	8	228515	4608
0	5	10	8	-395	256
0	5	10	10	-10945	1536
0	5	10	12	2387385	16384
0	5	11	8	55	576
0	5	11	10	-6895	768
0	5	12	10	55	128
0	5	12	14	-135135	16384
0	5	13	10	-5	384
0	5	13	12	165	512
0	6	0	0	-69845	13824
0	6	0	2	337070605	3981312
0	6	1	0	-32345	62208
0	6	2	0	245	6912
0	6	2	2	-1974565	41472
0	6	2	4	59434235	147456
0	6	3	2	-243505	31104
0	6	4	0	10	243
0	6	4	2	15575	3456
0	6	4	4	-3952555	20736
0	6	4	6	525443065	442368
0	6	5	2	-3625	5184
0	6	5	4	-1056845	20736
0	6	6	2	5645	7776
0	6	6	4	67205	3456
0	6	6	6	-2924135	6912
0	6	6	8	243681805	147456
0	6	7	4	-7765	648
0	6	7	6	-119335	1728
0	6	8	4	10075	2592
0	6	8	6	56785	576
0	6	8	8	-216235	512
0	6	8	10	27616765	16384
0	6	9	6	-12515	864
0	6	9	8	-350645	2304
0	6	10	6	45	32
0	6	10	8	17795	2304
0	6	10	10	34925	1536
0	6	10	12	-3978975	16384
0	6	11	8	-10	9
0	6	11	10	11375	384
0	6	12	8	-5	96
0	6	12	10	-275	128
0	6	12	14	225225	16384
0	6	13	10	25	192
0	6	13	12	-275	256
0	7	0	0	136615	13824
0	7	0	2	-396813475	3981312
0	7	1	0	849455	746496
0	7	2	0	-25625	62208
0	7	2	2	11722385	124416
0	7	2	4	-642551165	1327104
0	7	3	0	-1295	10368
0	7	3	2	613765	41472
0	7	4	0	-2275	11664
0	7	4	2	-399145	31104
0	7	4	4	7910465	20736
0	7	4	6	-647074295	442368
0	7	5	0	355	31104
0	7	5	2	-42845	31104
0	7	5	4	2652655	27648
0	7	6	2	-18715	7776
0	7	6	4	-492095	10368
0	7	6	6	5977025	6912
0	7	6	8	-101594465	49152
0	7	7	2	9055	7776
0	7	7	4	118945	5184
0	7	7	6	804845	6912
0	7	8	4	-50765	2592
0	7	8	6	-420215	1728
0	7	8	8	4091825	4608
0	7	8	10	-35346355	16384
0	7	9	4	20215	5184
0	7	9	6	61135	1728
0	7	9	8	328625	1024
0	7	10	6	-2875	288
0	7	10	8	-5975	256
0	7	10	10	-25025	512
0	7	10	12	5115825	16384
0	7	11	6	355	864
0	7	11	8	6565	1152
0	7	11	10	-33875	512
0	7	12	8	15	32
0	7	12	10	825	128
0	7	12	14	-289575	16384
0	7	13	8	-5	384
0	7	13	10	-75	128
0	7	13	12	2475	1024
0	8	0	0	-280225	20736
0	8	0	2	116981345	1327104
0	8	1	0	-160735	93312
0	8	2	0	18325	10368
0	8	2	2	-2731375	20736
0	8	2	4	64983125	147456
0	8	3	0	1115	1944
0	8	3	2	-311285	15552
0	8	4	0	4025	5832
0	8	4	2	471145	15552
0	8	4	4	-5630485	10368
0	8	4	6	609965815	442368
0	8	5	0	125	1296
0	8	5	2	16985	1944
0	8	5	4	-1371425	10368
0	8	6	0	545	15552
0	8	6	2	4405	1944
0	8	6	4	535165	5184
0	8	6	6	-4354805	3456
0	8	6	8	97839265	49152
0	8	7	2	-7745	1944
0	8	7	4	-13535	1296
0	8	7	6	-125315	864
0	8	8	2	25745	15552
0	8	8	4	2980	81
0	8	8	6	123125	288
0	8	8	8	-3063485	2304
0	8	8	10	35128115	16384
0	8	9	4	-6865	324
0	8	9	6	-14225	432
0	8	9	8	-188155	384
0	8	10	4	8425	5184
0	8	10	6	2255	72
0	8	10	8	18155	384
0	8	10	10	19085	256
0	8	10	12	-5115825	16384
0	8	11	6	-205	72
0	8	11	8	-2455	144
0	8	11	10	6745	64
0	8	12	6	35	192
0	8	12	8	-15	8
0	8	12	10	-825	64
0	8	12	14	289575	16384
0	8	13	8	5	48
0	8	13	10	25	16
0	8	13	12	-495	128
