x	y	r	h	numerator	denominator
0	0	2	0	10	729
0	0	3	1	-50	243
0	0	3	3	40	729
0	0	4	0	10	243
0	0	4	2	350	243
0	0	4	4	-370	729
0	0	4	6	25	972
0	0	5	0	10	729
0	0	5	1	-50	81
0	0	5	3	-1430	243
0	0	5	4	10	729
0	0	5	5	1790	729
0	0	5	7	-325	1944
0	0	6	0	10	81
0	0	6	1	-50	243
0	0	6	2	350	81
0	0	6	3	80	729
0	0	6	4	11300	729
0	0	6	5	-70	729
0	0	6	6	-5090	729
0	0	6	8	385	648
0	0	7	0	100	729
0	0	7	1	-50	27
0	0	7	2	350	243
0	0	7	3	-12670	729
0	0	7	4	-520	729
0	0	7	5	-18860	729
0	0	7	6	530	729
0	0	7	7	1030	81
0	0	7	9	-4105	3456
0	0	8	0	166	729
0	0	8	1	-500	243
0	0	8	2	350	27
0	0	8	3	-1210	243
0	0	8	4	31870	729
0	0	8	5	2600	729
0	0	8	6	18320	729
0	0	8	7	-1510	729
0	0	8	8	-3350	243
0	0	8	10	9305	7776
0	0	9	0	20	81
0	0	9	1	-830	243
0	0	9	2	3500	243
0	0	9	3	-39070	729
0	0	9	4	5960	729
0	0	9	5	-47530	729
0	0	9	6	-760	81
0	0	9	7	-700	81
0	0	9	8	2650	729
0	0	9	9	1390	243
0	0	9	11	1405	6912
0	0	10	0	110	729
0	0	10	1	-100	27
0	0	10	2	5810	243
0	0	10	3	-43540	729
0	0	10	4	104120	729
0	0	10	5	1840	729
0	0	10	6	8830	243
0	0	10	7	3040	243
0	0	10	8	-20	3
0	0	10	9	-1210	243
0	0	10	10	1210	243
0	0	10	12	-15835	10368
0	0	11	0	10	243
0	0	11	1	-550	243
0	0	11	2	700	27
0	0	11	3	-24850	243
0	0	11	4	115580	729
0	0	11	5	-182200	729
0	0	11	6	-33160	729
0	0	11	7	41030	729
0	0	11	8	-890	81
0	0	11	9	-2680	729
0	0	11	10	4130	729
0	0	11	11	-1210	243
0	0	11	13	15275	31104
0	0	12	1	-50	81
0	0	12	2	3850	243
