x	y	r	h	numerator	denominator
0	0	0	0	315	16384
0	0	2	0	1455	16384
0	0	4	0	4135	16384
0	0	6	0	5625	16384
0	0	8	0	5553	16384
0	0	10	0	-795	16384
0	0	12	0	45	16384
0	1	0	0	-4725	16384
0	1	2	0	-21825	16384
0	1	4	0	-62025	16384
0	1	6	0	-84375	16384
0	1	8	0	-83295	16384
0	1	10	0	11925	16384
0	1	12	0	-675	16384
0	2	0	0	33075	16384
0	2	2	0	152775	16384
0	2	4	0	434175	16384
0	2	6	0	590625	16384
0	2	8	0	583065	16384
0	2	10	0	-83475	16384
0	2	12	0	4725	16384
0	3	0	0	-1279685	147456
0	3	0	2	5	128
0	3	1	3	25	9216
0	3	2	0	-658185	16384
0	3	2	2	45	128
0	3	3	3	355	4608
0	3	4	0	-16873945	147456
0	3	4	2	85	64
0	3	5	3	515	1024
0	3	6	0	-22985095	147456
0	3	6	2	515	192
0	3	7	3	1945	2304
0	3	8	0	-7577285	49152
0	3	8	2	305	128
0	3	9	3	8575	9216
0	3	10	0	361725	16384
0	3	10	2	-15	128
0	3	11	3	-215	1536
0	3	12	0	-20475	16384
0	3	13	3	5	1024
0	4	0	0	3759055	147456
0	4	0	2	-575	1536
0	4	1	3	-205	6912
0	4	2	0	52475225	442368
0	4	2	2	-15995	4608
0	4	2	4	25	2304
0	4	3	3	-775	1152
0	4	4	0	150384545	442368
0	4	4	2	-31225	2304
0	4	4	4	295	1152
0	4	5	3	-30875	6912
0	4	6	0	68533205	147456
0	4	6	2	-21905	768
0	4	6	4	1205	1152
0	4	7	3	-12455	1728
0	4	8	0	22709455	49152
0	4	8	2	-122305	4608
0	4	8	4	1745	576
0	4	9	3	-22945	2304
0	4	10	0	-1085175	16384
0	4	10	2	2075	1536
0	4	10	4	325	2304
0	4	11	3	635	384
0	4	12	0	61425	16384
0	4	12	4	-5	128
0	4	13	3	-15	256
0	5	0	0	-23873315	442368
0	5	0	2	72355	41472
0	5	1	3	6565	41472
0	5	2	0	-112094455	442368
0	5	2	2	225875	13824
0	5	2	4	-125	6912
0	5	3	3	19865	6912
0	5	3	5	25	5184
0	5	4	0	-324757295	442368
0	5	4	2	447845	6912
0	5	4	4	-535	384
0	5	5	3	262265	13824
0	5	5	5	955	3456
0	5	6	0	-149006395	147456
0	5	6	2	971155	6912
0	5	6	4	-2425	384
0	5	7	3	98215	3456
0	5	7	5	985	432
0	5	8	0	-49865057	49152
0	5	8	2	625975	4608
0	5	8	4	-1615	64
0	5	9	3	228515	4608
0	5	9	5	3965	1728
0	5	10	0	2387385	16384
0	5	10	2	-10945	1536
0	5	10	4	-395	256
0	5	11	3	-6895	768
0	5	11	5	55	576
0	5	12	0	-135135	16384
0	5	12	4	55	128
0	5	13	3	165	512
0	5	13	5	-5	384
0	6	0	0	337070605	3981312
0	6	0	2	-69845	13824
0	6	1	3	-32345	62208
0	6	2	0	59434235	147456
0	6	2	2	-1974565	41472
0	6	2	4	245	6912
0	6	3	3	-243505	31104
0	6	4	0	525443065	442368
0	6	4	2	-3952555	20736
0	6	4	4	15575	3456
