x	y	r	h	numerator	denominator
0	0	0	2	315	16384
0	0	2	4	1455	16384
0	0	4	6	4135	16384
0	0	6	8	5625	16384
0	0	8	10	5553	16384
0	0	10	12	-795	16384
0	0	12	14	45	16384
0	1	0	2	-4725	16384
0	1	2	4	-21825	16384
0	1	4	6	-62025	16384
0	1	6	8	-84375	16384
0	1	8	10	-83295	16384
0	1	10	12	11925	16384
0	1	12	14	-675	16384
0	2	0	2	33075	16384
0	2	2	4	152775	16384
0	2	4	6	434175	16384
0	2	6	8	590625	16384
0	2	8	10	583065	16384
0	2	10	12	-83475	16384
0	2	12	14	4725	16384
0	3	0	0	5	512
0	3	0	2	-1279685	147456
0	3	1	0	-25	73728
0	3	2	2	45	512
0	3	2	4	-658185	16384
0	3	3	2	-355	36864
0	3	4	4	85	256
0	3	4	6	-16873945	147456
0	3	5	4	-515	8192
0	3	6	6	515	768
0	3	6	8	-22985095	147456
0	3	7	6	-1945	18432
0	3	8	8	305	512
0	3	8	10	-7577285	49152
0	3	9	8	-8575	73728
0	3	10	10	-15	512
0	3	10	12	361725	16384
0	3	11	10	215	12288
0	3	12	14	-20475	16384
0	3	13	12	-5	8192
0	4	0	0	-575	6144
0	4	0	2	3759055	147456
0	4	1	0	205	55296
0	4	2	0	25	36864
0	4	2	2	-15995	18432
0	4	2	4	52475225	442368
0	4	3	2	775	9216
0	4	4	2	295	18432
0	4	4	4	-31225	9216
0	4	4	6	150384545	442368
0	4	5	4	30875	55296
0	4	6	4	1205	18432
0	4	6	6	-21905	3072
0	4	6	8	68533205	147456
0	4	7	6	12455	13824
0	4	8	6	1745	9216
0	4	8	8	-122305	18432
0	4	8	10	22709455	49152
0	4	9	8	22945	18432
0	4	10	8	325	36864
0	4	10	10	2075	6144
0	4	10	12	-1085175	16384
0	4	11	10	-635	3072
0	4	12	10	-5	2048
0	4	12	14	61425	16384
0	4	13	12	15	2048
0	5	0	0	72355	165888
0	5	0	2	-23873315	442368
0	5	1	0	-6565	331776
0	5	2	0	-125	110592
0	5	2	2	225875	55296
0	5	2	4	-112094455	442368
0	5	3	0	-25	165888
0	5	3	2	-19865	55296
0	5	4	2	-535	6144
0	5	4	4	447845	27648
0	5	4	6	-324757295	442368
0	5	5	2	-955	110592
0	5	5	4	-262265	110592
0	5	6	4	-2425	6144
0	5	6	6	971155	27648
0	5	6	8	-149006395	147456
0	5	7	4	-985	13824
0	5	7	6	-98215	27648
0	5	8	6	-1615	1024
0	5	8	8	625975	18432
0	5	8	10	-49865057	49152
0	5	9	6	-3965	55296
0	5	9	8	-228515	36864
0	5	10	8	-395	4096
0	5	10	10	-10945	6144
0	5	10	12	2387385	16384
0	5	11	8	-55	18432
0	5	11	10	6895	6144
0	5	12	10	55	2048
0	5	12	14	-135135	16384
0	5	13	10	5	12288
0	5	13	12	-165	4096
0	6	0	0	-69845	55296
0	6	0	2	337070605	3981312
0	6	1	0	32345	497664
0	6	2	0	245	110592
0	6	2	2	-1974565	165888
0	6	2	4	59434235	147456
0	6	3	2	243505	248832
0	6	4	0	5	7776
0	6	4	2	15575	55296
0	6	4	4	-3952555	82944
0	6	4	6	525443065	442368
0	6	5	2	3625	165888
0	6	5	4	1056845	165888
0	6	6	2	5645	497664
0	6	6	4	67205	55296
0	6	6	6	-2924135	27648
0	6	6	8	243681805	147456
0	6	7	4	7765	20736
0	6	7	6	119335	13824
0	6	8	4	10075	165888
0	6	8	6	56785	9216
0	6	8	8	-216235	2048
0	6	8	10	27616765	16384
0	6	9	6	12515	27648
0	6	9	8	350645	18432
0	6	10	6	45	2048
0	6	10	8	17795	36864
0	6	10	10	34925	6144
0	6	10	12	-3978975	16384
0	6	11	8	5	144
0	6	11	10	-11375	3072
0	6	12	8	-5	6144
0	6	12	10	-275	2048
0	6	12	14	225225	16384
0	6	13	10	-25	6144
0	6	13	12	275	2048
0	7	0	0	136615	55296
0	7	0	2	-396813475	3981312
0	7	1	0	-849455	5971968
0	7	2	0	-25625	995328
0	7	2	2	11722385	497664
0	7	2	4	-642551165	1327104
0	7	3	0	1295	331776
0	7	3	2	-613765	331776
0	7	4	0	-2275	746496
0	7	4	2	-399145	497664
0	7	4	4	7910465	82944
0	7	4	6	-647074295	442368
0	7	5	0	-355	3981312
0	7	5	2	42845	995328
0	7	5	4	-2652655	221184
0	7	6	2	-18715	497664
0	7	6	4	-492095	165888
0	7	6	6	5977025	27648
0	7	6	8	-101594465	49152
0	7	7	2	-9055	995328
0	7	7	4	-118945	165888
0	7	7	6	-804845	55296
0	7	8	4	-50765	165888
0	7	8	6	-420215	27648
0	7	8	8	4091825	18432
0	7	8	10	-35346355	16384
0	7	9	4	-20215	663552
0	7	9	6	-61135	55296
0	7	9	8	-328625	8192
0	7	10	6	-2875	18432
0	7	10	8	-5975	4096
0	7	10	10	-25025	2048
0	7	10	12	5115825	16384
0	7	11	6	-355	110592
0	7	11	8	-6565	36864
0	7	11	10	33875	4096
0	7	12	8	15	2048
0	7	12	10	825	2048
0	7	12	14	-289575	16384
0	7	13	8	5	49152
0	7	13	10	75	4096
0	7	13	12	-2475	8192
0	8	0	0	-280225	82944
0	8	0	2	116981345	1327104
0	8	1	0	160735	746496
0	8	2	0	18325	165888
0	8	2	2	-2731375	82944
0	8	2	4	64983125	147456
0	8	3	0	-1115	62208
0	8	3	2	311285	124416
0	8	4	0	4025	373248
0	8	4	2	471145	248832
0	8	4	4	-5630485	41472
0	8	4	6	609965815	442368
0	8	5	0	-125	165888
0	8	5	2	-16985	62208
0	8	5	4	1371425	82944
0	8	6	0	545	3981312
0	8	6	2	4405	124416
0	8	6	4	535165	82944
0	8	6	6	-4354805	13824
0	8	6	8	97839265	49152
0	8	7	2	7745	248832
0	8	7	4	13535	41472
0	8	7	6	125315	6912
0	8	8	2	25745	3981312
0	8	8	4	745	1296
0	8	8	6	123125	4608
0	8	8	8	-3063485	9216
0	8	8	10	35128115	16384
0	8	9	4	6865	41472
0	8	9	6	14225	13824
0	8	9	8	188155	3072
0	8	10	4	8425	1327104
0	8	10	6	2255	4608
0	8	10	8	18155	6144
0	8	10	10	19085	1024
0	8	10	12	-5115825	16384
0	8	11	6	205	9216
0	8	11	8	2455	4608
0	8	11	10	-6745	512
0	8	12	6	35	49152
0	8	12	8	-15	512
