x	y	r	h	numerator	denominator
0	0	0	0	315	16384
0	0	1	1	-4725	16384
0	0	1	3	385	9216
0	0	2	0	1455	16384
0	0	2	2	33075	16384
0	0	2	4	-5435	13824
0	0	3	1	-21825	16384
0	0	3	3	-135165	16384
0	0	3	5	39185	20736
0	0	4	0	4135	16384
0	0	4	2	152775	16384
0	0	4	4	353975	16384
0	0	4	6	-683765	124416
0	0	5	1	-62025	16384
0	0	5	3	-628185	16384
0	0	5	5	-587705	16384
0	0	5	7	7688845	746496
0	0	6	0	5625	16384
0	0	6	2	434175	16384
0	0	6	4	1665435	16384
0	0	6	6	553055	16384
0	0	6	8	-2253265	186624
0	0	7	1	-84375	16384
0	0	7	3	-1817105	16384
0	0	7	5	-2845365	16384
0	0	7	7	-99985	16384
0	0	7	9	170095	23328
0	0	8	0	5553	16384
0	0	8	2	590625	16384
0	0	8	4	5034035	16384
0	0	8	6	2831715	16384
0	0	8	8	-403375	16384
0	0	8	10	16655	62208
0	0	9	1	-83295	16384
0	0	9	3	-2499615	16384
0	0	9	5	-9636285	16384
0	0	9	7	-769245	16384
0	0	9	9	364865	16384
0	0	9	11	-1458325	746496
0	0	10	0	-795	16384
0	0	10	2	583065	16384
0	0	10	4	7019085	16384
0	0	10	6	12799035	16384
0	0	10	8	-2041875	16384
0	0	10	10	167385	16384
0	0	10	12	-692405	373248
0	0	11	1	11925	16384
0	0	11	3	-2529975	16384
0	0	11	5	-13541795	16384
0	0	11	7	-11451605	16384
0	0	11	9	3263325	16384
0	0	11	11	-467895	16384
0	0	11	13	386015	186624
0	0	12	0	45	16384
0	0	12	2	-83475	16384
0	0	12	4	7618405	16384
0	0	12	6	17770245	16384
0	0	12	8	6504405	16384
0	0	12	10	-2387755	16384
0	0	12	12	256125	16384
0	0	12	14	246805	373248
0	0	13	1	-675	16384
0	0	13	3	361805	16384
0	0	13	5	-16878699	16384
0	0	13	7	-14339675	16384
0	0	13	9	-2557435	16384
0	0	13	11	1057845	16384
0	0	13	13	-31315	16384
0	0	13	15	186487	746496
0	0	14	2	4725	16384
0	0	14	4	-1086135	16384
0	0	14	6	28441565	16384
0	0	14	8	3266635	16384
0	0	14	10	2103805	16384
0	0	14	12	-504695	16384
0	0	14	14	22485	16384
0	0	15	3	-20475	16384
0	0	15	5	2392665	16384
0	0	15	7	-37135155	16384
0	0	15	9	8260315	16384
0	0	15	11	-3014835	16384
0	0	15	13	390745	16384
0	0	15	15	-21115	16384
0	0	16	4	61425	16384
0	0	16	6	-3996575	16384
0	0	16	8	37890675	16384
0	0	16	10	-12887645	16384
0	0	16	12	2709905	16384
0	0	16	14	-208575	16384
0	0	17	5	-135135	16384
0	0	17	7	5155425	16384
0	0	17	9	-30218685	16384
0	0	17	11	10200355	16384
0	0	17	13	-1395775	16384
0	0	17	15	44225	16384
0	0	18	6	225225	16384
0	0	18	8	-5179185	16384
0	0	18	10	18684939	16384
0	0	18	12	-5126225	16384
0	0	18	14	393225	16384
0	0	19	7	-289575	16384
0	0	19	9	4052895	16384
0	0	19	11	-8796645	16384
0	0	19	13	1655455	16384
0	0	19	15	-47655	16384
0	0	20	8	289575	16384
0	0	20	10	-2450745	16384
0	0	20	12	3052215	16384
0	0	20	14	-316425	16384
0	0	21	9	-225225	16384
0	0	21	11	1124775	16384
0	0	21	13	-736825	16384
0	0	21	15	27415	16384
0	0	22	10	135135	16384
0	0	22	12	-379325	16384
0	0	22	14	110655	16384
0	0	23	11	-61425	16384
0	0	23	13	88755	16384
0	0	23	15	-7793	16384
0	0	24	12	20475	16384
0	0	24	14	-12885	16384
0	0	25	13	-4725	16384
0	0	25	15	875	16384
0	0	26	14	675	16384
0	0	27	15	-45	16384
0	1	1	3	-265	2048
0	1	2	4	305	256
0	1	3	3	-1435	1024
0	1	3	5	-6015	1024
0	1	4	4	6095	512
0	1	4	6	2165	128
0	1	5	3	-12795	2048
0	1	5	5	-7125	128
0	1	5	7	-60875	2048
0	1	6	4	27895	512
0	1	6	6	76665	512
0	1	6	8	3295	128
0	1	7	3	-6065	512
0	1	7	5	-265175	1024
