x	y	r	h	numerator	denominator
0	0	0	2	315	16384
0	0	1	0	385	9216
0	0	1	2	-4725	16384
0	0	2	0	-5435	13824
0	0	2	2	33075	16384
0	0	2	4	1455	16384
0	0	3	0	39185	20736
0	0	3	2	-135165	16384
0	0	3	4	-21825	16384
0	0	4	0	-683765	124416
0	0	4	2	353975	16384
0	0	4	4	152775	16384
0	0	4	6	4135	16384
0	0	5	0	7688845	746496
0	0	5	2	-587705	16384
0	0	5	4	-628185	16384
0	0	5	6	-62025	16384
0	0	6	0	-2253265	186624
0	0	6	2	553055	16384
0	0	6	4	1665435	16384
0	0	6	6	434175	16384
0	0	6	8	5625	16384
0	0	7	0	170095	23328
0	0	7	2	-99985	16384
0	0	7	4	-2845365	16384
0	0	7	6	-1817105	16384
0	0	7	8	-84375	16384
0	0	8	0	16655	62208
0	0	8	2	-403375	16384
0	0	8	4	2831715	16384
0	0	8	6	5034035	16384
0	0	8	8	590625	16384
0	0	8	10	5553	16384
0	0	9	0	-1458325	746496
0	0	9	2	364865	16384
0	0	9	4	-769245	16384
0	0	9	6	-9636285	16384
0	0	9	8	-2499615	16384
0	0	9	10	-83295	16384
0	0	10	0	-692405	373248
0	0	10	2	167385	16384
0	0	10	4	-2041875	16384
0	0	10	6	12799035	16384
0	0	10	8	7019085	16384
0	0	10	10	583065	16384
0	0	10	12	-795	16384
0	0	11	0	386015	186624
0	0	11	2	-467895	16384
0	0	11	4	3263325	16384
0	0	11	6	-11451605	16384
0	0	11	8	-13541795	16384
0	0	11	10	-2529975	16384
0	0	11	12	11925	16384
0	0	12	0	246805	373248
0	0	12	2	256125	16384
0	0	12	4	-2387755	16384
0	0	12	6	6504405	16384
0	0	12	8	17770245	16384
0	0	12	10	7618405	16384
0	0	12	12	-83475	16384
0	0	12	14	45	16384
0	0	13	0	186487	746496
0	0	13	2	-31315	16384
0	0	13	4	1057845	16384
0	0	13	6	-2557435	16384
0	0	13	8	-14339675	16384
0	0	13	10	-16878699	16384
0	0	13	12	361805	16384
0	0	13	14	-675	16384
0	0	14	2	22485	16384
0	0	14	4	-504695	16384
0	0	14	6	2103805	16384
0	0	14	8	3266635	16384
0	0	14	10	28441565	16384
0	0	14	12	-1086135	16384
0	0	14	14	4725	16384
0	0	15	2	-21115	16384
0	0	15	4	390745	16384
0	0	15	6	-3014835	16384
0	0	15	8	8260315	16384
0	0	15	10	-37135155	16384
0	0	15	12	2392665	16384
0	0	15	14	-20475	16384
0	0	16	4	-208575	16384
0	0	16	6	2709905	16384
0	0	16	8	-12887645	16384
0	0	16	10	37890675	16384
0	0	16	12	-3996575	16384
0	0	16	14	61425	16384
0	0	17	4	44225	16384
0	0	17	6	-1395775	16384
0	0	17	8	10200355	16384
0	0	17	10	-30218685	16384
0	0	17	12	5155425	16384
0	0	17	14	-135135	16384
0	0	18	6	393225	16384
0	0	18	8	-5126225	16384
0	0	18	10	18684939	16384
0	0	18	12	-5179185	16384
0	0	18	14	225225	16384
0	0	19	6	-47655	16384
0	0	19	8	1655455	16384
0	0	19	10	-8796645	16384
0	0	19	12	4052895	16384
0	0	19	14	-289575	16384
0	0	20	8	-316425	16384
0	0	20	10	3052215	16384
0	0	20	12	-2450745	16384
0	0	20	14	289575	16384
0	0	21	8	27415	16384
0	0	21	10	-736825	16384
0	0	21	12	1124775	16384
0	0	21	14	-225225	16384
0	0	22	10	110655	16384
0	0	22	12	-379325	16384
0	0	22	14	135135	16384
0	0	23	10	-7793	16384
0	0	23	12	88755	16384
0	0	23	14	-61425	16384
0	0	24	12	-12885	16384
0	0	24	14	20475	16384
0	0	25	12	875	16384
0	0	25	14	-4725	16384
0	0	26	14	675	16384
0	0	27	14	-45	16384
0	1	1	0	-265	2048
0	1	2	0	305	256
0	1	3	0	-6015	1024
0	1	3	2	-1435	1024
0	1	4	0	2165	128
0	1	4	2	6095	512
0	1	5	0	-60875	2048
0	1	5	2	-7125	128
0	1	5	4	-12795	2048
0	1	6	0	3295	128
0	1	6	2	76665	512
0	1	6	4	27895	512
0	1	7	0	3635	512
0	1	7	2	-258555	1024
0	1	7	4	-265175	1024
0	1	7	6	-6065	512
0	1	8	0	-315	8
0	1	8	2	61315	256
0	1	8	4	378575	512
0	1	8	6	25555	256
0	1	9	0	34385	2048
0	1	9	2	-2325	128
0	1	9	4	-2720125	2048
0	1	9	6	-53145	128
0	1	9	8	-23215	2048
0	1	10	0	8745	256
0	1	10	2	-68255	256
0	1	10	4	398135	256
0	1	10	6	277605	256
0	1	10	8	3955	32
0	1	11	0	-26455	1024
0	1	11	2	326015	1024
0	1	11	4	-607705	512
0	1	11	6	-941525	512
0	1	11	8	-637085	1024
0	1	11	10	1005	1024
0	1	12	0	-1425	128
0	1	12	2	-67205	512
0	1	12	4	150715	256
0	1	12	6	238155	128
0	1	12	8	490065	256
0	1	12	10	-5765	512
0	1	13	0	-9885	2048
0	1	13	2	925	64
0	1	13	4	-605925	2048
0	1	13	6	-9885	16
0	1	13	8	-8222485	2048
0	1	13	10	3795	64
0	1	13	12	-45	2048
0	1	14	2	-14475	512
0	1	14	4	169275	512
0	1	14	6	-144335	128
0	1	14	8	387445	64
0	1	14	10	-97075	512
0	1	14	12	135	512
0	1	15	2	20375	1024
0	1	15	4	-327655	1024
0	1	15	6	1017765	512
0	1	15	8	-3449215	512
0	1	15	10	419925	1024
0	1	15	12	-1485	1024
0	1	16	4	81435	512
0	1	16	6	-407225	256
0	1	16	8	714215	128
0	1	16	10	-161865	256
0	1	16	12	2475	512
0	1	17	4	-64195	2048
0	1	17	6	95105	128
0	1	17	8	-6996745	2048
0	1	17	10	91245	128
0	1	17	12	-22275	2048
0	1	18	6	-50295	256
0	1	18	8	96555	64
0	1	18	10	-151635	256
0	1	18	12	4455	256
0	1	19	6	11745	512
0	1	19	8	-467125	1024
0	1	19	10	368775	1024
0	1	19	12	-10395	512
0	1	20	8	21705	256
0	1	20	10	-80025	512
0	1	20	12	4455	256
0	1	21	8	-14995	2048
0	1	21	10	5885	128
0	1	21	12	-22275	2048
0	1	22	10	-4215	512
0	1	22	12	2475	512
0	1	23	10	695	1024
0	1	23	12	-1485	1024
0	1	24	12	135	512
0	1	25	12	-45	2048
0	2	1	0	265	2048
0	2	2	0	-35	32
0	2	3	0	5915	1024
0	2	3	2	1435	1024
0	2	4	0	-1985	128
0	2	4	2	-4915	512
0	2	5	0	40195	2048
0	2	5	2	11995	256
0	2	5	4	12795	2048
0	2	6	0	1365	64
0	2	6	2	-51625	512
0	2	6	4	-23075	512
0	2	7	0	-61775	512
0	2	7	2	108895	1024
0	2	7	4	238495	1024
0	2	7	6	6065	512
0	2	8	0	2725	16
0	2	8	2	31645	256
0	2	8	4	-320695	512
0	2	8	6	-18575	256
0	2	9	0	20735	2048
0	2	9	2	-24145	32
0	2	9	4	1737485	2048
0	2	9	6	3505	16
0	2	9	8	23215	2048
0	2	10	0	-15735	64
0	2	10	2	355555	256
0	2	10	4	-129895	256
0	2	10	6	-93225	256
0	2	10	8	-31315	256
0	2	11	0	139315	1024
0	2	11	2	-1243175	1024
0	2	11	4	-13975	512
0	2	11	6	-28815	512
0	2	11	8	624185	1024
0	2	11	10	-1005	1024
0	2	12	0	10665	128
0	2	12	2	199785	512
0	2	12	4	-18055	256
0	2	12	6	263195	128
0	2	12	8	-476245	256
0	2	12	10	5585	512
0	2	13	0	84885	2048
0	2	13	2	-18915	256
0	2	13	4	2144805	2048
0	2	13	6	-89895	16
0	2	13	8	7958605	2048
0	2	13	10	-14235	256
0	2	13	12	45	2048
0	2	14	2	116595	512
0	2	14	4	-1004015	512
0	2	14	6	1088325	128
0	2	14	8	-751835	128
0	2	14	10	88075	512
0	2	14	12	-135	512
0	2	15	2	-135315	1024
0	2	15	4	1791295	1024
0	2	15	6	-4250725	512
0	2	15	8	3383275	512
0	2	15	10	-368625	1024
0	2	15	12	1485	1024
0	2	16	4	-406875	512
0	2	16	6	1383545	256
0	2	16	8	-715265	128
0	2	16	10	137565	256
0	2	16	12	-2475	512
0	2	17	4	303475	2048
0	2	17	6	-36685	16
0	2	17	8	7227385	2048
0	2	17	10	-18795	32
0	2	17	12	22275	2048
0	2	18	6	148095	256
0	2	18	8	-415335	256
0	2	18	10	121395	256
0	2	18	12	-4455	256
0	2	19	6	-33885	512
0	2	19	8	526785	1024
0	2	19	10	-287775	1024
0	2	19	12	10395	512
0	2	20	8	-25785	256
0	2	20	10	61125	512
0	2	20	12	-4455	256
0	2	21	8	18795	2048
0	2	21	10	-8845	256
0	2	21	12	22275	2048
0	2	22	10	3135	512
0	2	22	12	-2475	512
0	2	23	10	-515	1024
0	2	23	12	1485	1024
0	2	24	12	-135	512
0	2	25	12	45	2048
0	3	2	0	-25	128
0	3	3	0	25	128
0	3	4	0	-245	64
0	3	4	2	-295	64
0	3	5	0	6245	256
0	3	5	2	2255	128
0	3	6	0	-7525	64
0	3	6	2	-3525	32
0	3	6	4	-1205	64
0	3	7	0	2205	8
0	3	7	2	34065	128
0	3	7	4	3335	64
0	3	8	0	-8335	32
0	3	8	2	-20825	32
0	3	8	4	-9935	32
0	3	8	6	-1745	32
0	3	9	0	-42185	128
0	3	9	2	103185	64
0	3	9	4	156975	128
0	3	9	6	25105	64
0	3	10	0	117435	128
0	3	10	2	-41395	16
0	3	10	4	-68445	32
0	3	10	6	-11525	8
0	3	10	8	-325	128
0	3	11	0	-48485	128
0	3	11	2	133635	64
0	3	11	4	44035	32
0	3	11	6	120355	32
0	3	11	8	3225	128
0	3	12	0	-23385	64
0	3	12	2	-33255	64
0	3	12	4	11595	8
0	3	12	6	-121955	16
0	3	12	8	-7045	64
0	3	12	10	45	64
0	3	13	0	-52955	256
0	3	13	2	46015	128
0	3	13	4	-306485	64
0	3	13	6	23635	2
0	3	13	8	70965	256
0	3	13	10	-945	128
0	3	14	2	-30645	32
0	3	14	4	400495	64
0	3	14	6	-217585	16
0	3	14	8	-28185	64
0	3	14	10	1125	32
0	3	15	2	62265	128
0	3	15	4	-302665	64
0	3	15	6	363875	32
0	3	15	8	14385	32
0	3	15	10	-12825	128
0	3	16	4	63315	32
0	3	16	6	-216005	32
0	3	16	8	-8925	32
0	3	16	10	6075	32
0	3	17	4	-45325	128
0	3	17	6	173895	64
0	3	17	8	9915	128
0	3	17	10	-16065	64
0	3	18	6	-10695	16
0	3	18	8	2655	128
0	3	18	10	945	4
0	3	19	6	1215	16
0	3	19	8	-3305	128
0	3	19	10	-10125	64
0	3	20	8	555	64
0	3	20	10	4725	64
0	3	21	8	-275	256
0	3	21	10	-2925	128
0	3	22	10	135	32
0	3	23	10	-45	128
0	4	2	0	25	256
0	4	3	0	-25	256
0	4	4	0	285	64
0	4	4	2	295	128
0	4	5	0	-2905	128
0	4	5	2	-2255	256
0	4	6	0	15095	128
0	4	6	2	1375	16
0	4	6	4	1205	128
0	4	7	0	-30855	128
0	4	7	2	-17315	256
0	4	7	4	-3335	128
0	4	8	0	2865	64
0	4	8	2	13345	64
0	4	8	4	23435	64
0	4	8	6	1745	64
0	4	9	0	4425	4
0	4	9	2	-149275	128
0	4	9	4	-81925	64
0	4	9	6	-25105	128
0	4	10	0	-513375	256
0	4	10	2	76935	32
0	4	10	4	75355	64
0	4	10	6	46125	64
0	4	10	8	325	256
0	4	11	0	139375	256
0	4	11	2	-259795	128
0	4	11	4	120605	64
0	4	11	6	-231335	128
0	4	11	8	-3225	256
0	4	12	0	8325	8
0	4	12	2	61055	128
0	4	12	4	-26305	4
0	4	12	6	104975	32
0	4	12	8	965	16
0	4	12	10	-45	128
0	4	13	0	83925	128
0	4	13	2	-284475	256
0	4	13	4	309465	32
0	4	13	6	-271875	64
0	4	13	8	-23985	128
0	4	13	10	945	256
0	4	14	2	72225	32
0	4	14	4	-1192995	128
0	4	14	6	122485	32
0	4	14	8	53835	128
0	4	14	10	-1125	64
0	4	15	2	-269175	256
0	4	15	4	770645	128
0	4	15	6	-149825	64
0	4	15	8	-90195	128
0	4	15	10	12825	256
0	4	16	4	-149055	64
0	4	16	6	60105	64
0	4	16	8	56175	64
0	4	16	10	-6075	64
0	4	17	4	25775	64
0	4	17	6	-29625	128
0	4	17	8	-25455	32
0	4	17	10	16065	128
0	4	18	6	1905	64
0	4	18	8	129645	256
0	4	18	10	-945	8
0	4	19	6	-135	128
0	4	19	8	-54745	256
0	4	19	10	10125	128
