x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	3	0	0	219369506403778560
0	3	0	1	-658108519211335680
0	3	0	2	658108519211335680
0	3	1	0	15233993500262400
0	3	1	1	-68552970751180800
0	3	1	2	68552970751180800
0	4	0	0	-2102291103036211200
0	4	0	1	6306873309108633600
0	4	0	2	-6306873309108633600
0	4	1	0	-166558328936202240
0	4	1	1	749512480212910080
0	4	1	2	-749512480212910080
0	4	2	0	60935974001049600
0	4	2	1	-365615844006297600
0	4	2	2	914039610015744000
0	4	2	3	-1096847532018892800
0	4	2	4	548423766009446400
0	5	0	0	9797827552990986240
0	5	0	1	-29393482658972958720
0	5	0	2	29393482658972958720
0	5	1	0	888988154037534720
0	5	1	1	-4000446693168906240
0	5	1	2	4000446693168906240
0	5	2	0	-101559956668416000
0	5	2	1	609359740010496000
0	5	2	2	-1523399350026240000
0	5	2	3	1828079220031488000
0	5	2	4	-914039610015744000
0	5	3	0	27082655111577600
0	5	3	1	-203119913336832000
0	5	3	2	568735757343129600
0	5	3	3	-731231688012595200
0	5	3	4	365615844006297600
0	6	0	0	-28373820694022062080
0	6	0	1	85121462082066186240
0	6	0	2	-85121462082066186240
0	6	1	0	-2919961598613258240
0	6	1	1	13139827193759662080
0	6	1	2	-13139827193759662080
0	6	2	0	199057515070095360
0	6	2	1	-1194345090420572160
0	6	2	2	2985862726051430400
0	6	2	3	-3583035271261716480
0	6	2	4	1791517635630858240
0	6	4	0	231105323618795520
0	6	4	1	-2079947912569159680
0	6	4	2	8185732507474329600
0	6	4	3	-17915176356308582400
0	6	4	4	23216606094399897600
0	6	4	5	-17110821499494727680
0	6	4	6	5703607166498242560
0	7	0	0	55498453921022607360
0	7	0	1	-166495361763067822080
0	7	0	2	166495361763067822080
0	7	1	0	6390415777168097280
0	7	1	1	-28756870997256437760
0	7	1	2	28756870997256437760
0	7	2	0	-2313310124113920000
0	7	2	1	13879860744683520000
0	7	2	2	-34699651861708800000
0	7	2	3	41639582234050560000
0	7	2	4	-20819791117025280000
0	7	3	0	-701440767389859840
0	7	3	1	5260805755423948800
0	7	3	2	-14730256115187056640
0	7	3	3	18938900719526215680
0	7	3	4	-9469450359763107840
0	7	4	0	-1095342940068249600
0	7	4	1	9858086460614246400
0	7	4	2	-38583304604709027840
0	7	4	3	83628530719040471040
0	7	4	4	-107259501436647505920
0	7	4	5	78534283292552724480
0	7	4	6	-26178094430850908160
0	7	5	0	64095617097400320
0	7	5	1	-673003979522703360
0	7	5	2	2980446195029114880
0	7	5	3	-7210756923457536000
0	7	5	4	10095059692840550400
0	7	5	5	-7787617477334138880
0	7	5	6	2595872492444712960
0	8	0	0	-75892370286418329600
0	8	0	1	227677110859254988800
0	8	0	2	-227677110859254988800
0	8	1	0	-9673623487465390080
0	8	1	1	43531305693594255360
0	8	1	2	-43531305693594255360
0	8	2	0	9925793098393190400
0	8	2	1	-59554758590359142400
0	8	2	2	148886896475897856000
0	8	2	3	-178664275771077427200
0	8	2	4	89332137885538713600
0	8	3	0	3221030447936962560
0	8	3	1	-24157728359527219200
0	8	3	2	67641639406676213760
0	8	3	3	-86967822094297989120
0	8	3	4	43483911047148994560
0	8	4	0	3875828864856883200
0	8	4	1	-34882459783711948800
0	8	4	2	137352393663876956160
0	8	4	3	-300877465227582504960
0	8	4	4	390282726281922478080
0	8	4	5	-287812792401757470720
0	8	4	6	95937597467252490240
0	8	5	0	541653102231552000
0	8	5	1	-5687357573431296000
0	8	5	2	25186869253767168000
0	8	5	3	-60935974001049600000
0	8	5	4	85310363601469440000
0	8	5	5	-65810851921133568000
0	8	5	6	21936950640377856000
0	8	6	0	196800627144130560
0	8	6	1	-2361607525729566720
0	8	6	2	11916368249094144000
0	8	6	3	-32856677181365944320
0	8	6	4	53867401016927846400
0	8	6	5	-53526159562521968640
0	8	6	6	32174194272554188800
0	8	6	7	-12284692358611599360
0	8	6	8	3071173089652899840
0	9	0	0	73152508344297062400
0	9	0	1	-219457525032891187200
0	9	0	2	219457525032891187200
0	9	1	0	10299684198128025600
0	9	1	1	-46348578891576115200
0	9	1	2	46348578891576115200
0	9	2	0	-22309788525747240960
0	9	2	1	133858731154483445760
0	9	2	2	-334646827886208614400
0	9	2	3	401576193463450337280
0	9	2	4	-200788096731725168640
0	9	3	0	-7698696093051125760
0	9	3	1	57740220697883443200
0	9	3	2	-161672617954073640960
0	9	3	3	207864794512380395520
0	9	3	4	-103932397256190197760
0	9	4	0	-10187893016195235840
0	9	4	1	91691037145757122560
0	9	4	2	-363969218575513681920
0	9	4	3	808449754266725253120
0	9	4	4	-1063958355651392962560
0	9	4	5	791680174221636403200
0	9	4	6	-263893391407212134400
0	9	5	0	-3058534517267496960
0	9	5	1	32114612431308718080
0	9	5	2	-142221855052938608640
0	9	5	3	344085133192593408000
0	9	5	4	-481719186469630771200
0	9	5	5	371611943848000880640
0	9	5	6	-123870647949333626880
0	9	6	0	269021040775004160
0	9	6	1	-3228252489300049920
0	9	6	2	21362798352012410880
0	9	6	3	-90575231755160125440
0	9	6	4	246132586185039544320
0	9	6	5	-423236901021690101760
