x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	0	2	4	77035107872931840
0	0	3	2	308140431491727360
0	0	3	4	-1155526618093977600
0	0	4	0	144440827261747200
0	0	4	2	-2850298991298478080
0	0	4	4	8088686326657843200
0	0	4	6	231105323618795520
0	0	5	0	-938865377201356800
0	0	5	2	13789284309254799360
0	0	5	3	77035107872931840
0	0	5	4	-33048061277487759360
0	0	5	6	-3466579854281932800
0	0	5	7	77035107872931840
0	0	6	0	3336583109746360320
0	0	6	2	-39210869907322306560
0	0	6	3	-539245755110522880
0	0	6	4	87049671896412979200
0	0	6	5	616280862983454720
0	0	6	6	24266058979973529600
0	0	6	7	-1155526618093977600
0	0	6	8	693315970856386560
0	0	7	0	-6670457953981562880
0	0	7	2	71411544998207815680
0	0	7	3	4082860717265387520
0	0	7	4	-145288213448349450240
0	0	7	5	-4005825609392455680
0	0	7	6	-97603481675004641280
0	0	7	7	8088686326657843200
0	0	7	8	-10399739562845798400
0	0	7	9	770351078729318400
0	0	8	0	6720109488352788480
0	0	8	2	-77420283412296499200
0	0	8	3	-11632301288812707840
0	0	8	4	141128317623211130880
0	0	8	5	20029128046962278400
0	0	8	6	245510888791033774080
0	0	8	7	-27963744157874257920
0	0	8	8	72798176939920588800
0	0	8	9	-11555266180939776000
0	0	8	10	1278782790690668544
0	0	9	0	1141533912952995840
0	0	9	2	32123639983012577280
0	0	9	3	20414303586326937600
0	0	9	4	-48532117959947059200
0	0	9	5	-52692013785085378560
0	0	9	6	-366147867720045035520
0	0	9	7	45912924292267376640
0	0	9	8	-300976166459544698880
0	0	9	9	80886863266578432000
0	0	9	10	-19181741860360028160
0	0	9	11	1386631941712773120
0	0	10	0	-8577076873836625920
0	0	10	2	27963744157874257920
0	0	10	3	-27963744157874257920
0	0	10	4	-37439062426244874240
0	0	10	5	70256018380113838080
0	0	10	6	204066000755396444160
0	0	10	7	14174459848619458560
0	0	10	8	802089543172966318080
0	0	10	9	-335410859678745231360
0	0	10	10	134272193022520197120
0	0	10	11	-20799479125691596800
0	0	10	12	847386186602250240
0	0	11	0	2757917045528985600
0	0	11	2	-27963744157874257920
0	0	11	3	31815499551520849920
0	0	11	4	-20645408909945733120
0	0	11	5	-61705121406218403840
0	0	11	6	316075047602639339520
0	0	11	7	-255448417706641981440
0	0	11	8	-1403579665444818124800
0	0	11	9	890371776795346206720
0	0	11	10	-574296729192706867200
0	0	11	11	145596353879841177600
0	0	11	12	-12710792799033753600
0	0	11	13	231105323618795520
0	0	12	0	4926334964795965440
0	0	12	2	-20645408909945733120
0	0	12	3	-33202131493233623040
0	0	12	4	170555728830671093760
0	0	12	5	85277864415335546880
0	0	12	6	-758641742332632760320
