x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	0	0	2	107970928933109760
0	0	2	4	498722862214840320
0	0	4	6	1417332670280663040
0	0	6	8	1928052302376960000
0	0	8	10	1903373232906534912
0	0	10	12	-272498058735943680
0	0	12	14	15424418419015680
0	1	0	2	-1619563933996646400
0	1	2	4	-7480842933222604800
0	1	4	6	-21259990054209945600
0	1	6	8	-28920784535654400000
0	1	8	10	-28550598493598023680
0	1	10	12	4087470881039155200
0	1	12	14	-231366276285235200
0	2	0	2	11336947537976524800
0	2	2	4	52365900532558233600
0	2	4	6	148819930379469619200
0	2	6	8	202445491749580800000
0	2	8	10	199854189455186165760
0	2	10	12	-28612296167274086400
0	2	12	14	1619563933996646400
0	3	0	0	54842376600944640
0	3	0	2	-48736782430958223360
0	3	1	0	-1904249187532800
0	3	2	2	493581389408501760
0	3	2	4	-225602685269329674240
0	3	3	2	-54080676925931520
0	3	4	4	1864640804432117760
0	3	4	6	-642643921134463057920
0	3	5	4	-353047799368581120
0	3	6	6	3765843193264865280
0	3	6	8	-875386969582284472320
0	3	7	6	-592602347160207360
0	3	8	8	3345384972657623040
0	3	8	10	-865742328297268346880
0	3	9	8	-653157471323750400
0	3	10	10	-164527129802833920
0	3	10	12	123986616724854374400
0	3	11	10	98259258076692480
0	3	12	14	-7018110380652134400
0	3	13	12	-3427648537559040
0	4	0	0	-525572775759052800
0	4	0	2	143163548592822190080
0	4	1	0	20819791117025280
0	4	2	0	3808498375065600
0	4	2	2	-4873354520733941760
0	4	2	4	666172697145672499200
0	4	3	2	472253798508134400
0	4	4	2	89880561651548160
0	4	4	4	-19027257881827737600
0	4	4	6	1909130984224932003840
0	4	5	4	3135663662137344000
0	4	6	4	367139243356323840
0	4	6	6	-40044075314789744640
0	4	6	8	2610085998805376532480
0	4	7	6	5059717041220485120
0	4	8	6	1063332746318315520
0	4	8	8	-37263871500991856640
0	4	8	10	2594667673983760957440
0	4	9	8	6990879617270415360
0	4	10	8	49510478875852800
0	4	10	10	1896632190782668800
0	4	10	12	-371959850174563123200
0	4	11	10	-1160830304719994880
0	4	12	10	-13710594150236160
0	4	12	14	21054331141956403200
0	4	13	12	41131782450708480
0	5	0	0	2449456888247746560
0	5	0	2	-303071604616430714880
0	5	1	0	-111123519254691840
0	5	2	0	-6347497291776000
0	5	2	2	22939855212478464000
0	5	2	4	-1423038499071213404160
0	5	3	0	-846332972236800
0	5	3	2	-2017488539218083840
0	5	4	2	-489011191358423040
0	5	4	4	90966237588333527040
0	5	4	6	-4122792100993999011840
0	5	5	2	-48494879309168640
0	5	5	4	-13317811017821061120
0	5	6	4	-2216546054288179200
0	5	6	6	197260919436631080960
0	5	6	8	-5674906132318829445120
0	5	7	4	-400146229273559040
0	5	7	6	-19949422288376954880
0	5	8	6	-8857043821052559360
0	5	8	8	190721981626535116800
0	5	8	10	-5697329656711605682176
0	5	9	6	-402685228190269440
0	5	9	8	-34811960247124623360
0	5	10	8	-541568468934328320
0	5	10	10	-10004163531622318080
0	5	10	12	818311670384038871040
0	5	11	8	-16757392850288640
0	5	11	10	6302303111058554880
0	5	12	10	150816535652597760
0	5	12	14	-46319528512304087040
0	5	13	10	2285099025039360
0	5	13	12	-226224803478896640
0	6	0	0	-7093455173505515520
0	6	0	2	475456611638843965440
0	6	1	0	364995199826657280
0	6	2	0	12441094691880960
0	6	2	2	-66845578612990279680
0	6	2	4	2263551874207670108160
0	6	3	2	5495634944120586240
0	6	4	0	3611020681543680
0	6	4	2	1581796325110579200
0	6	4	4	-267614209686354001920
0	6	4	6	6670496864139961466880
0	6	5	2	122718280974336000
0	6	5	4	35777710801744035840
0	6	6	2	63700661710356480
0	6	6	4	6825336887900897280
0	6	6	6	-593950047785197240320
0	6	6	8	9280617583755524014080
0	6	7	4	2102968169414000640
0	6	7	6	48478629716101693440
0	6	8	4	341072187811430400
0	6	8	6	34602492836496015360
0	6	8	8	-592942065215263211520
0	6	8	10	9466056416436168130560
0	6	9	6	2542045715410452480
0	6	9	8	106834473017990184960
0	6	10	6	123395347352125440
0	6	10	8	2710889143371694080
0	6	10	10	31922833379799859200
0	6	10	12	-1363852783973398118400
0	6	11	8	194995116803358720
0	6	11	10	-20794401127858176000
0	6	12	8	-4570198050078720
0	6	12	10	-754082678262988800
0	6	12	14	77199214187173478400
0	6	13	10	-22850990250393600
0	6	13	12	754082678262988800
0	7	0	0	13874613480255651840
0	7	0	2	-559727212867271884800
0	7	1	0	-798801972146012160
0	7	2	0	-144581882757120000
0	7	2	2	132280545850054410240
0	7	2	4	-2719061186443342479360
0	7	3	0	21920023980933120
0	7	3	2	-10388991134098391040
0	7	4	0	-17114733438566400
0	7	4	2	-4504127656046100480
0	7	4	4	535590988418014248960
0	7	4	6	-8214604670180728995840
0	7	5	0	-500747008573440
0	7	5	2	241740907969904640
0	7	5	4	-67350881714064261120
0	7	6	2	-211188287672156160
0	7	6	4	-16659048958914723840
0	7	6	6	1214052800012078284800
0	7	6	8	-11607670646044769157120
0	7	7	2	-51090300424028160
0	7	7	4	-4026683015308247040
0	7	7	6	-81740023324791275520
0	7	8	4	-1718563733424046080
0	7	8	6	-85354034382836858880
0	7	8	8	1246696709084223897600
0	7	8	10	-12115488202379266129920
0	7	9	4	-171086210337669120
0	7	9	6	-6208867950923612160
0	7	9	8	-225282200131067904000
0	7	10	6	-875954626265088000
0	7	10	8	-8192080004766105600
0	7	10	10	-68621523721931980800
0	7	10	12	1753525007965797580800
0	7	11	6	-18026892308643840
0	7	11	8	-1000111673292226560
0	7	11	10	46444637683924992000
0	7	12	8	41131782450708480
0	7	12	10	2262248034788966400
0	7	12	14	-99256132526365900800
0	7	13	8	571274756259840
0	7	13	10	102829456126771200
0	7	13	12	-1696686026091724800
0	8	0	0	-18973092571604582400
0	8	0	2	495025847050542612480
0	8	1	0	1209202935933173760
0	8	2	0	620362068649574400
0	8	2	2	-184932217763463168000
0	8	2	4	2474881259691847680000
0	8	3	0	-100657201498030080
0	8	3	2	14050707160679055360
0	8	4	0	60559826013388800
0	8	4	2	10633214618786856960
0	8	4	4	-762442416829555015680
0	8	4	6	7743512717576881274880
0	8	5	0	-4231664861184000
0	8	5	2	-1533329656900485120
0	8	5	4	92854575715988275200
0	8	6	0	768752449781760
0	8	6	2	198831826277498880
0	8	6	4	36234222806968565760
0	8	6	6	-1769095228397605355520
0	8	6	8	11178620453103378923520
0	8	7	2	174795969865973760
0	8	7	4	1832818684676014080
0	8	7	6	101815887759220408320
0	8	8	2	36314737283727360
0	8	8	4	3228252489300049920
0	8	8	6	150054835977584640000
0	8	8	8	-1866764423126054338560
0	8	8	10	12040683200695577640960
0	8	9	4	929612136704901120
0	8	9	6	5778761534432870400
0	8	9	8	343962245645024624640
0	8	10	4	35651776455475200
0	8	10	6	2748212427447336960
0	8	10	8	16594389119835832320
0	8	10	10	104666675742902845440
0	8	10	12	-1753525007965797580800
0	8	11	6	124918746702151680
0	8	11	8	2991956323451535360
0	8	11	10	-73982366034674319360
0	8	12	6	3998923293818880
0	8	12	8	-164527129802833920
0	8	12	10	-4524496069577932800
0	8	12	14	99256132526365900800
0	8	13	8	-4570198050078720
0	8	13	10	-274211883004723200
0	8	13	12	2714697641746759680
0	9	0	0	18288127086074265600
0	9	0	2	-325898065316178984960
0	9	1	0	-1287460524766003200
0	9	2	0	-1394361782859202560
0	9	2	2	185057023665769021440
0	9	2	4	-1696568364650259578880
0	9	3	0	240584252907847680
0	9	3	2	-13723119878225264640
0	9	4	0	-159185828378050560
0	9	4	2	-18376822781564682240
0	9	4	4	785591316286175969280
0	9	4	6	-5571585633801566453760
0	9	5	0	23894800916152320
0	9	5	2	3182042709015920640
0	9	5	4	-95427258684993699840
0	9	6	0	1050863440527360
0	9	6	2	89147073075609600
0	9	6	4	-62985792459807129600
0	9	6	6	1877987813937480990720
0	9	6	8	-8276575540140229754880
0	9	7	0	-940369969152000
0	9	7	2	-187321697855078400
0	9	7	4	6109846993171906560
0	9	7	6	-96890229860802232320
0	9	8	2	-145646851747184640
0	9	8	4	-1992606349834321920
0	9	8	6	-198234879421081190400
0	9	8	8	2040133362756440555520
0	9	8	10	-9289902702793933946880
0	9	9	2	-8604385217740800
0	9	9	4	-2197926728898969600
0	9	9	6	4339656948441415680
0	9	9	8	-389687077136062218240
0	9	10	4	-171361268553646080
0	9	10	6	-5035342651620065280
0	9	10	8	-23641634513057218560
0	9	10	10	-116128732452500275200
0	9	10	12	1363852783973398118400
0	9	11	4	-5247264427868160
0	9	11	6	-373740640539770880
0	9	11	8	-5801104724899921920
0	9	11	10	86184794828384501760
0	9	12	6	-27992463056732160
0	9	12	8	383896636206612480
0	9	12	10	6334294497409105920
0	9	12	14	-77199214187173478400
0	9	13	6	-253899891671040
0	9	13	8	15995693175275520
0	9	13	10	479870795258265600
0	9	13	12	-3167147248704552960
0	10	0	0	-12243278465170145280
0	10	0	2	156531871583536250880
0	10	1	0	965158121538846720
0	10	2	0	1920367128804065280
0	10	2	2	-131755650140673146880
0	10	2	4	862105254665729310720
0	10	3	0	-357491047472824320
0	10	3	2	9650678460218081280
0	10	4	0	253222825293250560
0	10	4	2	22231587359112560640
0	10	4	4	-585547992570019184640
0	10	4	6	3025083340542558044160
0	10	5	0	-42786833596416000
0	10	5	2	-3926195080404664320
0	10	5	4	73279232601339985920
0	10	6	0	-14098496762511360
0	10	6	2	-379721393543577600
0	10	6	4	79205594606130954240
0	10	6	6	-1458114578680648826880
0	10	6	8	4665379851043440721920
0	10	7	0	4175242663034880
0	10	7	2	20424835729981440
0	10	7	4	-14043033741730775040
0	10	7	6	71347900758695608320
0	10	8	0	94036996915200
0	10	8	2	236980285001072640
0	10	8	4	-2284083425472675840
0	10	8	6	198884863143759052800
0	10	8	8	-1638638417258324951040
0	10	8	10	5517958523642116079616
0	10	9	2	23189523439288320
0	10	9	4	3075235487919636480
0	10	9	6	-18516411299785605120
0	10	9	8	329703227728779018240
0	10	10	2	1805510340771840
0	10	10	4	329583217713315840
0	10	10	6	6005240237803438080
0	10	10	8	24153496694666035200
0	10	10	10	94411151318526197760
0	10	10	12	-818311670384038871040
0	10	11	4	27082655111577600
0	10	11	6	628656131777495040
0	10	11	8	7635277542331514880
0	10	11	10	-73982366034674319360
0	10	12	4	507799783342080
0	10	12	6	83977389170196480
0	10	12	8	-575844954309918720
0	10	12	10	-6334294497409105920
0	10	12	14	46319528512304087040
0	10	13	6	1523399350026240
0	10	13	8	-31991386350551040
0	10	13	10	-575844954309918720
0	10	13	12	2714697641746759680
0	11	0	0	5460577951670599680
0	11	0	2	-53062263302114672640
0	11	1	0	-501833135887810560
0	11	2	0	-1661727772488499200
0	11	2	2	65121485504147619840
0	11	2	4	-315725848267369512960
0	11	3	0	341109802610196480
0	11	3	2	-4806804538017054720
0	11	4	0	-206053867640586240
0	11	4	2	-18431665158165626880
0	11	4	4	310474881132747816960
0	11	4	6	-1212657175782535495680
0	11	5	0	23476336279879680
0	11	5	2	3288793507914055680
0	11	5	4	-41602724433109647360
0	11	6	0	40499383646453760
0	11	6	2	594351435302830080
0	11	6	4	-68938560053331886080
0	11	6	6	818758089868569477120
0	11	6	8	-1963006890888230830080
0	11	7	0	-11190402632908800
0	11	7	2	16306015265095680
0	11	7	4	15318965330674974720
0	11	7	6	-40437620146879856640
0	11	8	0	470184984576000
0	11	8	2	-182518758237634560
0	11	8	4	5683633708353454080
0	11	8	6	-148872678081964277760
0	11	8	8	959372927873824849920
0	11	8	10	-2477451234395341946880
0	11	9	0	-141055495372800
0	11	9	2	-18365425497538560
0	11	9	4	-3004228151548968960
0	11	9	6	24117442910048747520
0	11	9	8	-206443843768643420160
0	11	10	2	-5077997833420800
0	11	10	4	-311429375458836480
0	11	10	6	-4914486303184650240
0	11	10	8	-17682096255754567680
0	11	10	10	-55802118191461171200
0	11	10	12	371959850174563123200
0	11	11	2	-225688792596480
0	11	11	4	-59920374434365440
0	11	11	6	-647444723761152000
0	11	11	8	-6920803247169208320
0	11	11	10	46444637683924992000
0	11	12	4	-2538998916710400
0	11	12	6	-139962315283660800
0	11	12	8	575844954309918720
0	11	12	10	4524496069577932800
0	11	12	14	-21054331141956403200
0	11	13	4	-84633297223680
0	11	13	6	-3808498375065600
0	11	13	8	39989232938188800
0	11	13	10	479870795258265600
0	11	13	12	-1696686026091724800
0	12	0	0	-1503331854884536320
0	12	0	2	12082214247778713600
0	12	1	0	174664318070292480
0	12	2	0	851984595751403520
0	12	2	2	-21333515231173017600
0	12	2	4	79619049421392936960
0	12	3	0	-205376801262796800
0	12	3	2	1632745570039234560
0	12	4	0	42504722605670400
0	12	4	2	10071870169401262080
0	12	4	4	-112935010348467486720
0	12	4	6	346040098883487498240
0	12	5	0	22888605049159680
0	12	5	2	-1912035450877378560
0	12	5	4	16998597747376128000
0	12	6	0	-55244384762757120
0	12	6	2	-759894164672348160
0	12	6	4	40202339580598026240
0	12	6	6	-322986052194729984000
0	12	6	8	595873656839469957120
0	12	7	0	14669771518771200
0	12	7	2	174118903488184320
0	12	7	4	-10328647593177907200
0	12	7	6	17206287858763038720
0	12	8	0	-695873777172480
0	12	8	2	45074283546378240
0	12	8	4	-5440905411915939840
0	12	8	6	80032292653411860480
0	12	8	8	-398985906768622387200
0	12	8	10	813751755279572828160
0	12	9	0	300918390128640
0	12	9	2	-8689018514964480
0	12	9	4	2267495299216834560
0	12	9	6	-17868458776241111040
0	12	9	8	93148253257354444800
0	12	10	0	-4701849845760
0	12	10	2	7504152353832960
0	12	10	4	129298519833477120
0	12	10	6	2813210799715123200
0	12	10	8	9083268624531456000
0	12	10	10	23376563026152652800
0	12	10	12	-123986616724854374400
0	12	11	2	564221981491200
0	12	11	4	73800235179048960
0	12	11	6	415380222773821440
0	12	11	8	4271611777473576960
0	12	11	10	-20794401127858176000
0	12	12	2	42316648611840
0	12	12	4	5077997833420800
0	12	12	6	139962315283660800
0	12	12	8	-383896636206612480
0	12	12	10	-2262248034788966400
0	12	12	14	7018110380652134400
0	12	13	4	338533188894720
0	12	13	6	5077997833420800
0	12	13	8	-31991386350551040
0	12	13	10	-274211883004723200
0	12	13	12	754082678262988800
0	13	0	0	228904857890979840
0	13	0	2	-1723507728536862720
0	13	1	0	-38150809648496640
0	13	2	0	-224851863323934720
0	13	2	2	4299540765557391360
0	13	2	4	-12827932335166095360
0	13	3	0	73743812980899840
0	13	3	2	-351002494685675520
0	13	4	0	41827656227880960
0	13	4	2	-3353679035785543680
0	13	4	4	26372751014465372160
0	13	4	6	-66125751261778575360
0	13	5	0	-37191632279961600
0	13	5	2	730244299544985600
0	13	5	4	-4740734143984435200
0	13	6	0	31815066981335040
0	13	6	2	618161602921758720
0	13	6	4	-14870239588795023360
0	13	6	6	84598428305223843840
0	13	6	8	-123045917626213171200
0	13	7	0	-4513775851929600
0	13	7	2	-254802646841425920
0	13	7	4	4412441584053780480
0	13	7	6	-5211041376656424960
0	13	8	0	-1673858545090560
0	13	8	2	12180142025441280
0	13	8	4	2998726987229429760
0	13	8	6	-29030913613666713600
0	13	8	8	111791614502975569920
0	13	8	10	-184571447175722926080
0	13	9	0	-56422198149120
0	13	9	2	33430152403353600
0	13	9	4	-1292011915416698880
0	13	9	6	8071477556222361600
0	13	9	8	-28706175652219453440
0	13	10	0	14105549537280
0	13	10	2	-10099573468692480
0	13	10	4	6580238859141120
0	13	10	6	-1102941129418997760
0	13	10	8	-3116113370478673920
0	13	10	10	-6585655390163435520
0	13	10	12	28612296167274086400
0	13	11	2	-338533188894720
0	13	11	4	-53996043628707840
0	13	11	6	-160464731536097280
0	13	11	8	-1719917866179624960
0	13	11	10	6302303111058554880
0	13	12	2	-126949945835520
0	13	12	4	-5077997833420800
0	13	12	6	-83977389170196480
0	13	12	8	164527129802833920
0	13	12	10	754082678262988800
0	13	12	14	-1619563933996646400
0	13	13	4	-507799783342080
0	13	13	6	-3808498375065600
0	13	13	8	15995693175275520
0	13	13	10	102829456126771200
0	13	13	12	-226224803478896640
0	14	0	0	-18036296008335360
0	14	0	2	138142699393351680
0	14	1	0	4720657245143040
0	14	2	0	28728302557593600
0	14	2	2	-471633154328494080
0	14	2	4	1151626433646919680
0	14	3	0	-14143164336046080
0	14	3	2	41639582234050560
0	14	4	0	-17453266627461120
0	14	4	2	587185816137891840
0	14	4	4	-3489261577937879040
0	14	4	6	7561583098773995520
0	14	5	0	16005096874967040
0	14	5	2	-160972531319439360
0	14	5	4	811971853563985920
0	14	6	0	-1088478239293440
0	14	6	2	-245944361732014080
0	14	6	4	3106211274703503360
0	14	6	6	-13144905191593082880
0	14	6	8	15453934281422438400
0	14	7	0	-5454145821081600
0	14	7	2	128981144968888320
0	14	7	4	-1100232863907840000
0	14	7	6	1005443571017318400
0	14	8	0	3084413498818560
0	14	8	2	5268422752174080
0	14	8	4	-952124593766400000
0	14	8	6	6340388094809210880
0	14	8	8	-18931283722776084480
0	14	8	10	25845041247951421440
0	14	9	0	-225688792596480
0	14	9	2	-31652853161656320
0	14	9	4	471238198941450240
0	14	9	6	-2095181906069422080
0	14	9	8	5418731488043335680
0	14	10	0	-14105549537280
0	14	10	2	8971129505710080
0	14	10	4	-24649447816396800
0	14	10	6	269641684954644480
0	14	10	8	642112826036060160
0	14	10	10	1119698522269286400
0	14	10	12	-4087470881039155200
0	14	11	2	-112844396298240
0	14	11	4	22343190467051520
0	14	11	6	33514785700577280
0	14	11	8	408271025807032320
0	14	11	10	-1160830304719994880
0	14	12	2	126949945835520
0	14	12	4	2538998916710400
0	14	12	6	27992463056732160
0	14	12	8	-41131782450708480
0	14	12	10	-150816535652597760
0	14	12	14	231366276285235200
0	14	13	4	338533188894720
0	14	13	6	1523399350026240
0	14	13	8	-4570198050078720
0	14	13	10	-22850990250393600
0	14	13	12	41131782450708480
0	15	0	0	244496191979520
0	15	0	2	-4154084338728960
0	15	1	0	-286812840591360
0	15	2	0	-1006195866992640
0	15	2	2	19917035946639360
0	15	2	4	-41025990829178880
0	15	3	0	1156655062056960
0	15	3	2	-2172254628741120
0	15	4	0	1692665944473600
0	15	4	2	-40229027280322560
0	15	4	4	195333649992253440
0	15	4	6	-393608307063029760
0	15	5	0	-2155798154280960
0	15	5	2	15487893391933440
0	15	5	4	-65294588808069120
0	15	6	0	-994441242378240
0	15	6	2	32555608332042240
0	15	6	4	-270657284521328640
0	15	6	6	910992811315691520
0	15	6	8	-892140744359116800
0	15	7	0	1749088142622720
0	15	7	2	-21412224197591040
0	15	7	4	121702681407651840
0	15	7	6	-92927360351600640
0	15	8	0	-30091839012864
0	15	8	2	-7652260623974400
0	15	8	4	136598141719019520
0	15	8	6	-628656131777495040
0	15	8	8	1463986775375216640
0	15	8	10	-1684003726502756352
0	15	9	0	-554818281799680
0	15	9	2	10692006549258240
0	15	9	4	-78328116580515840
0	15	9	6	242220496654172160
0	15	9	8	-473396348020654080
0	15	10	0	211583243059200
0	15	10	2	-3103220898201600
0	15	10	4	6326338967470080
0	15	10	6	-30975786783866880
0	15	10	8	-60174274326036480
0	15	10	10	-86833762951495680
0	15	10	12	272498058735943680
0	15	11	0	-28211099074560
0	15	11	2	112844396298240
0	15	11	4	-4062398266736640
0	15	11	6	-2792898808381440
0	15	11	8	-43416881475747840
0	15	11	10	98259258076692480
0	15	12	2	-42316648611840
0	15	12	4	-507799783342080
0	15	12	6	-3998923293818880
0	15	12	8	4570198050078720
0	15	12	10	13710594150236160
0	15	12	14	-15424418419015680
0	15	13	0	-470184984576
0	15	13	4	-84633297223680
0	15	13	6	-253899891671040
0	15	13	8	571274756259840
0	15	13	10	2285099025039360
0	15	13	12	-3427648537559040
1	0	0	2	-1684689256210268160
1	0	2	4	-7511691770060636160
1	0	4	6	-22641332414846238720
1	0	6	8	-25503418943708037120
1	0	8	10	-31460672101985648640
1	0	10	12	4982087149342064640
1	0	12	14	-262215113123266560
1	1	0	2	25205213520940400640
1	1	2	4	112644527714071511040
1	1	4	6	338238643862057287680
1	1	6	8	385968649747566919680
1	1	8	10	469000007921397104640
1	1	10	12	-73836690971828060160
1	1	12	14	3902377860010967040
1	2	0	2	-175980617391087452160
1	2	2	4	-788295752140634357760
1	2	4	6	-2358001110509946961920
1	2	6	8	-2725702107376592977920
1	2	8	10	-3262629540191066357760
1	2	10	12	510594522924676055040
1	2	12	14	-27100703162210549760
1	3	0	0	-795214460713697280
1	3	0	2	754477048269726842880
1	3	1	0	34657335213096960
1	3	2	2	-7431142029427998720
1	3	2	4	3394854891025781391360
1	3	3	2	872146127890022400
1	3	4	4	-28134139196284600320
1	3	4	6	10141126844860533473280
1	3	5	4	5819766366937743360
1	3	6	6	-56103751262766366720
1	3	6	8	11887846256655007580160
1	3	7	6	7377823052177080320
1	3	8	8	-50482407661169541120
1	3	8	10	14045657649002925096960
1	3	9	8	10973426368076513280
1	3	10	10	2550170511943925760
1	3	10	12	-2185439572535074652160
1	3	11	10	-1729819961954795520
1	3	12	14	116500632318825431040
1	3	13	12	51414728063385600
1	4	0	0	7569771370280386560
1	4	0	2	-2209513598563647651840
1	4	1	0	-375264039889797120
1	4	2	0	-49510478875852800
1	4	2	2	73432418869314846720
1	4	2	4	-10017469980619986862080
1	4	3	2	-7215834921290956800
1	4	4	2	-1332974431272960000
1	4	4	4	286682430084038000640
1	4	4	6	-30004897274281721364480
1	4	5	4	-51207037951998689280
1	4	6	4	-4577815046828851200
1	4	6	6	597596050229593374720
1	4	6	8	-35740969731278318960640
1	4	7	6	-59390231460556308480
1	4	8	6	-16102331129777356800
1	4	8	8	561508243026821775360
1	4	8	10	-41835905437712277012480
