x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	0	0	2	107970928933109760
0	0	2	4	498722862214840320
0	0	4	6	1417332670280663040
0	0	6	8	1928052302376960000
0	0	8	10	1903373232906534912
0	0	10	12	-272498058735943680
0	0	12	14	15424418419015680
0	1	0	2	-1619563933996646400
0	1	2	4	-7480842933222604800
0	1	4	6	-21259990054209945600
0	1	6	8	-28920784535654400000
0	1	8	10	-28550598493598023680
0	1	10	12	4087470881039155200
0	1	12	14	-231366276285235200
0	2	0	2	11336947537976524800
0	2	2	4	52365900532558233600
0	2	4	6	148819930379469619200
0	2	6	8	202445491749580800000
0	2	8	10	199854189455186165760
0	2	10	12	-28612296167274086400
0	2	12	14	1619563933996646400
0	3	0	0	219369506403778560
0	3	0	2	-48736782430958223360
0	3	1	0	15233993500262400
0	3	2	2	1974325557634007040
0	3	2	4	-225602685269329674240
0	3	3	2	432645415407452160
0	3	4	4	7458563217728471040
0	3	4	6	-642643921134463057920
0	3	5	4	2824382394948648960
0	3	6	6	15063372773059461120
0	3	6	8	-875386969582284472320
0	3	7	6	4740818777281658880
0	3	8	8	13381539890630492160
0	3	8	10	-865742328297268346880
0	3	9	8	5225259770590003200
0	3	10	10	-658108519211335680
0	3	10	12	123986616724854374400
0	3	11	10	-786074064613539840
0	3	12	14	-7018110380652134400
0	3	13	12	27421188300472320
0	4	0	0	-2102291103036211200
0	4	0	2	143163548592822190080
0	4	1	0	-166558328936202240
0	4	2	0	60935974001049600
0	4	2	2	-19493418082935767040
0	4	2	4	666172697145672499200
0	4	3	2	-3778030388065075200
0	4	4	2	1438088986424770560
0	4	4	4	-76109031527310950400
0	4	4	6	1909130984224932003840
0	4	5	4	-25085309297098752000
0	4	6	4	5874227893701181440
0	4	6	6	-160176301259158978560
0	4	6	8	2610085998805376532480
0	4	7	6	-40477736329763880960
0	4	8	6	17013323941093048320
0	4	8	8	-149055486003967426560
0	4	8	10	2594667673983760957440
0	4	9	8	-55927036938163322880
0	4	10	8	792167662013644800
0	4	10	10	7586528763130675200
0	4	10	12	-371959850174563123200
0	4	11	10	9286642437759959040
0	4	12	10	-219369506403778560
0	4	12	14	21054331141956403200
0	4	13	12	-329054259605667840
0	5	0	0	9797827552990986240
0	5	0	2	-303071604616430714880
0	5	1	0	888988154037534720
0	5	2	0	-101559956668416000
0	5	2	2	91759420849913856000
0	5	2	4	-1423038499071213404160
0	5	3	0	27082655111577600
0	5	3	2	16139908313744670720
0	5	4	2	-7824179061734768640
0	5	4	4	363864950353334108160
0	5	4	6	-4122792100993999011840
0	5	5	2	1551836137893396480
0	5	5	4	106542488142568488960
0	5	6	4	-35464736868610867200
0	5	6	6	789043677746524323840
0	5	6	8	-5674906132318829445120
0	5	7	4	12804679336753889280
0	5	7	6	159595378307015639040
0	5	8	6	-141712701136840949760
0	5	8	8	762887926506140467200
0	5	8	10	-5697329656711605682176
0	5	9	6	12885927302088622080
0	5	9	8	278495681976996986880
0	5	10	8	-8665095502949253120
0	5	10	10	-40016654126489272320
0	5	10	12	818311670384038871040
0	5	11	8	536236571209236480
0	5	11	10	-50418424888468439040
0	5	12	10	2413064570441564160
0	5	12	14	-46319528512304087040
0	5	13	10	-73123168801259520
0	5	13	12	1809798427831173120
0	6	0	0	-28373820694022062080
0	6	0	2	475456611638843965440
0	6	1	0	-2919961598613258240
0	6	2	0	199057515070095360
0	6	2	2	-267382314451961118720
0	6	2	4	2263551874207670108160
0	6	3	2	-43965079552964689920
0	6	4	0	231105323618795520
0	6	4	2	25308741201769267200
0	6	4	4	-1070456838745416007680
0	6	4	6	6670496864139961466880
0	6	5	2	-3926984991178752000
0	6	5	4	-286221686413952286720
0	6	6	2	4076842349462814720
0	6	6	4	109205390206414356480
0	6	6	6	-2375800191140788961280
0	6	6	8	9280617583755524014080
0	6	7	4	-67294981421248020480
0	6	7	6	-387829037728813547520
0	6	8	4	21828620019931545600
0	6	8	6	553639885383936245760
0	6	8	8	-2371768260861052846080
0	6	8	10	9466056416436168130560
0	6	9	6	-81345462893134479360
0	6	9	8	-854675784143921479680
0	6	10	6	7897302230536028160
0	6	10	8	43374226293947105280
0	6	10	10	127691333519199436800
0	6	10	12	-1363852783973398118400
0	6	11	8	-6239843737707479040
0	6	11	10	166355209022865408000
0	6	12	8	-292492675205038080
0	6	12	10	-12065322852207820800
0	6	12	14	77199214187173478400
0	6	13	10	731231688012595200
0	6	13	12	-6032661426103910400
0	7	0	0	55498453921022607360
0	7	0	2	-559727212867271884800
0	7	1	0	6390415777168097280
0	7	2	0	-2313310124113920000
0	7	2	2	529122183400217640960
0	7	2	4	-2719061186443342479360
0	7	3	0	-701440767389859840
0	7	3	2	83111929072787128320
0	7	4	0	-1095342940068249600
0	7	4	2	-72066042496737607680
0	7	4	4	2142363953672056995840
0	7	4	6	-8214604670180728995840
0	7	5	0	64095617097400320
0	7	5	2	-7735709055036948480
0	7	5	4	538807053712514088960
0	7	6	2	-13516050411017994240
0	7	6	4	-266544783342635581440
0	7	6	6	4856211200048313139200
0	7	6	8	-11607670646044769157120
0	7	7	2	6539558454275604480
0	7	7	4	128853856489863905280
0	7	7	6	653920186598330204160
0	7	8	4	-109988078939138949120
0	7	8	6	-1365664550125389742080
0	7	8	8	4986786836336895590400
0	7	8	10	-12115488202379266129920
0	7	9	4	21899034923221647360
0	7	9	6	198683774429555589120
0	7	9	8	1802257601048543232000
0	7	10	6	-56061096080965632000
0	7	10	8	-131073280076257689600
0	7	10	10	-274486094887727923200
0	7	10	12	1753525007965797580800
0	7	11	6	2307442215506411520
0	7	11	8	32003573545351249920
0	7	11	10	-371557101471399936000
0	7	12	8	2632434076845342720
0	7	12	10	36195968556623462400
0	7	12	14	-99256132526365900800
0	7	13	8	-73123168801259520
0	7	13	10	-3290542596056678400
0	7	13	12	13573488208733798400
0	8	0	0	-75892370286418329600
0	8	0	2	495025847050542612480
0	8	1	0	-9673623487465390080
0	8	2	0	9925793098393190400
0	8	2	2	-739728871053852672000
0	8	2	4	2474881259691847680000
0	8	3	0	3221030447936962560
0	8	3	2	-112405657285432442880
0	8	4	0	3875828864856883200
0	8	4	2	170131433900589711360
0	8	4	4	-3049769667318220062720
0	8	4	6	7743512717576881274880
0	8	5	0	541653102231552000
0	8	5	2	49066549020815523840
0	8	5	4	-742836605727906201600
0	8	6	0	196800627144130560
0	8	6	2	12725236881759928320
0	8	6	4	579747564911497052160
0	8	6	6	-7076380913590421422080
0	8	6	8	11178620453103378923520
0	8	7	2	-22373884142844641280
0	8	7	4	-58650197909632450560
0	8	7	6	-814527102073763266560
0	8	8	2	9296572744634204160
0	8	8	4	206608159315203194880
0	8	8	6	2400877375641354240000
0	8	8	8	-7467057692504217354240
0	8	8	10	12040683200695577640960
0	8	9	4	-118990353498227343360
0	8	9	6	-184920369101851852800
0	8	9	8	-2751697965160196997120
0	8	10	4	9126854772601651200
0	8	10	6	175885595356629565440
0	8	10	8	265510225917373317120
0	8	10	10	418666702971611381760
0	8	10	12	-1753525007965797580800
0	8	11	6	-15989599577875415040
0	8	11	8	-95742602350449131520
0	8	11	10	591858928277394554880
0	8	12	6	1023724363217633280
0	8	12	8	-10529736307381370880
0	8	12	10	-72391937113246924800
0	8	12	14	99256132526365900800
0	8	13	8	584985350410076160
0	8	13	10	8774780256151142400
0	8	13	12	-21717581133974077440
0	9	0	0	73152508344297062400
0	9	0	2	-325898065316178984960
0	9	1	0	10299684198128025600
0	9	2	0	-22309788525747240960
0	9	2	2	740228094663076085760
0	9	2	4	-1696568364650259578880
0	9	3	0	-7698696093051125760
0	9	3	2	109784959025802117120
0	9	4	0	-10187893016195235840
0	9	4	2	-294029164505034915840
0	9	4	4	3142365265144703877120
0	9	4	6	-5571585633801566453760
0	9	5	0	-3058534517267496960
0	9	5	2	-101825366688509460480
0	9	5	4	763418069479949598720
0	9	6	0	269021040775004160
0	9	6	2	5705412676839014400
0	9	6	4	-1007772679356914073600
0	9	6	6	7511951255749923962880
0	9	6	8	-8276575540140229754880
0	9	7	0	481469424205824000
0	9	7	2	23977177325450035200
0	9	7	4	-195515103781501009920
0	9	7	6	775121838886417858560
0	9	8	2	-37285594047279267840
0	9	8	4	-127526806389396602880
0	9	8	6	-3171758070737299046400
0	9	8	8	8160533451025762222080
0	9	8	10	-9289902702793933946880
0	9	9	2	4405445231483289600
0	9	9	4	281334621299068108800
0	9	9	6	-138869022350125301760
0	9	9	8	3117496617088497745920
0	9	10	4	-43868484749733396480
0	9	10	6	-322261929703684177920
0	9	10	8	-378266152208915496960
0	9	10	10	-464514929810001100800
0	9	10	12	1363852783973398118400
0	9	11	4	2686599387068497920
0	9	11	6	47838801989090672640
0	9	11	8	185635351196797501440
0	9	11	10	-689478358627076014080
0	9	12	6	-7166070542523432960
0	9	12	8	24569384717223198720
0	9	12	10	101348711958545694720
0	9	12	14	-77199214187173478400
0	9	13	6	129996744535572480
0	9	13	8	-2047448726435266560
0	9	13	10	-15355865448264499200
0	9	13	12	25337177989636423680
0	10	0	0	-48973113860680581120
0	10	0	2	156531871583536250880
0	10	1	0	-7721264972310773760
0	10	2	0	30725874060865044480
0	10	2	2	-527022600562692587520
0	10	2	4	862105254665729310720
0	10	3	0	11439713519130378240
0	10	3	2	-77205427681744650240
0	10	4	0	16206260818768035840
0	10	4	2	355705397745800970240
0	10	4	4	-2342191970280076738560
0	10	4	6	3025083340542558044160
0	10	5	0	5476714700341248000
0	10	5	2	125638242572949258240
0	10	5	4	-586233860810719887360
0	10	6	0	-3609215171202908160
0	10	6	2	-24302169186788966400
0	10	6	4	1267289513698095267840
0	10	6	6	-5832458314722595307520
0	10	6	8	4665379851043440721920
0	10	7	0	-2137724243473858560
0	10	7	2	-2614378973437624320
0	10	7	4	449377079735384801280
0	10	7	6	-570783206069564866560
0	10	8	0	96293884841164800
0	10	8	2	60666952960274595840
0	10	8	4	-146181339230251253760
0	10	8	6	3182157810300144844800
0	10	8	8	-6554553669033299804160
0	10	8	10	5517958523642116079616
0	10	9	2	-11873036000915619840
0	10	9	4	-393630142453713469440
0	10	9	6	592525161593139363840
0	10	9	8	-2637625821830232145920
0	10	10	2	1848842588950364160
0	10	10	4	84373303734608855040
0	10	10	6	384335375219420037120
0	10	10	8	386455947114656563200
0	10	10	10	377644605274104791040
0	10	10	12	-818311670384038871040
0	10	11	4	-13866319417127731200
0	10	11	6	-80467984867519365120
0	10	11	8	-244328881354608476160
0	10	11	10	591858928277394554880
0	10	12	4	519986978142289920
0	10	12	6	21498211627570298880
0	10	12	8	-36854077075834798080
0	10	12	10	-101348711958545694720
0	10	12	14	46319528512304087040
0	10	13	6	-779980467213434880
0	10	13	8	4094897452870533120
0	10	13	10	18427038537917399040
0	10	13	12	-21717581133974077440
0	11	0	0	21842311806682398720
0	11	0	2	-53062263302114672640
0	11	1	0	4014665087102484480
0	11	2	0	-26587644359815987200
0	11	2	2	260485942016590479360
0	11	2	4	-315725848267369512960
0	11	3	0	-10915513683526287360
0	11	3	2	38454436304136437760
0	11	4	0	-13187447528997519360
0	11	4	2	-294906642530650030080
0	11	4	4	1241899524530991267840
0	11	4	6	-1212657175782535495680
0	11	5	0	-3004971043824599040
0	11	5	2	-105241392253249781760
0	11	5	4	332821795464877178880
0	11	6	0	10367842213492162560
0	11	6	2	38038491859381125120
0	11	6	4	-1103016960853310177280
0	11	6	6	3275032359474277908480
0	11	6	8	-1963006890888230830080
0	11	7	0	5729486148049305600
0	11	7	2	-2087169953932247040
0	11	7	4	-490206890581599191040
0	11	7	6	323500961175038853120
0	11	8	0	481469424205824000
0	11	8	2	-46724802108834447360
0	11	8	4	363752557334621061120
0	11	8	6	-2381962849311428444160
0	11	8	8	3837491711495299399680
0	11	8	10	-2477451234395341946880
0	11	9	0	288881654523494400
0	11	9	2	9403097854739742720
0	11	9	4	384541203398268026880
0	11	9	6	-771758173121559920640
0	11	9	8	1651550750149147361280
0	11	10	2	-5199869781422899200
0	11	10	4	-79725920117462138880
0	11	10	6	-314527123403817615360
0	11	10	8	-282913540092073082880
0	11	10	10	-223208472765844684800
0	11	10	12	371959850174563123200
0	11	11	2	462210647237591040
0	11	11	4	30679231710395105280
0	11	11	6	82872924641427456000
0	11	11	8	221465703909414666240
0	11	11	10	-371557101471399936000
0	11	12	4	-2599934890711449600
0	11	12	6	-35830352712617164800
0	11	12	8	36854077075834798080
0	11	12	10	72391937113246924800
0	11	12	14	-21054331141956403200
0	11	13	4	173328992714096640
0	11	13	6	1949951168033587200
0	11	13	8	-5118621816088166400
0	11	13	10	-15355865448264499200
0	11	13	12	13573488208733798400
0	12	0	0	-6013327419538145280
0	12	0	2	12082214247778713600
0	12	1	0	-1397314544562339840
0	12	2	0	13631753532022456320
0	12	2	2	-85334060924692070400
0	12	2	4	79619049421392936960
0	12	3	0	6572057640409497600
0	12	3	2	-13061964560313876480
0	12	4	0	2720302246762905600
0	12	4	2	161149922710420193280
0	12	4	4	-451740041393869946880
0	12	4	6	346040098883487498240
0	12	5	0	-2929741446292439040
0	12	5	2	61185134428076113920
0	12	5	4	-135988781979009024000
0	12	6	0	-14142562499265822720
0	12	6	2	-48633226539030282240
0	12	6	4	643237433289568419840
0	12	6	6	-1291944208778919936000
0	12	6	8	595873656839469957120
0	12	7	0	-7510923017610854400
0	12	7	2	-22287219646487592960
0	12	7	4	330516722981693030400
0	12	7	6	-137650302870104309760
0	12	8	0	-712574747824619520
0	12	8	2	11539016587872829440
0	12	8	4	-348217946362620149760
0	12	8	6	1280516682454589767680
0	12	8	8	-1595943627074489548800
0	12	8	10	813751755279572828160
0	12	9	0	-616280862983454720
0	12	9	2	4448777479661813760
0	12	9	4	-290239398299754823680
0	12	9	6	571790680839715553280
0	12	9	8	-745186026058835558400
0	12	10	0	-19258776968232960
0	12	10	2	7684252010324951040
0	12	10	4	33100421077370142720
0	12	10	6	180045491181767884800
0	12	10	8	145332297992503296000
0	12	10	10	93506252104610611200
0	12	10	12	-123986616724854374400
0	12	11	2	-1155526618093977600
0	12	11	4	-37785720411673067520
0	12	11	6	-53168668515049144320
0	12	11	8	-136691576879154462720
0	12	11	10	166355209022865408000
0	12	12	2	173328992714096640
0	12	12	4	5199869781422899200
0	12	12	6	35830352712617164800
0	12	12	8	-24569384717223198720
0	12	12	10	-36195968556623462400
0	12	12	14	7018110380652134400
0	12	13	4	-693315970856386560
0	12	13	6	-2599934890711449600
0	12	13	8	4094897452870533120
0	12	13	10	8774780256151142400
0	12	13	12	-6032661426103910400
0	13	0	0	915619431563919360
0	13	0	2	-1723507728536862720
0	13	1	0	305206477187973120
0	13	2	0	-3597629813182955520
0	13	2	2	17198163062229565440
0	13	2	4	-12827932335166095360
0	13	3	0	-2359802015388794880
0	13	3	2	2808019957485404160
0	13	4	0	2676969998584381440
0	13	4	2	-53658864572568698880
0	13	4	4	105491004057861488640
0	13	4	6	-66125751261778575360
0	13	5	0	4760528931835084800
0	13	5	2	-23367817585439539200
0	13	5	4	37925873151875481600
0	13	6	0	8144657147221770240
0	13	6	2	39562342586992558080
0	13	6	4	-237923833420720373760
0	13	6	6	338393713220895375360
0	13	6	8	-123045917626213171200
0	13	7	0	2311053236187955200
0	13	7	2	32614738795702517760
0	13	7	4	-141198130689720975360
0	13	7	6	41688331013251399680
0	13	8	0	-1714031150172733440
0	13	8	2	3118116358512967680
0	13	8	4	191918527182683504640
0	13	8	6	-464494617818667417600
0	13	8	8	447166458011902279680
0	13	8	10	-184571447175722926080
0	13	9	0	115552661809397760
0	13	9	2	-17116238030517043200
0	13	9	4	165377525173337456640
0	13	9	6	-258287281799115571200
0	13	9	8	229649405217755627520
0	13	10	0	57776330904698880
0	13	10	2	-10341963231941099520
0	13	10	4	1684541147940126720
0	13	10	6	-70588232282815856640
0	13	10	8	-49857813927658782720
0	13	10	10	-26342621560653742080
0	13	10	12	28612296167274086400
0	13	11	2	693315970856386560
0	13	11	4	27645974337898414080
0	13	11	6	20539485636620451840
0	13	11	8	55037371717747998720
0	13	11	10	-50418424888468439040
0	13	12	2	-519986978142289920
0	13	12	4	-5199869781422899200
0	13	12	6	-21498211627570298880
0	13	12	8	10529736307381370880
0	13	12	10	12065322852207820800
0	13	12	14	-1619563933996646400
0	13	13	4	1039973956284579840
0	13	13	6	1949951168033587200
0	13	13	8	-2047448726435266560
0	13	13	10	-3290542596056678400
0	13	13	12	1809798427831173120
0	14	0	0	-72145184033341440
0	14	0	2	138142699393351680
0	14	1	0	-37765257961144320
0	14	2	0	459652840921497600
0	14	2	2	-1886532617313976320
0	14	2	4	1151626433646919680
0	14	3	0	452581258753474560
0	14	3	2	-333116657872404480
0	14	4	0	-1117009064157511680
0	14	4	2	9394973058206269440
0	14	4	4	-13957046311751516160
0	14	4	6	7561583098773995520
0	14	5	0	-2048652399995781120
0	14	5	2	5151121002222059520
0	14	5	4	-6495774828511887360
0	14	6	0	-278650429259120640
0	14	6	2	-15740439150848901120
0	14	6	4	49699380395256053760
0	14	6	6	-52579620766372331520
0	14	6	8	15453934281422438400
0	14	7	0	2792522660393779200
0	14	7	2	-16509586556017704960
0	14	7	4	35207451645050880000
0	14	7	6	-8043548568138547200
0	14	8	0	3158439422790205440
0	14	8	2	1348716224556564480
0	14	8	4	-60935974001049600000
0	14	8	6	101446209516947374080
0	14	8	8	-75725134891104337920
0	14	8	10	25845041247951421440
0	14	9	0	462210647237591040
0	14	9	2	16206260818768035840
0	14	9	4	-60318489464505630720
0	14	9	6	67045820994221506560
0	14	9	8	-43349851904346685440
0	14	10	0	-57776330904698880
0	14	10	2	9186436613847121920
0	14	10	4	-6310258640997580800
0	14	10	6	17257067837097246720
0	14	10	8	10273805216576962560
0	14	10	10	4478794089077145600
0	14	10	12	-4087470881039155200
0	14	11	2	231105323618795520
0	14	11	4	-11439713519130378240
0	14	11	6	-4289892569673891840
0	14	11	8	-13064672825825034240
0	14	11	10	9286642437759959040
0	14	12	2	519986978142289920
0	14	12	4	2599934890711449600
0	14	12	6	7166070542523432960
0	14	12	8	-2632434076845342720
0	14	12	10	-2413064570441564160
0	14	12	14	231366276285235200
0	14	13	4	-693315970856386560
0	14	13	6	-779980467213434880
0	14	13	8	584985350410076160
0	14	13	10	731231688012595200
0	14	13	12	-329054259605667840
0	15	0	0	977984767918080
0	15	0	2	-4154084338728960
0	15	1	0	2294502724730880
0	15	2	0	-16099133871882240
0	15	2	2	79668143786557440
0	15	2	4	-41025990829178880
0	15	3	0	-37012961985822720
0	15	3	2	17378037029928960
0	15	4	0	108330620446310400
0	15	4	2	-643664436485160960
0	15	4	4	781334599969013760
0	15	4	6	-393608307063029760
0	15	5	0	275942163747962880
0	15	5	2	-495612588541870080
0	15	5	4	522356710464552960
0	15	6	0	-254576958048829440
0	15	6	2	2083558933250703360
0	15	6	4	-4330516552341258240
0	15	6	6	3643971245262766080
0	15	6	8	-892140744359116800
0	15	7	0	-895533129022832640
0	15	7	2	2740764697291653120
0	15	7	4	-3894485805044858880
0	15	7	6	743418882812805120
0	15	8	0	-30814043149172736
0	15	8	2	-1958978719737446400
0	15	8	4	8742281070017249280
0	15	8	6	-10058498108439920640
0	15	8	8	5855947101500866560
0	15	8	10	-1684003726502756352
0	15	9	0	1136267841125744640
0	15	9	2	-5474307353220218880
0	15	9	4	10025998922306027520
0	15	9	6	-7751055892933509120
0	15	9	8	3787170784165232640
0	15	10	0	866644963570483200
0	15	10	2	-3177698199758438400
0	15	10	4	1619542775672340480
0	15	10	6	-1982450354167480320
0	15	10	8	-962788389216583680
0	15	10	10	-347335051805982720
0	15	10	12	272498058735943680
0	15	11	0	231105323618795520
0	15	11	2	-231105323618795520
0	15	11	4	2079947912569159680
0	15	11	6	357491047472824320
0	15	11	8	1389340207223930880
0	15	11	10	-786074064613539840
0	15	12	2	-173328992714096640
0	15	12	4	-519986978142289920
0	15	12	6	-1023724363217633280
0	15	12	8	292492675205038080
0	15	12	10	219369506403778560
0	15	12	14	-15424418419015680
0	15	13	0	15407021574586368
0	15	13	4	173328992714096640
0	15	13	6	129996744535572480
0	15	13	8	-73123168801259520
0	15	13	10	-73123168801259520
0	15	13	12	27421188300472320
1	0	0	2	-1684689256210268160
1	0	2	4	-7511691770060636160
1	0	4	6	-22641332414846238720
1	0	6	8	-25503418943708037120
1	0	8	10	-31460672101985648640
1	0	10	12	4982087149342064640
1	0	12	14	-262215113123266560
1	1	0	2	25205213520940400640
1	1	2	4	112644527714071511040
1	1	4	6	338238643862057287680
1	1	6	8	385968649747566919680
1	1	8	10	469000007921397104640
1	1	10	12	-73836690971828060160
1	1	12	14	3902377860010967040
1	2	0	2	-175980617391087452160
1	2	2	4	-788295752140634357760
1	2	4	6	-2358001110509946961920
1	2	6	8	-2725702107376592977920
1	2	8	10	-3262629540191066357760
1	2	10	12	510594522924676055040
1	2	12	14	-27100703162210549760
1	3	0	0	-3180857842854789120
1	3	0	2	754477048269726842880
1	3	1	0	-277258681704775680
1	3	2	2	-29724568117711994880
1	3	2	4	3394854891025781391360
1	3	3	2	-6977169023120179200
1	3	4	4	-112536556785138401280
1	3	4	6	10141126844860533473280
1	3	5	4	-46558130935501946880
1	3	6	6	-224415005051065466880
1	3	6	8	11887846256655007580160
1	3	7	6	-59022584417416642560
1	3	8	8	-201929630644678164480
1	3	8	10	14045657649002925096960
1	3	9	8	-87787410944612106240
1	3	10	10	10200682047775703040
1	3	10	12	-2185439572535074652160
1	3	11	10	13838559695638364160
1	3	12	14	116500632318825431040
1	3	13	12	-411317824507084800
1	4	0	0	30279085481121546240
1	4	0	2	-2209513598563647651840
1	4	1	0	3002112319118376960
