x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	0	0	0	107970928933109760
0	0	1	1	-1619563933996646400
0	0	1	3	234603499904040960
0	0	2	0	498722862214840320
0	0	2	2	11336947537976524800
0	0	2	4	-2207913457971363840
0	0	3	1	-7480842933222604800
0	0	3	3	-46329811457916764160
0	0	3	5	10612338405471682560
0	0	4	0	1417332670280663040
0	0	4	2	52365900532558233600
0	0	4	4	121330189108246118400
0	0	4	6	-30863619453946429440
0	0	5	1	-21259990054209945600
0	0	5	3	-215319739656652554240
0	0	5	5	-201444618376613560320
0	0	5	7	57842871483716075520
0	0	6	0	1928052302376960000
0	0	6	2	148819930379469619200
0	0	6	4	570852584214963978240
0	0	6	6	189567816193971486720
0	0	6	8	-67804887633321000960
0	0	7	1	-28920784535654400000
0	0	7	3	-622839729584121937920
0	0	7	5	-975291118107167784960
0	0	7	7	-34271343902784061440
0	0	7	9	40947770855144816640
0	0	8	0	1903373232906534912
0	0	8	2	202445491749580800000
0	0	8	4	1725490270577102192640
0	0	8	6	970612377853399695360
0	0	8	8	-138262772883787776000
0	0	8	10	1503538736277749760
0	0	9	1	-28550598493598023680
0	0	9	3	-856780169921063976960
0	0	9	5	-3302979818775211376640
0	0	9	7	-263670149927460372480
0	0	9	9	125062898365647912960
0	0	9	11	-10970920282108723200
0	0	10	0	-272498058735943680
0	0	10	2	199854189455186165760
0	0	10	4	2405895643525259427840
0	0	10	6	4387059359991696752640
0	0	10	8	-699882985762836480000
0	0	10	10	57373695045931991040
0	0	10	12	-10417869895851048960
0	0	11	1	4087470881039155200
0	0	11	3	-867186510881093222400
0	0	11	5	-4641651382767432007680
0	0	11	7	-3925207713095379025920
0	0	11	9	1118553116382985420800
0	0	11	11	-160377961248118702080
0	0	11	13	11615901236550696960
0	0	12	0	15424418419015680
0	0	12	2	-28612296167274086400
0	0	12	4	2611321475678247813120
0	0	12	6	6091015428631584276480
0	0	12	8	2229481428594170757120
0	0	12	10	-818438493379928555520
0	0	12	12	87790648168230912000
0	0	12	14	3713408163784949760
0	0	13	1	-231366276285235200
0	0	13	3	124014037913154846720
0	0	13	5	-5785424794324923088896
0	0	13	7	-4915136604282192691200
0	0	13	9	-876598833765230346240
0	0	13	11	362592086721414266880
0	0	13	13	-10733681395366133760
0	0	13	15	1402934195497992192
0	0	14	2	1619563933996646400
0	0	14	4	-372288904434168791040
0	0	14	6	9748768867814037749760
0	0	14	8	1119687668048917463040
0	0	14	10	721110413155939614720
0	0	14	12	-172991707866335969280
0	0	14	14	7707067736701501440
0	0	15	3	-7018110380652134400
0	0	15	5	820121468811870044160
0	0	15	7	-12728625972777827205120
0	0	15	9	2831345662952700149760
0	0	15	11	-1033379477873180835840
0	0	15	13	133933652780850708480
0	0	15	15	-7237479887055912960
0	0	16	4	21054331141956403200
0	0	16	6	-1369885445399502028800
0	0	16	8	12987591675087487795200
0	0	16	10	-4417431753683007406080
0	0	16	12	928860191017393029120
0	0	16	14	-71492179372137676800
0	0	17	5	-46319528512304087040
0	0	17	7	1767098496174531379200
0	0	17	9	-10357903144720729866240
0	0	17	11	3496323189833304145920
0	0	17	13	-478422613751146905600
0	0	17	15	15158775657354854400
0	0	18	6	77199214187173478400
0	0	18	8	-1775242589099771658240
0	0	18	10	6404540383772987129856
0	0	18	12	-1757089762444858982400
0	0	18	14	134783709618165350400
0	0	19	7	-99256132526365900800
0	0	19	9	1389189961963034542080
0	0	19	11	-3015180736967604142080
0	0	19	13	567431790974480056320
0	0	19	15	-16334459105737605120
0	0	20	8	99256132526365900800
0	0	20	10	-840029251518012948480
0	0	20	12	1046192028106576527360
0	0	20	14	-108459368849711923200
0	0	21	9	-77199214187173478400
0	0	21	11	385533338383296921600
0	0	21	13	-252557713368693964800
0	0	21	15	9396898465718108160
0	0	22	10	46319528512304087040
0	0	22	12	-130019278150958284800
0	0	22	14	37928644892359557120
0	0	23	11	-21054331141956403200
0	0	23	13	30422094595105259520
0	0	23	15	-2671166505319759872
0	0	24	12	7018110380652134400
0	0	24	14	-4416525140644823040
0	0	25	13	-1619563933996646400
0	0	25	15	299919247036416000
0	0	26	14	231366276285235200
0	0	27	15	-15424418419015680
0	1	1	3	-726661489962516480
0	1	2	4	6690769945315246080
0	1	3	3	-7869881042235555840
0	1	3	5	-32987689525468200960
0	1	4	4	66852857076551516160
0	1	4	6	94986996272836116480
0	1	5	3	-35085410430454333440
0	1	5	5	-312601546625384448000
0	1	5	7	-166926483779125248000
0	1	6	4	305965619056670146560
0	1	6	6	840898160422284165120
0	1	6	8	144564504720090071040
0	1	7	3	-66523802816945848320
0	1	7	5	-1454282721515549491200
0	1	7	7	-1417977068205724139520
0	1	7	9	39870407788886753280
0	1	8	4	560598773614856110080
0	1	8	6	4152390544340523417600
0	1	8	8	1345064128514768240640
0	1	8	10	-221124462455008788480
