x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	0	0	2	107970928933109760
0	0	1	0	234603499904040960
0	0	1	2	-1619563933996646400
0	0	2	0	-2207913457971363840
0	0	2	2	11336947537976524800
0	0	2	4	498722862214840320
0	0	3	0	10612338405471682560
0	0	3	2	-46329811457916764160
0	0	3	4	-7480842933222604800
0	0	4	0	-30863619453946429440
0	0	4	2	121330189108246118400
0	0	4	4	52365900532558233600
0	0	4	6	1417332670280663040
0	0	5	0	57842871483716075520
0	0	5	2	-201444618376613560320
0	0	5	4	-215319739656652554240
0	0	5	6	-21259990054209945600
0	0	6	0	-67804887633321000960
0	0	6	2	189567816193971486720
0	0	6	4	570852584214963978240
0	0	6	6	148819930379469619200
0	0	6	8	1928052302376960000
0	0	7	0	40947770855144816640
0	0	7	2	-34271343902784061440
0	0	7	4	-975291118107167784960
0	0	7	6	-622839729584121937920
0	0	7	8	-28920784535654400000
0	0	8	0	1503538736277749760
0	0	8	2	-138262772883787776000
0	0	8	4	970612377853399695360
0	0	8	6	1725490270577102192640
0	0	8	8	202445491749580800000
0	0	8	10	1903373232906534912
0	0	9	0	-10970920282108723200
0	0	9	2	125062898365647912960
0	0	9	4	-263670149927460372480
0	0	9	6	-3302979818775211376640
0	0	9	8	-856780169921063976960
0	0	9	10	-28550598493598023680
0	0	10	0	-10417869895851048960
0	0	10	2	57373695045931991040
0	0	10	4	-699882985762836480000
0	0	10	6	4387059359991696752640
0	0	10	8	2405895643525259427840
0	0	10	10	199854189455186165760
0	0	10	12	-272498058735943680
0	0	11	0	11615901236550696960
0	0	11	2	-160377961248118702080
0	0	11	4	1118553116382985420800
0	0	11	6	-3925207713095379025920
0	0	11	8	-4641651382767432007680
0	0	11	10	-867186510881093222400
0	0	11	12	4087470881039155200
0	0	12	0	3713408163784949760
0	0	12	2	87790648168230912000
0	0	12	4	-818438493379928555520
0	0	12	6	2229481428594170757120
0	0	12	8	6091015428631584276480
0	0	12	10	2611321475678247813120
0	0	12	12	-28612296167274086400
0	0	12	14	15424418419015680
0	0	13	0	1402934195497992192
0	0	13	2	-10733681395366133760
0	0	13	4	362592086721414266880
0	0	13	6	-876598833765230346240
0	0	13	8	-4915136604282192691200
0	0	13	10	-5785424794324923088896
0	0	13	12	124014037913154846720
0	0	13	14	-231366276285235200
0	0	14	2	7707067736701501440
0	0	14	4	-172991707866335969280
0	0	14	6	721110413155939614720
0	0	14	8	1119687668048917463040
0	0	14	10	9748768867814037749760
0	0	14	12	-372288904434168791040
0	0	14	14	1619563933996646400
0	0	15	2	-7237479887055912960
0	0	15	4	133933652780850708480
0	0	15	6	-1033379477873180835840
0	0	15	8	2831345662952700149760
0	0	15	10	-12728625972777827205120
0	0	15	12	820121468811870044160
0	0	15	14	-7018110380652134400
0	0	16	4	-71492179372137676800
0	0	16	6	928860191017393029120
0	0	16	8	-4417431753683007406080
0	0	16	10	12987591675087487795200
0	0	16	12	-1369885445399502028800
0	0	16	14	21054331141956403200
0	0	17	4	15158775657354854400
0	0	17	6	-478422613751146905600
0	0	17	8	3496323189833304145920
0	0	17	10	-10357903144720729866240
0	0	17	12	1767098496174531379200
0	0	17	14	-46319528512304087040
0	0	18	6	134783709618165350400
0	0	18	8	-1757089762444858982400
0	0	18	10	6404540383772987129856
0	0	18	12	-1775242589099771658240
0	0	18	14	77199214187173478400
0	0	19	6	-16334459105737605120
0	0	19	8	567431790974480056320
0	0	19	10	-3015180736967604142080
0	0	19	12	1389189961963034542080
0	0	19	14	-99256132526365900800
0	0	20	8	-108459368849711923200
0	0	20	10	1046192028106576527360
0	0	20	12	-840029251518012948480
0	0	20	14	99256132526365900800
0	0	21	8	9396898465718108160
0	0	21	10	-252557713368693964800
0	0	21	12	385533338383296921600
0	0	21	14	-77199214187173478400
0	0	22	10	37928644892359557120
0	0	22	12	-130019278150958284800
0	0	22	14	46319528512304087040
0	0	23	10	-2671166505319759872
0	0	23	12	30422094595105259520
0	0	23	14	-21054331141956403200
0	0	24	12	-4416525140644823040
0	0	24	14	7018110380652134400
0	0	25	12	299919247036416000
0	0	25	14	-1619563933996646400
0	0	26	14	231366276285235200
0	0	27	14	-15424418419015680
0	1	1	0	-726661489962516480
0	1	2	0	6690769945315246080
0	1	3	0	-32987689525468200960
0	1	3	2	-7869881042235555840
0	1	4	0	94986996272836116480
0	1	4	2	66852857076551516160
0	1	5	0	-166926483779125248000
0	1	5	2	-312601546625384448000
0	1	5	4	-35085410430454333440
0	1	6	0	144564504720090071040
0	1	6	2	840898160422284165120
0	1	6	4	305965619056670146560
0	1	7	0	39870407788886753280
0	1	7	2	-1417977068205724139520
0	1	7	4	-1454282721515549491200
0	1	7	6	-66523802816945848320
0	1	8	0	-221124462455008788480
0	1	8	2	1345064128514768240640
0	1	8	4	4152390544340523417600
0	1	8	6	560598773614856110080
0	1	9	0	94287755971174072320
0	1	9	2	-102006820477757030400
0	1	9	4	-7458905982582226944000
0	1	9	6	-2331678483565762314240
