x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	2	4	412782428160
0	0	3	2	1651129712640
0	0	3	4	-6191736422400
0	0	4	0	773967052800
0	0	4	2	-15272949841920
0	0	4	4	43342154956800
0	0	4	6	1238347284480
0	0	5	0	-5030785843200
0	0	5	2	73888054640640
0	0	5	3	412782428160
0	0	5	4	-177083661680640
0	0	5	6	-18575209267200
0	0	5	7	412782428160
0	0	6	0	17878638919680
0	0	6	2	-210106255933440
0	0	6	3	-2889476997120
0	0	6	4	466444143820800
0	0	6	5	3302259425280
0	0	6	6	130026464870400
0	0	6	7	-6191736422400
0	0	6	8	3715041853440
0	0	7	0	-35742765957120
0	0	7	2	382649310904320
0	0	7	3	21877468692480
0	0	7	4	-778507659509760
0	0	7	5	-21464686264320
0	0	7	6	-522995336478720
0	0	7	7	43342154956800
0	0	7	8	-55725627801600
0	0	7	9	4127824281600
0	0	8	0	36008817131520
0	0	8	2	-414846340300800
0	0	8	3	-62330146652160
0	0	8	4	756217408389120
0	0	8	5	107323431321600
0	0	8	6	1315537598545920
0	0	8	7	-149840021422080
0	0	8	8	390079394611200
0	0	8	9	-61917364224000
0	0	8	10	6852188307456
0	0	9	0	6116758364160
0	0	9	2	172130272542720
0	0	9	3	109387343462400
0	0	9	4	-260052929740800
0	0	9	5	-282343180861440
0	0	9	6	-1961954881044480
0	0	9	7	246018327183360
0	0	9	8	-1612740946821120
0	0	9	9	433421549568000
0	0	9	10	-102782824611840
0	0	9	11	7430083706880
0	0	10	0	-45959131054080
0	0	10	2	149840021422080
0	0	10	3	-149840021422080
0	0	10	4	-200612260085760
0	0	10	5	376457574481920
0	0	10	6	1093460652195840
0	0	10	7	75951966781440
0	0	10	8	4297890642001920
0	0	10	9	-1797254692208640
0	0	10	10	719479772282880
0	0	10	11	-111451255603200
0	0	10	12	4540606709760
0	0	11	0	14777933414400
0	0	11	2	-149840021422080
0	0	11	3	170479142830080
0	0	11	4	-110625690746880
0	0	11	5	-330638724956160
0	0	11	6	1693646302740480
0	0	11	7	-1368786531778560
0	0	11	8	-7520895841075200
0	0	11	9	4770939304673280
0	0	11	10	-3077293001932800
0	0	11	11	780158789222400
0	0	11	12	-68109100646400
0	0	11	13	1238347284480
0	0	12	0	26397113794560
0	0	12	2	-110625690746880
0	0	12	3	-177909226536960
0	0	12	4	913900295946240
0	0	12	5	456950147973120
0	0	12	6	-4065081352519680
0	0	12	7	3115681767751680
0	0	12	8	7955142955499520
0	0	12	9	-8142546177884160
0	0	12	10	8894635761991680
0	0	12	11	-3374083567779840
0	0	12	12	476763704524800
0	0	12	13	-18575209267200
0	0	13	0	14777623525248
0	0	13	2	118055774453760
0	0	13	3	173368619827200
0	0	13	4	-973340965601280
0	0	13	5	-900278475816960
0	0	13	6	3301433860423680
0	0	13	7	-2892779256545280
0	0	13	8	-2490316389089280
0	0	13	9	7863505256448000
0	0	13	10	-18189175140384768
0	0	13	11	10067763422822400
0	0	13	12	-2065150488084480
0	0	13	13	130026464870400
0	0	13	15	82556485632
0	0	14	2	56138410229760
0	0	14	3	-141997155287040
0	0	14	4	115166297456640
0	0	14	5	1353513581936640
0	0	14	6	-90812134195200
0	0	14	7	-1017095902986240
0	0	14	8	-7000377199165440
0	0	14	9	-359120712499200
0	0	14	10	26739220131348480
0	0	14	11	-21931130408140800
0	0	14	12	6188021380546560
0	0	14	13	-563448014438400
0	0	14	15	-1238347284480
0	0	15	2	-53661715660800
0	0	15	3	82556485632000
0	0	15	4	490798307082240
0	0	15	5	-1406349732741120
0	0	15	6	-2420556158730240
0	0	15	7	6087715250503680
0	0	15	8	13808810569236480
0	0	15	9	-11905470792990720
0	0	15	10	-27902441013903360
0	0	15	11	36007011208396800
0	0	15	12	-13580954668892160
0	0	15	13	1690344043315200
0	0	15	15	8668430991360
0	0	16	3	-23115815976960
0	0	16	4	-364486884065280
0	0	16	5	946510107770880
0	0	16	6	2584843565137920
0	0	16	7	-7885795507568640
0	0	16	8	-13429876300185600
0	0	16	9	20810013333258240
0	0	16	10	19324409374310400
0	0	16	11	-45360661030502400
0	0	16	12	22544112313958400
0	0	16	13	-3718756895293440
0	0	16	15	-37563200962560
0	0	17	4	84620397772800
0	0	17	5	-361184624640000
0	0	17	6	-1395204607180800
0	0	17	7	5682775688478720
0	0	17	8	8199097370542080
0	0	17	9	-20613528897454080
0	0	17	10	-6538886444482560
0	0	17	11	44216428139642880
0	0	17	12	-28810149573427200
0	0	17	13	6197928158822400
0	0	17	15	112689602887680
0	0	18	5	58202322370560
0	0	18	6	404526779596800
0	0	18	7	-2488665259376640
0	0	18	8	-3245295450193920
0	0	18	9	13559902765056000
0	0	18	10	-2394220639813632
0	0	18	11	-33373459316736000
0	0	18	12	28564956811100160
0	0	18	13	-7968764775628800
0	0	18	15	-247917126352896
0	0	19	6	-49533891379200
0	0	19	7	628667638087680
0	0	19	8	811530253762560
0	0	19	9	-6039006923980800
0	0	19	10	4590553383567360
0	0	19	11	19370228223836160
0	0	19	12	-21962914655109120
0	0	19	13	7968764775628800
0	0	19	15	413195210588160
0	0	20	7	-71411360071680
0	0	20	8	-119706904166400
0	0	20	9	1752674189967360
0	0	20	10	-2939836453355520
0	0	20	11	-8507445844377600
0	0	20	12	12981594583203840
0	0	20	13	-6197928158822400
0	0	20	15	-531250985041920
0	0	21	8	8668430991360
0	0	21	9	-298028913131520
0	0	21	10	1069106488934400
0	0	21	11	2745003147264000
0	0	21	12	-5789273554944000
