x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	578547930240
0	0	2	4	2672340439680
0	0	4	6	7594589496960
0	0	6	8	10331213040000
0	0	8	10	10198973513088
0	0	10	12	-1460144776320
0	0	12	14	82649704320
0	1	0	2	-8678218953600
0	1	2	4	-40085106595200
0	1	4	6	-113918842454400
0	1	6	8	-154968195600000
0	1	8	10	-152984602696320
0	1	10	12	21902171644800
0	1	12	14	-1239745564800
0	2	0	2	60747532675200
0	2	2	4	280595746166400
0	2	4	6	797431897180800
0	2	6	8	1084777369200000
0	2	8	10	1070892218874240
0	2	10	12	-153315201513600
0	2	12	14	8678218953600
0	3	0	0	1175462461440
0	3	0	2	-261149597216640
0	3	1	0	81629337600
0	3	2	2	10579162152960
0	3	2	4	-1208862125285760
0	3	3	2	2318273187840
0	3	4	4	39965723688960
0	3	4	6	-3443522382622080
0	3	5	4	15134079191040
0	3	6	6	80715089018880
0	3	6	8	-4690645198807680
0	3	7	6	25403049861120
0	3	8	8	71703210147840
0	3	8	10	-4638965665173120
0	3	9	8	27998862796800
0	3	10	10	-3526387384320
0	3	10	12	664365873225600
0	3	11	10	-4212073820160
0	3	12	14	-37605615465600
0	3	13	12	146932807680
0	4	0	0	-11264848588800
0	4	0	2	767122924129920
0	4	1	0	-892480757760
0	4	2	0	326517350400
0	4	2	2	-104452900392960
0	4	2	4	3569598214300800
0	4	3	2	-20244075724800
0	4	4	2	7705809469440
0	4	4	4	-407820170649600
0	4	4	6	10229825661356160
0	4	5	4	-134416309248000
0	4	6	4	31476272578560
0	4	6	6	-858283507261440
0	4	6	8	13985800319387520
0	4	7	6	-216894591959040
0	4	8	6	91163644231680
0	4	8	8	-798694090813440
0	4	8	10	13903183266802560
0	4	9	8	-299677624197120
0	4	10	8	4244725555200
0	4	10	10	40651410124800
0	4	10	12	-1993097619676800
0	4	11	10	49761244200960
0	4	12	10	-1175462461440
0	4	12	14	112816846396800
0	4	13	12	-1763193692160
0	5	0	0	52500361973760
0	5	0	2	-1623969074805120
0	5	1	0	4763525345280
0	5	2	0	-544195584000
0	5	2	2	491680710144000
0	5	2	4	-7625163425235840
0	5	3	0	145118822400
0	5	3	2	86483562209280
0	5	4	2	-41924827791360
0	5	4	4	1949722170531840
0	5	4	6	-22091435726348160
0	5	5	2	8315308523520
0	5	5	4	570893819351040
0	5	6	4	-190033097932800
0	5	6	6	4227986099036160
0	5	6	8	-30408233305034880
0	5	7	4	68612179230720
0	5	7	6	855170708520960
0	5	8	6	-759348750090240
0	5	8	8	4087833968332800
0	5	8	10	-30528386792221824
0	5	9	6	69047535697920
0	5	9	8	1492282246533120
0	5	10	8	-46430767226880
0	5	10	10	-214423944007680
0	5	10	12	4384814763288960
