x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	578547930240
0	0	1	1	-8678218953600
0	0	1	3	1257091799040
0	0	2	0	2672340439680
0	0	2	2	60747532675200
0	0	2	4	-11830811996160
0	0	3	1	-40085106595200
0	0	3	3	-248252161875840
0	0	3	5	56864810557440
0	0	4	0	7594589496960
0	0	4	2	280595746166400
0	0	4	4	650131757481600
0	0	4	6	-165378619330560
0	0	5	1	-113918842454400
0	0	5	3	-1153762322405760
0	0	5	5	-1079414321719680
0	0	5	7	309943370004480
0	0	6	0	10331213040000
0	0	6	2	797431897180800
0	0	6	4	3058838006981760
0	0	6	6	1015774049393280
0	0	6	8	-363323514839040
0	0	7	1	-154968195600000
0	0	7	3	-3337404243742080
0	0	7	5	-5225968354055040
0	0	7	7	-183638459698560
0	0	7	9	219413209743360
0	0	8	0	10198973513088
0	0	8	2	1084777369200000
0	0	8	4	9245811206367360
0	0	8	6	5200897943744640
0	0	8	8	-740862766224000
0	0	8	10	8056513290240
0	0	9	1	-152984602696320
0	0	9	3	-4590943125863040
0	0	9	5	-17698580133183360
0	0	9	7	-1412841595547520
0	0	9	9	670132985927040
0	0	9	11	-58786224076800
0	0	10	0	-1460144776320
0	0	10	2	1070892218874240
0	0	10	4	12891673329932160
0	0	10	6	23507476851807360
0	0	10	8	-3750230333520000
0	0	10	10	307429350168960
0	0	10	12	-55822776791040
0	0	11	1	21902171644800
0	0	11	3	-4646704126377600
0	0	11	5	-24871674504712320
0	0	11	7	-21032705938654080
0	0	11	9	5993618807779200
0	0	11	11	-859364075617920
0	0	11	13	62242269143040
0	0	12	0	82649704320
0	0	12	2	-153315201513600
0	0	12	4	13992420458666880
0	0	12	6	32637899887643520
0	0	12	8	11946381111722880
0	0	12	10	-4385494327524480
0	0	12	12	470414567088000
0	0	12	14	19897806090240
0	0	13	1	-1239745564800
0	0	13	3	664512806033280
0	0	13	5	-31000432925695104
0	0	13	7	-26337108862108800
0	0	13	9	-4697138812613760
0	0	13	11	1942901699253120
0	0	13	13	-57515010906240
0	0	13	15	7517437175808
0	0	14	2	8678218953600
0	0	14	4	-1994860813368960
0	0	14	6	52237487503290240
0	0	14	8	5999698152696960
0	0	14	10	3863974693265280
0	0	14	12	-926953167150720
0	0	14	14	41297302258560
0	0	15	3	-37605615465600
0	0	15	5	4394512328595840
0	0	15	7	-68204657347274880
0	0	15	9	15171390940890240
0	0	15	11	-5537227140524160
0	0	15	13	717665749211520
0	0	15	15	-38781077927040
0	0	16	4	112816846396800
0	0	16	6	-7340349823171200
0	0	16	8	69592290783004800
0	0	16	10	-23670223302913920
0	0	16	12	4977174377450880
0	0	16	14	-383081379523200
0	0	17	5	-248197062072960
0	0	17	7	9468763375420800
0	0	17	9	-55501452893093760
0	0	17	11	18734584993534080
0	0	17	13	-2563564245494400
0	0	17	15	81226292745600
0	0	18	6	413661770121600
0	0	18	8	-9512402419301760
0	0	18	10	34317881857494144
0	0	18	12	-9415132900617600
0	0	18	14	722220666249600
0	0	19	7	-531850847299200
0	0	19	9	7443790519777920
0	0	19	11	-16156446850177920
0	0	19	13	3040508139223680
0	0	19	15	-87526036874880
0	0	20	8	531850847299200
0	0	20	10	-4501185546971520
0	0	20	12	5605881494912640
0	0	20	14	-581165170876800
0	0	21	9	-413661770121600
0	0	21	11	2065829359478400
0	0	21	13	-1353297075235200
0	0	21	15	50352036531840
0	0	22	10	248197062072960
0	0	22	12	-696691090915200
0	0	22	14	203235622922880
0	0	23	11	-112816846396800
0	0	23	13	163012766820480
0	0	23	15	-14313092128128
0	0	24	12	37605615465600
0	0	24	14	-23665365336960
0	0	25	13	-8678218953600
0	0	25	15	1607077584000
0	0	26	14	1239745564800
0	0	27	15	-82649704320
0	1	1	3	-3893719403520
0	1	2	4	35851605073920
0	1	3	3	-42169715804160
0	1	3	5	-176760167639040
0	1	4	4	358222185123840
0	1	4	6	508975245803520
0	1	5	3	-188000527426560
0	1	5	5	-1675034007552000
0	1	5	7	-894453466752000
0	1	6	4	1639476268093440
0	1	6	6	4505841480314880
0	1	6	8	774629762088960
0	1	7	3	-356458991431680
0	1	7	5	-7792581455308800
0	1	7	7	-7598042417940480
0	1	7	9	213640302366720
0	1	8	4	3003894320209920
0	1	8	6	22250035066982400
0	1	8	8	7207348082319360
0	1	8	10	-1184866161131520
0	1	9	3	-341104513029120
0	1	9	5	-12493990502645760
0	1	9	7	-39967560349056000
0	1	9	9	-546590044569600
0	1	9	11	505228459207680
0	1	10	4	3719163227996160
0	1	10	6	32631425660805120
0	1	10	8	46799274708541440
0	1	10	10	-8023119030558720
0	1	10	12	1027941922529280
0	1	11	3	29533494343680
0	1	11	5	-18721737556162560
0	1	11	7	-55336364700364800
0	1	11	9	-35716720756469760
0	1	11	11	9580459859159040
0	1	11	13	-777421485434880
0	1	12	4	-338827054510080
0	1	12	6	57605301116559360
0	1	12	8	55988452500848640
0	1	12	10	17715982487592960
0	1	12	12	-3949847736053760
0	1	12	14	-335006801510400
0	1	13	3	-661197634560
0	1	13	5	1784352016465920
0	1	13	7	-120815280715668480
0	1	13	9	-18591114290135040
0	1	13	11	-8903026149350400
0	1	13	13	434921110732800
0	1	13	15	-145243080391680
0	1	14	4	7934371614720
0	1	14	6	-5705400922214400
0	1	14	8	182170821349048320
0	1	14	10	-33932074874388480
0	1	14	12	9948820408012800
0	1	14	14	-850740956467200
0	1	15	5	-43639043880960
0	1	15	7	12340151853004800
0	1	15	9	-202721137696788480
0	1	15	11	59817227603374080
0	1	15	13	-9628653820078080
0	1	15	15	598751191296000
0	1	16	6	145463479603200
0	1	16	8	-19026623132098560
0	1	16	10	167906584379473920
0	1	16	12	-47867770085990400
0	1	16	14	4786189277368320
0	1	17	7	-327292829107200
0	1	17	9	21451014458818560
0	1	17	11	-102805138747100160
0	1	17	13	22358471479050240
0	1	17	15	-943235158901760
0	1	18	8	523668526571520
0	1	18	10	-17824125034045440
0	1	18	12	45398711185735680
0	1	18	14	-5911988449812480
0	1	19	9	-610946614333440
0	1	19	11	10837029230438400
0	1	19	13	-13727197557504000
0	1	19	15	690290330480640
0	1	20	10	523668526571520
0	1	20	12	-4703319173836800
0	1	20	14	2551341272555520
0	1	21	11	-327292829107200
0	1	21	13	1383519317114880
0	1	21	15	-220325745116160
0	1	22	12	145463479603200
0	1	22	14	-247728713748480
0	1	23	13	-43639043880960
0	1	23	15	20423660267520
0	1	24	14	7934371614720
0	1	25	15	-661197634560
0	2	1	3	3893719403520
0	2	2	4	-32912948920320
0	2	3	3	42169715804160
0	2	3	5	173821511485440
0	2	4	4	-288869899898880
0	2	4	6	-466658597191680
0	2	5	3	188000527426560
0	2	5	5	1409967222497280
0	2	5	7	590596420469760
0	2	6	4	-1356189814886400
0	2	6	6	-3034162478592000
0	2	6	8	641802503946240
0	2	7	3	356458991431680
0	2	7	5	7008547993528320
0	2	7	7	3200049618462720
0	2	7	9	-3630709677772800
0	2	8	4	-2183421522124800
0	2	8	6	-18848246703575040
0	2	8	8	3719750959226880
0	2	8	10	5125016331878400
0	2	9	3	341104513029120
0	2	9	5	6591993483755520
0	2	9	7	25529354935188480
0	2	9	9	-22705232905175040
0	2	9	11	304665176724480
0	2	10	4	-3680960697999360
0	2	10	6	-10958248796774400
0	2	10	8	-15268669642874880
0	2	10	10	41794155547729920
0	2	10	12	-7398360732303360
0	2	11	3	-29533494343680
0	2	11	5	18342650912348160
0	2	11	7	-1693547541319680
0	2	11	9	-821354394931200
0	2	11	11	-36532638637516800
0	2	11	13	4093988820387840
0	2	12	4	328247892357120
0	2	12	6	-55980811994849280
0	2	12	8	61875168507740160
0	2	12	10	-2122297474129920
0	2	12	12	11741988392939520
0	2	12	14	2507261430251520
0	2	13	3	661197634560
0	2	13	5	-1673270813859840
0	2	13	7	116938017786608640
0	2	13	9	-169069116753838080
0	2	13	11	31514222057610240
0	2	13	13	-2223387245813760
0	2	13	15	1247239137991680
0	2	14	4	-7934371614720
0	2	14	6	5176442814566400
0	2	14	8	-176750763939348480
0	2	14	10	255857036669337600
0	2	14	12	-59009097161134080
0	2	14	14	6852652284579840
0	2	15	5	43639043880960
0	2	15	7	-10832621246208000
0	2	15	9	198845637961420800
0	2	15	11	-249828383570227200
0	2	15	13	52640000746629120
0	2	15	15	-3976442574243840
0	2	16	6	-145463479603200
0	2	16	8	16170249350799360
0	2	16	10	-168153431496376320
0	2	16	12	162630521121300480
0	2	16	14	-23913314449920000
0	2	17	7	327292829107200
0	2	17	9	-17674253570211840
0	2	17	11	106193997023431680
0	2	17	13	-68994944636682240
0	2	17	15	4459043381068800
0	2	18	8	-523668526571520
0	2	18	10	14269526550650880
0	2	18	12	-48821070142218240
0	2	18	14	17408011322695680
0	2	19	9	610946614333440
0	2	19	11	-8456717746022400
0	2	19	13	15480399818741760
0	2	19	15	-1991527275294720
0	2	20	10	-523668526571520
0	2	20	12	3592507147776000
0	2	20	14	-3030929956823040
0	2	21	11	327292829107200
0	2	21	13	-1039696547143680
0	2	21	15	276160212034560
0	2	22	12	-145463479603200
0	2	22	14	184253740830720
0	2	23	13	43639043880960
0	2	23	15	-15134079191040
0	2	24	14	-7934371614720
0	2	25	15	661197634560
0	3	2	4	-5877312307200
0	3	3	5	5877312307200
0	3	4	4	-138704570449920
0	3	4	6	-115195321221120
0	3	5	5	530133570109440
0	3	5	7	734076307169280
0	3	6	4	-566572906414080
0	3	6	6	-3314804141260800
0	3	6	8	-3538142008934400
0	3	7	5	1568066923560960
0	3	7	7	8008425749790720
0	3	7	9	8294063127920640
0	3	8	4	-1640945596170240
0	3	8	6	-9342575643525120
0	3	8	8	-19583204607590400
0	3	8	10	-7837983692881920
0	3	9	5	11803994037780480
0	3	9	7	36903643976908800
0	3	9	9	48516037633474560
0	3	9	11	-9917376787169280
0	3	10	4	-76405059993600
0	3	10	6	-43351055577907200
0	3	10	8	-64363622538608640
0	3	10	10	-77853229746094080
0	3	10	12	27608086831841280
0	3	11	5	758173287628800
0	3	11	7	113178227637288960
0	3	11	9	41409191591608320
0	3	11	11	62833170413813760
0	3	11	13	-11398459488583680
0	3	12	4	21158324305920
0	3	12	6	-3312453216337920
0	3	12	8	-229365639175864320
0	3	12	10	43614359169269760
0	3	12	12	-15636001662074880
0	3	12	14	-10995275864309760
0	3	13	5	-222162405212160
0	3	13	7	8341669357608960
0	3	13	9	355610307534520320
0	3	13	11	-144104644997775360
0	3	13	13	10817781032632320
0	3	13	15	-6224661464555520
0	3	14	6	1057916215296000
0	3	14	8	-13252163790274560
0	3	14	10	-409220799475875840
0	3	14	12	188306735397765120
0	3	14	14	-28817637704663040
0	3	15	7	-3015061213593600
0	3	15	9	13527222006251520
0	3	15	11	342177122525184000
0	3	15	13	-142308538356695040
0	3	15	15	14638034032312320
0	3	16	8	5712747562598400
0	3	16	10	-8392801974681600
0	3	16	12	-203124615186677760
0	3	16	14	59539524596858880
0	3	17	9	-7553521777213440
0	3	17	11	2330942061035520
0	3	17	13	81762817892843520
0	3	17	15	-10655567212953600
0	3	18	10	7109196966789120
0	3	18	12	624170567024640
0	3	18	14	-20114513640161280
0	3	19	11	-4760622968832000
0	3	19	13	-776980687011840
0	3	19	15	2285099025039360
0	3	20	12	2221624052121600
0	3	20	14	260952666439680
0	3	21	13	-687645539942400
0	3	21	15	-32325217689600
0	3	22	14	126949945835520
0	3	23	15	-10579162152960
0	4	2	4	2938656153600
0	4	3	5	-2938656153600
0	4	4	4	69352285224960
0	4	4	6	134002720604160
0	4	5	5	-265066785054720
0	4	5	7	-682943690096640
0	4	6	4	283286453207040
0	4	6	6	2586017415168000
0	4	6	8	3548721171087360
0	4	7	5	-784033461780480
0	4	7	7	-2035313251983360
0	4	7	9	-7253778849546240
0	4	8	4	820472798085120
0	4	8	6	11018785113538560
0	4	8	8	6274618619166720
0	4	8	10	1347079980810240
0	4	9	5	-5901997018890240
0	4	9	7	-38519904861388800
0	4	9	9	-35093431786291200
0	4	9	11	33289096907980800
0	4	10	4	38202529996800
0	4	10	6	21687282413568000
0	4	10	8	35430789512724480
0	4	10	10	72347363576709120
0	4	10	12	-60345304114176000
0	4	11	5	-379086643814400
0	4	11	7	-54385121703444480
0	4	11	9	56706660064788480
0	4	11	11	-61075854033960960
0	4	11	13	16383008056320000
0	4	12	4	-10579162152960
0	4	12	6	1814914040463360
0	4	12	8	98715337511731200
0	4	12	10	-197891456308346880
0	4	12	12	14353572116643840
0	4	12	14	31314319972761600
0	4	13	5	111081202606080
0	4	13	7	-5638693427527680
0	4	13	9	-127831542681600000
0	4	13	11	291011592503623680
0	4	13	13	-33438968371814400
0	4	13	15	19730137415270400
0	4	14	6	-528958107648000
0	4	14	8	12656204322324480
0	4	14	10	115181215671582720
0	4	14	12	-280464167837122560
0	4	14	14	67918221022003200
0	4	15	7	1507530606796800
0	4	15	9	-21204167341916160
0	4	15	11	-70445465314099200
0	4	15	13	181172853719285760
0	4	15	15	-31640510805811200
0	4	16	8	-2856373781299200
0	4	16	10	26412641508556800
0	4	16	12	28260468497940480
0	4	16	14	-70083422875975680
0	4	17	9	3776760888606720
0	4	17	11	-23937117564764160
0	4	17	13	-6964615084032000
0	4	17	15	12119017977446400
0	4	18	10	-3554598483394560
0	4	18	12	15239283081338880
0	4	18	14	895702395617280
0	4	19	11	2380311484416000
0	4	19	13	-6435069245153280
0	4	19	15	-31737486458880
0	4	20	12	-1110812026060800
0	4	20	14	1615085422018560
0	4	21	13	343822769971200
0	4	21	15	-182196681523200
0	4	22	14	-63474972917760
0	4	23	15	5289581076480
