x	y	r	h	numerator	denominator
0	3	0	0	5	128
0	3	0	1	-15	128
0	3	0	2	15	128
0	3	1	0	25	9216
0	3	1	1	-25	2048
0	3	1	2	25	2048
0	4	0	0	-575	1536
0	4	0	1	575	512
0	4	0	2	-575	512
0	4	1	0	-205	6912
0	4	1	1	205	1536
0	4	1	2	-205	1536
0	4	2	0	25	2304
0	4	2	1	-25	384
0	4	2	2	125	768
0	4	2	3	-25	128
0	4	2	4	25	256
0	5	0	0	72355	41472
0	5	0	1	-72355	13824
0	5	0	2	72355	13824
0	5	1	0	6565	41472
0	5	1	1	-6565	9216
0	5	1	2	6565	9216
0	5	2	0	-125	6912
0	5	2	1	125	1152
0	5	2	2	-625	2304
0	5	2	3	125	384
0	5	2	4	-125	768
0	5	3	0	25	5184
0	5	3	1	-125	3456
0	5	3	2	175	1728
0	5	3	3	-25	192
0	5	3	4	25	384
0	6	0	0	-69845	13824
0	6	0	1	69845	4608
0	6	0	2	-69845	4608
0	6	1	0	-32345	62208
0	6	1	1	32345	13824
0	6	1	2	-32345	13824
0	6	2	0	245	6912
0	6	2	1	-245	1152
0	6	2	2	1225	2304
0	6	2	3	-245	384
0	6	2	4	245	768
0	6	4	0	10	243
0	6	4	1	-10	27
0	6	4	2	10075	6912
0	6	4	3	-1225	384
0	6	4	4	3175	768
0	6	4	5	-195	64
0	6	4	6	65	64
0	7	0	0	136615	13824
0	7	0	1	-136615	4608
0	7	0	2	136615	4608
0	7	1	0	849455	746496
0	7	1	1	-849455	165888
0	7	1	2	849455	165888
0	7	2	0	-25625	62208
0	7	2	1	25625	10368
0	7	2	2	-128125	20736
0	7	2	3	25625	3456
0	7	2	4	-25625	6912
0	7	3	0	-1295	10368
0	7	3	1	6475	6912
0	7	3	2	-9065	3456
0	7	3	3	1295	384
0	7	3	4	-1295	768
0	7	4	0	-2275	11664
0	7	4	1	2275	1296
0	7	4	2	-142465	20736
0	7	4	3	17155	1152
0	7	4	4	-44005	2304
0	7	4	5	895	64
0	7	4	6	-895	192
0	7	5	0	355	31104
0	7	5	1	-2485	20736
0	7	5	2	11005	20736
0	7	5	3	-8875	6912
0	7	5	4	12425	6912
0	7	5	5	-355	256
0	7	5	6	355	768
0	8	0	0	-280225	20736
0	8	0	1	280225	6912
0	8	0	2	-280225	6912
0	8	1	0	-160735	93312
0	8	1	1	160735	20736
0	8	1	2	-160735	20736
0	8	2	0	18325	10368
0	8	2	1	-18325	1728
0	8	2	2	91625	3456
0	8	2	3	-18325	576
0	8	2	4	18325	1152
0	8	3	0	1115	1944
0	8	3	1	-5575	1296
0	8	3	2	7805	648
0	8	3	3	-1115	72
0	8	3	4	1115	144
0	8	4	0	4025	5832
0	8	4	1	-4025	648
0	8	4	2	63395	2592
0	8	4	3	-7715	144
