x	y	r	h	numerator	denominator
0	0	2	4	10	729
0	0	3	2	40	729
0	0	3	4	-50	243
0	0	4	0	25	972
0	0	4	2	-370	729
0	0	4	4	350	243
0	0	4	6	10	243
0	0	5	0	-325	1944
0	0	5	2	1790	729
0	0	5	3	10	729
0	0	5	4	-1430	243
0	0	5	6	-50	81
0	0	5	7	10	729
0	0	6	0	385	648
0	0	6	2	-5090	729
0	0	6	3	-70	729
0	0	6	4	11300	729
0	0	6	5	80	729
0	0	6	6	350	81
0	0	6	7	-50	243
0	0	6	8	10	81
0	0	7	0	-4105	3456
0	0	7	2	1030	81
0	0	7	3	530	729
0	0	7	4	-18860	729
0	0	7	5	-520	729
0	0	7	6	-12670	729
0	0	7	7	350	243
0	0	7	8	-50	27
0	0	7	9	100	729
0	0	8	0	9305	7776
0	0	8	2	-3350	243
0	0	8	3	-1510	729
0	0	8	4	18320	729
0	0	8	5	2600	729
0	0	8	6	31870	729
0	0	8	7	-1210	243
0	0	8	8	350	27
0	0	8	9	-500	243
0	0	8	10	166	729
0	0	9	0	1405	6912
0	0	9	2	1390	243
0	0	9	3	2650	729
0	0	9	4	-700	81
0	0	9	5	-760	81
0	0	9	6	-47530	729
0	0	9	7	5960	729
0	0	9	8	-39070	729
0	0	9	9	3500	243
0	0	9	10	-830	243
0	0	9	11	20	81
0	0	10	0	-15835	10368
0	0	10	2	1210	243
0	0	10	3	-1210	243
0	0	10	4	-20	3
0	0	10	5	3040	243
0	0	10	6	8830	243
0	0	10	7	1840	729
0	0	10	8	104120	729
0	0	10	9	-43540	729
0	0	10	10	5810	243
0	0	10	11	-100	27
0	0	10	12	110	729
0	0	11	0	15275	31104
0	0	11	2	-1210	243
0	0	11	3	4130	729
0	0	11	4	-2680	729
0	0	11	5	-890	81
0	0	11	6	41030	729
0	0	11	7	-33160	729
0	0	11	8	-182200	729
0	0	11	9	115580	729
0	0	11	10	-24850	243
0	0	11	11	700	27
0	0	11	12	-550	243
0	0	11	13	10	243
0	0	12	0	9095	10368
0	0	12	2	-2680	729
0	0	12	3	-4310	729
0	0	12	4	820	27
0	0	12	5	410	27
0	0	12	6	-98480	729
0	0	12	7	25160	243
0	0	12	8	64240	243
0	0	12	9	-197260	729
0	0	12	10	215480	729
0	0	12	11	-81740	729
0	0	12	12	3850	243
0	0	12	13	-50	81
0	0	13	0	1955159	3981312
0	0	13	2	2860	729
0	0	13	3	1400	243
0	0	13	4	-2620	81
0	0	13	5	-7270	243
0	0	13	6	26660	243
0	0	13	7	-23360	243
0	0	13	8	-20110	243
0	0	13	9	63500	243
0	0	13	10	-440648	729
0	0	13	11	27100	81
0	0	13	12	-50030	729
0	0	13	13	350	81
0	0	13	15	2	729
