z0	z1	z2	z3	z4	numerator	denominator
0	0	0	3	12	385	9216
0	0	0	4	11	1495	13824
0	0	0	5	10	835	2592
0	0	0	6	9	30115	31104
0	0	0	7	8	156995	93312
0	0	0	8	7	120655	46656
0	0	0	9	6	38795	11664
0	0	0	10	5	3565	1458
0	0	0	11	4	3605	1458
0	0	0	12	3	3625	1458
0	0	0	15	0	728	729
0	0	1	2	12	-25	6144
0	0	1	3	11	985	13824
0	0	1	4	10	6265	20736
0	0	1	5	9	2705	2592
0	0	1	6	8	231455	93312
0	0	1	7	7	78025	23328
0	0	1	8	6	3965	1296
0	0	1	9	5	15025	5832
0	0	1	10	4	7415	11664
0	0	1	11	3	-40	243
0	0	1	14	0	-5	243
0	0	2	1	12	-25	6144
0	0	2	2	11	55	2304
0	0	2	3	10	5645	20736
0	0	2	4	9	26155	20736
0	0	2	5	8	194395	62208
0	0	2	6	7	269155	46656
0	0	2	7	6	9785	1296
0	0	2	8	5	6925	1296
0	0	2	9	4	13825	2916
0	0	2	10	3	2765	972
0	0	2	13	0	-35	243
0	0	3	0	12	385	9216
0	0	3	1	11	985	13824
0	0	3	2	10	5645	20736
0	0	3	3	9	42185	31104
0	0	3	4	8	355375	93312
0	0	3	5	7	23165	2916
0	0	3	6	6	88795	7776
0	0	3	7	5	20005	1944
0	0	3	8	4	21575	1944
0	0	3	9	3	8735	729
0	0	3	12	0	6835	729
0	0	4	0	11	1495	13824
0	0	4	1	10	6265	20736
0	0	4	2	9	26155	20736
0	0	4	3	8	355375	93312
0	0	4	4	7	299275	46656
0	0	4	5	6	25565	2592
0	0	4	6	5	5335	486
0	0	4	7	4	17045	3888
0	0	4	8	3	260	81
0	0	4	11	0	-455	243
0	0	5	0	10	835	2592
0	0	5	1	9	2705	2592
0	0	5	2	8	194395	62208
0	0	5	3	7	23165	2916
0	0	5	4	6	25565	2592
0	0	5	5	5	5215	648
0	0	5	6	4	2995	243
0	0	5	7	3	1075	162
0	0	5	10	0	-1001	243
0	0	6	0	9	30115	31104
0	0	6	1	8	231455	93312
0	0	6	2	7	269155	46656
0	0	6	3	6	88795	7776
0	0	6	4	5	5335	486
0	0	6	5	4	2995	243
0	0	6	6	3	4210	243
0	0	6	9	0	24155	729
0	0	7	0	8	156995	93312
0	0	7	1	7	78025	23328
0	0	7	2	6	9785	1296
0	0	7	3	5	20005	1944
0	0	7	4	4	17045	3888
0	0	7	5	3	1075	162
0	0	7	8	0	-715	81
0	0	8	0	7	120655	46656
0	0	8	1	6	3965	1296
0	0	8	2	5	6925	1296
0	0	8	3	4	21575	1944
0	0	8	4	3	260	81
0	0	8	7	0	-715	81
0	0	9	0	6	38795	11664
0	0	9	1	5	15025	5832
0	0	9	2	4	13825	2916
0	0	9	3	3	8735	729
0	0	9	6	0	24155	729
0	0	10	0	5	3565	1458
0	0	10	1	4	7415	11664
0	0	10	2	3	2765	972
0	0	10	5	0	-1001	243
0	0	11	0	4	3605	1458
0	0	11	1	3	-40	243
0	0	11	4	0	-455	243
0	0	12	0	3	3625	1458
0	0	12	3	0	6835	729
0	0	13	2	0	-35	243
0	0	14	1	0	-5	243
0	0	15	0	0	728	729
0	1	0	2	12	-25	6144
0	1	0	3	11	985	13824
0	1	0	4	10	6265	20736
0	1	0	5	9	2705	2592
0	1	0	6	8	231455	93312
0	1	0	7	7	78025	23328
0	1	0	8	6	3965	1296
0	1	0	9	5	15025	5832
0	1	0	10	4	7415	11664
0	1	0	11	3	-40	243
0	1	0	14	0	-5	243
0	1	1	1	12	-155	1536
0	1	1	2	11	-1265	4608
0	1	1	3	10	-5695	10368
0	1	1	4	9	-5755	5184
0	1	1	5	8	-7595	7776
0	1	1	6	7	-575	23328
0	1	1	7	6	875	648
0	1	1	8	5	425	324
0	1	1	9	4	15205	5832
0	1	1	10	3	-440	243
0	1	1	13	0	-70	243
0	1	2	0	12	-25	6144
0	1	2	1	11	-1265	4608
0	1	2	2	10	-3185	3456
0	1	2	3	9	-385	162
0	1	2	4	8	-250315	62208
0	1	2	5	7	-8345	1944
0	1	2	6	6	-13265	2592
0	1	2	7	5	-365	162
0	1	2	8	4	-5855	1296
0	1	2	9	3	1675	486
0	1	2	12	0	-455	243
0	1	3	0	11	985	13824
0	1	3	1	10	-5695	10368
0	1	3	2	9	-385	162
0	1	3	3	8	-218725	46656
0	1	3	4	7	-79805	11664
0	1	3	5	6	-10025	1296
0	1	3	6	5	-17915	1944
0	1	3	7	4	-10865	1944
0	1	3	8	3	-755	162
0	1	3	11	0	-1820	243
0	1	4	0	10	6265	20736
0	1	4	1	9	-5755	5184
0	1	4	2	8	-250315	62208
0	1	4	3	7	-79805	11664
0	1	4	4	6	-7975	1296
0	1	4	5	5	-335	81
0	1	4	6	4	1945	1944
0	1	4	7	3	-1160	81
0	1	4	10	0	8360	243
0	1	5	0	9	2705	2592
0	1	5	1	8	-7595	7776
0	1	5	2	7	-8345	1944
0	1	5	3	6	-10025	1296
0	1	5	4	5	-335	81
0	1	5	5	4	-4795	324
0	1	5	6	3	320	81
0	1	5	9	0	-10010	243
0	1	6	0	8	231455	93312
0	1	6	1	7	-575	23328
0	1	6	2	6	-13265	2592
0	1	6	3	5	-17915	1944
0	1	6	4	4	1945	1944
0	1	6	5	3	320	81
0	1	6	8	0	-5005	81
0	1	7	0	7	78025	23328
0	1	7	1	6	875	648
0	1	7	2	5	-365	162
0	1	7	3	4	-10865	1944
0	1	7	4	3	-1160	81
0	1	7	7	0	10480	81
0	1	8	0	6	3965	1296
0	1	8	1	5	425	324
0	1	8	2	4	-5855	1296
0	1	8	3	3	-755	162
0	1	8	6	0	-5005	81
0	1	9	0	5	15025	5832
0	1	9	1	4	15205	5832
0	1	9	2	3	1675	486
0	1	9	5	0	-10010	243
0	1	10	0	4	7415	11664
0	1	10	1	3	-440	243
0	1	10	4	0	8360	243
0	1	11	0	3	-40	243
0	1	11	3	0	-1820	243
0	1	12	2	0	-455	243
0	1	13	1	0	-70	243
0	1	14	0	0	-5	243
0	2	0	1	12	-25	6144
0	2	0	2	11	55	2304
0	2	0	3	10	5645	20736
0	2	0	4	9	26155	20736
0	2	0	5	8	194395	62208
0	2	0	6	7	269155	46656
0	2	0	7	6	9785	1296
0	2	0	8	5	6925	1296
0	2	0	9	4	13825	2916
0	2	0	10	3	2765	972
0	2	0	13	0	-35	243
0	2	1	0	12	-25	6144
0	2	1	1	11	-1265	4608
0	2	1	2	10	-3185	3456
0	2	1	3	9	-385	162
0	2	1	4	8	-250315	62208
0	2	1	5	7	-8345	1944
0	2	1	6	6	-13265	2592
0	2	1	7	5	-365	162
0	2	1	8	4	-5855	1296
0	2	1	9	3	1675	486
0	2	1	12	0	-455	243
0	2	2	0	11	55	2304
0	2	2	1	10	-3185	3456
