z0	z1	z2	z3	z4	numerator	denominator
0	0	0	0	15	16333	16384
0	0	0	3	12	11495	1152
0	0	0	4	11	137975	6912
0	0	0	5	10	207005	5184
0	0	0	6	9	2484415	31104
0	0	0	7	8	611465	5832
0	0	0	8	7	611495	5832
0	0	0	9	6	232955	2916
0	0	0	10	5	29120	729
0	0	0	11	4	14560	729
0	0	0	12	3	7280	729
0	0	0	15	0	728	729
0	0	1	2	12	-25	384
0	0	1	3	11	-265	1728
0	0	1	4	10	-1775	5184
0	0	1	5	9	-3905	5184
0	0	1	6	8	-6265	5832
0	0	1	7	7	-865	729
0	0	1	8	6	-325	324
0	0	1	9	5	-400	729
0	0	1	10	4	-220	729
0	0	1	11	3	-40	243
0	0	1	14	0	-5	243
0	0	2	1	12	-25	384
0	0	2	2	11	-265	1152
0	0	2	3	10	-1775	2592
0	0	2	4	9	-19525	10368
0	0	2	5	8	-6265	1944
0	0	2	6	7	-6055	1458
0	0	2	7	6	-325	81
0	0	2	8	5	-200	81
0	0	2	9	4	-1100	729
0	0	2	10	3	-220	243
0	0	2	13	0	-35	243
0	0	3	0	12	11495	1152
0	0	3	1	11	-265	1728
0	0	3	2	10	-1775	2592
0	0	3	3	9	447035	7776
0	0	3	4	8	376915	5832
0	0	3	5	7	66845	729
0	0	3	6	6	36605	243
0	0	3	7	5	22700	243
0	0	3	8	4	15910	243
0	0	3	9	3	41540	729
0	0	3	12	0	6835	729
0	0	4	0	11	137975	6912
0	0	4	1	10	-1775	5184
0	0	4	2	9	-19525	10368
0	0	4	3	8	376915	5832
0	0	4	4	7	144685	2916
0	0	4	5	6	4205	162
0	0	4	6	5	9350	243
0	0	4	7	4	2660	243
0	0	4	8	3	-550	81
0	0	4	11	0	-455	243
0	0	5	0	10	207005	5184
0	0	5	1	9	-3905	5184
0	0	5	2	8	-6265	1944
0	0	5	3	7	66845	729
0	0	5	4	6	4205	162
0	0	5	5	5	500	81
0	0	5	6	4	6640	243
0	0	5	7	3	-880	81
0	0	5	10	0	-1001	243
0	0	6	0	9	2484415	31104
0	0	6	1	8	-6265	5832
0	0	6	2	7	-6055	1458
0	0	6	3	6	36605	243
0	0	6	4	5	9350	243
0	0	6	5	4	6640	243
0	0	6	6	3	26080	243
0	0	6	9	0	24155	729
0	0	7	0	8	611465	5832
0	0	7	1	7	-865	729
0	0	7	2	6	-325	81
0	0	7	3	5	22700	243
0	0	7	4	4	2660	243
0	0	7	5	3	-880	81
0	0	7	8	0	-715	81
0	0	8	0	7	611495	5832
0	0	8	1	6	-325	324
0	0	8	2	5	-200	81
0	0	8	3	4	15910	243
0	0	8	4	3	-550	81
0	0	8	7	0	-715	81
0	0	9	0	6	232955	2916
0	0	9	1	5	-400	729
0	0	9	2	4	-1100	729
0	0	9	3	3	41540	729
0	0	9	6	0	24155	729
0	0	10	0	5	29120	729
0	0	10	1	4	-220	729
0	0	10	2	3	-220	243
0	0	10	5	0	-1001	243
0	0	11	0	4	14560	729
0	0	11	1	3	-40	243
0	0	11	4	0	-455	243
0	0	12	0	3	7280	729
0	0	12	3	0	6835	729
0	0	13	2	0	-35	243
0	0	14	1	0	-5	243
0	0	15	0	0	728	729
0	1	0	2	12	-25	384
0	1	0	3	11	-265	1728
0	1	0	4	10	-1775	5184
0	1	0	5	9	-3905	5184
0	1	0	6	8	-6265	5832
0	1	0	7	7	-865	729
0	1	0	8	6	-325	324
0	1	0	9	5	-400	729
0	1	0	10	4	-220	729
0	1	0	11	3	-40	243
0	1	0	14	0	-5	243
0	1	1	1	12	-25	192
0	1	1	2	11	-265	576
0	1	1	3	10	-1775	1296
0	1	1	4	9	-19525	5184
0	1	1	5	8	-6265	972
0	1	1	6	7	-6055	729
0	1	1	7	6	-650	81
0	1	1	8	5	-400	81
0	1	1	9	4	-2200	729
0	1	1	10	3	-440	243
0	1	1	13	0	-70	243
0	1	2	0	12	-25	384
0	1	2	1	11	-265	576
0	1	2	2	10	-1775	864
0	1	2	3	9	-19525	2592
0	1	2	4	8	-31325	1944
0	1	2	5	7	-6055	243
0	1	2	6	6	-2275	81
0	1	2	7	5	-1600	81
0	1	2	8	4	-1100	81
0	1	2	9	3	-2200	243
0	1	2	12	0	-455	243
0	1	3	0	11	-265	1728
0	1	3	1	10	-1775	1296
0	1	3	2	9	-19525	2592
0	1	3	3	8	-31325	1458
0	1	3	4	7	-15695	729
0	1	3	5	6	-2930	81
0	1	3	6	5	-6340	243
0	1	3	7	4	-3940	243
0	1	3	8	3	-2200	81
0	1	3	11	0	-1820	243
0	1	4	0	10	-1775	5184
0	1	4	1	9	-19525	5184
0	1	4	2	8	-31325	1944
0	1	4	3	7	-15695	729
0	1	4	4	6	4825	162
0	1	4	5	5	880	81
0	1	4	6	4	10115	243
0	1	4	7	3	8560	81
0	1	4	10	0	8360	243
0	1	5	0	9	-3905	5184
0	1	5	1	8	-6265	972
0	1	5	2	7	-6055	243
0	1	5	3	6	-2930	81
0	1	5	4	5	880	81
0	1	5	5	4	-2920	81
0	1	5	6	3	-6160	81
0	1	5	9	0	-10010	243
