x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	2	0	1238347284480
0	0	2	1	1238347284480
0	0	2	2	-464380231680
0	0	2	3	309586821120
0	0	2	4	773967052800
0	0	3	0	-8049257349120
0	0	3	1	-21051903836160
0	0	3	2	-8745827696640
0	0	3	3	1934917632000
0	0	3	4	-7352687001600
0	0	3	5	-5030785843200
0	0	4	0	29720334827520
0	0	4	1	118262165667840
0	0	4	2	137301755166720
0	0	4	3	36453848186880
0	0	4	4	17723845509120
0	0	4	5	44657898946560
0	0	4	6	17878638919680
0	0	5	0	-63155711508480
0	0	5	1	-407725843415040
0	0	5	2	-738519361781760
0	0	5	3	-524827058503680
0	0	5	4	-172594652774400
0	0	5	5	-134418727895040
0	0	5	6	-156467114311680
0	0	5	7	-35742765957120
0	0	6	0	71824142499840
0	0	6	1	834646069739520
0	0	6	2	2449450928701440
0	0	6	3	2678390382919680
0	0	6	4	1482301699522560
0	0	6	5	624204428083200
0	0	6	6	442718828789760
0	0	6	7	337875316899840
0	0	6	8	36008817131520
0	0	7	0	-13931406950400
0	0	7	1	-901981203333120
0	0	7	2	-4887756731842560
0	0	7	3	-8524279627776000
0	0	7	4	-6480580926504960
0	0	7	5	-3300127791022080
0	0	7	6	-1400019327221760
0	0	7	7	-853438957240320
0	0	7	8	-449446295531520
0	0	7	9	6116758364160
0	0	8	0	-42722981314560
0	0	8	1	108664974213120
0	0	8	2	5057410309816320
0	0	8	3	16663820233605120
0	0	8	4	19046787392471040
0	0	8	5	11237150242897920
0	0	8	6	5416908331253760
0	0	8	7	1845156803051520
0	0	8	8	1013188175585280
0	0	8	9	301901570150400
0	0	8	10	-45959131054080
0	0	9	0	-2476694568960
0	0	9	1	574593139998720
0	0	9	2	-238381852262400
0	0	9	3	-16685336517672960
0	0	9	4	-36480627446906880
0	0	9	5	-28453544253849600
0	0	9	6	-14279556679925760
0	0	9	7	-5854475441848320
0	0	9	8	-1305498600898560
0	0	9	9	-696550998343680
0	0	9	10	-13014739722240
0	0	9	11	14777933414400
0	0	10	0	53868106874880
0	0	10	1	77396705280000
0	0	10	2	-3440747929927680
0	0	10	3	-408654603878400
0	0	10	4	36020658827427840
0	0	10	5	53265883111096320
0	0	10	6	28550909309091840
