x	y	r	h	coefficient_scaled_64_times_6_pow_15
3	0	0	0	129996744535572480
3	1	0	0	-779980467213434880
3	2	0	0	1949951168033587200
3	3	0	0	-2339941401640304640
3	4	0	0	1169970700820152320
4	0	0	0	-953309459927531520
4	1	0	0	5719856759565189120
4	2	0	0	-14299641898912972800
4	3	0	0	17159570278695567360
4	4	0	0	-8579785139347783680
5	0	0	0	3235474530663137280
5	0	2	0	115552661809397760
5	1	0	0	-19412847183978823680
5	1	2	0	-1039973956284579840
5	2	0	0	48532117959947059200
5	2	2	0	4159895825138319360
5	3	0	0	-58238541551936471040
5	3	2	0	-9359765606561218560
5	4	0	0	29119270775968235520
5	4	2	0	12479687475414958080
5	5	2	0	-9359765606561218560
5	6	2	0	3119921868853739520
6	0	0	0	-6567242946167439360
6	0	2	0	-616280862983454720
6	0	3	0	38517553936465920
6	0	4	0	77035107872931840
6	0	5	0	38517553936465920
6	1	0	0	39403457677004636160
6	1	2	0	5546527766851092480
6	1	3	0	-404434316332892160
6	1	4	0	-924421294475182080
6	1	5	0	-519986978142289920
6	2	0	0	-98508644192511590400
6	2	2	0	-22186111067404369920
6	2	3	0	1791066258045665280
6	2	4	0	5084317119613501440
6	2	5	0	3119921868853739520
6	3	0	0	118210373031013908480
6	3	2	0	49918749901659832320
6	3	3	0	-4333224817852416000
6	3	4	0	-16639583300553277440
6	3	5	0	-10919726540988088320
6	4	0	0	-59105186515506954240
6	4	2	0	-66558333202213109760
6	4	3	0	6066514744993382400
6	4	4	0	35359114513675714560
6	4	5	0	24439387972687626240
6	5	2	0	49918749901659832320
6	5	3	0	-4679882803280609280
6	5	4	0	-49918749901659832320
6	5	5	0	-35879101491818004480
6	6	2	0	-16639583300553277440
6	6	3	0	1559960934426869760
6	6	4	0	45758854076521512960
6	6	5	0	33799153579248844800
6	7	4	0	-24959374950829916160
6	7	5	0	-18719531213122437120
6	8	4	0	6239843737707479040
6	8	5	0	4679882803280609280
7	0	0	0	8643981062575226880
7	0	2	0	1373792757067284480
7	0	3	0	-179748585036840960
7	0	4	0	-385175539364659200
7	0	5	0	-231105323618795520
7	1	0	0	-51863886375451361280
7	1	2	0	-12364134813605560320
7	1	3	0	1887360142886830080
7	1	4	0	4622106472375910400
7	1	5	0	3119921868853739520
7	2	0	0	129659715938628403200
7	2	2	0	49456539254422241280
7	2	3	0	-8358309204213104640
7	2	4	0	-25421585598067507200
7	2	5	0	-18719531213122437120
7	3	0	0	-155591659126354083840
7	3	2	0	-111277213322450042880
