x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	4	0	0	82263564901416960
0	6	2	0	82263564901416960
0	8	4	0	82263564901416960
0	10	6	0	44483261020766208
0	12	8	0	-1015599566684160
1	4	0	0	-1233953473521254400
1	6	2	0	-1233953473521254400
1	8	4	0	-1233953473521254400
1	10	6	0	-667248915311493120
1	12	8	0	15233993500262400
2	4	0	0	8637674314648780800
2	6	2	0	8637674314648780800
2	8	4	0	8637674314648780800
2	10	6	0	4670742407180451840
2	12	8	0	-106637954501836800
3	2	0	0	73123168801259520
3	4	0	0	-37283675692542197760
3	4	2	0	109684753201889280
3	4	3	0	-6093597400104960
3	6	2	0	-37332424471743037440
3	6	4	0	134059142802309120
3	6	5	0	-20311991333683200
3	8	4	0	-37375756719921561600
3	8	6	0	78539699823575040
3	8	7	0	-12187194800209920
3	10	6	0	-20230856212744765440
3	10	8	0	-1354132755578880
3	10	9	0	1128443962982400
3	12	8	0	462097802841292800
3	12	11	0	-75229597532160
4	2	0	0	-755606077613015040
4	2	2	0	3046798700052480
4	4	0	0	110697305969873387520
4	4	2	0	-1121221921619312640
4	4	3	0	64998372267786240
4	4	4	0	15233993500262400
4	6	2	0	111179377230859468800
4	6	4	0	-1424547658868981760
4	6	5	0	200411647825674240
4	6	6	0	18619325389209600
4	8	4	0	111663254002186321920
4	8	6	0	-877478025615114240
4	8	7	0	124580213513256960
4	8	8	0	677066377789440
4	10	6	0	60611922509679820800
4	10	8	0	15948674676817920
4	10	9	0	-12939490775531520
4	12	8	0	-1386293408523878400
4	12	11	0	902755170385920
5	2	0	0	3696782422730342400
5	2	2	0	-13202794366894080
5	4	0	0	-239021019485928161280
5	4	2	0	5370490508625838080
5	4	3	0	-329054259605667840
5	4	4	0	-95804892457205760
5	4	5	0	-4739464644526080
5	6	2	0	-241229158632692121600
5	6	4	0	7013504918728212480
5	6	5	0	-929837825497497600
5	6	6	0	-149744513887764480
5	6	7	0	-10155995666841600
5	8	4	0	-243713540861594173440
5	8	6	0	4505951973786255360
5	8	7	0	-588596371091619840
5	8	8	0	-5943138205040640
5	10	6	0	-132994034637489045504
5	10	8	0	-86062659576791040
5	10	9	0	68258321494179840
5	10	11	0	50153065021440
5	12	8	0	3049845498752532480
5	12	11	0	-4965153437122560
6	0	0	0	8124796533473280
6	2	0	0	-11160762171481128960
6	2	2	0	34868918456156160
6	2	3	0	-2708265511157760
6	2	4	0	2708265511157760
6	4	0	0	387091148221419356160
6	4	2	0	-15846964260954439680
6	4	3	0	1027335383899176960
6	4	4	0	289897254090178560
6	4	5	0	19409236163297280
6	4	6	0	7447730155683840
6	6	2	0	393291872568410112000
6	6	4	0	-21123869150250270720
6	6	5	0	2680581019265925120
6	6	6	0	567268780191252480
6	6	7	0	68759852144394240
6	6	8	0	2557806316093440
6	8	4	0	401034703358680104960
6	8	6	0	-14058907186810060800
6	8	7	0	1703599312648273920
6	8	8	0	22794568052244480
6	8	9	0	902755170385920
6	10	6	0	220685761056999997440
6	10	8	0	281358694770278400
6	10	9	0	-219168894143692800
6	10	11	0	-501530650214400
6	12	8	0	-5083075831254220800
6	12	11	0	16550511457075200
7	0	0	0	-59581841245470720
7	2	0	0	22895676631327703040
7	2	2	0	-110474663975976960
7	2	3	0	19860613748490240
7	2	4	0	-13541327555788800
7	2	5	0	-451377585192960
7	4	0	0	-477952929513579479040
7	4	2	0	31883356648494858240
7	4	3	0	-2172856465521377280
7	4	4	0	-625195570291015680
7	4	5	0	-8952322106327040
7	4	6	0	-42429493008138240
7	4	7	0	-3987168669204480
7	6	2	0	-489846026740503674880
7	6	4	0	43259977611828264960
7	6	5	0	-5330117291283578880
7	6	6	0	-1375510499544268800
7	6	7	0	-193816519775354880
7	6	8	0	-17603725822525440
7	6	9	0	-250765325107200
7	8	4	0	-506130927565225328640
7	8	6	0	29671990987881185280
7	8	7	0	-3371439489936261120
7	8	8	0	-49325539448586240
7	8	9	0	-8108078845132800
7	8	11	0	12538266255360
7	10	6	0	-281880449643962695680
7	10	8	0	-620644179640320000
7	10	9	0	477331796341555200
7	10	11	0	2256887925964800
7	12	8	0	6535383211612569600
7	12	11	0	-37238650778419200
8	0	0	0	202217158166446080
8	0	2	0	1805510340771840
8	2	0	0	-33338748442352025600
8	2	2	0	319951478304276480
8	2	3	0	-67405719388815360
8	2	4	0	34003778084536320
8	2	5	0	-300918390128640
8	2	6	0	827525572853760
8	4	0	0	452753822911947079680
8	4	2	0	-45802587549220208640
8	4	3	0	3249116164348968960
8	4	4	0	1158811643852881920
8	4	5	0	-102111640383651840
8	4	6	0	104117762984509440
8	4	7	0	21565817959219200
8	4	8	0	1140982229237760
8	6	2	0	469158689868200017920
8	6	4	0	-63302396221021224960
8	6	5	0	7662184661715517440
8	6	6	0	2428570226377359360
8	6	7	0	279051653779292160
8	6	8	0	52761024402554880
8	6	9	0	1370850443919360
8	8	4	0	493461661504029327360
8	8	6	0	-44605199839521669120
8	8	7	0	4814293017538068480
8	8	8	0	63744545642250240
8	8	9	0	32365444627169280
8	8	11	0	-100306130042880
8	10	6	0	279298569856658964480
8	10	8	0	973170073676021760
8	10	9	0	-743268423617740800
8	10	11	0	-6018367802572800
8	12	8	0	-6535383211612569600
8	12	11	0	59581841245470720
9	0	0	0	-410452684135464960
9	0	2	0	-9629388484116480
9	0	3	0	-300918390128640
9	0	4	0	300918390128640
9	0	5	0	-75229597532160
9	2	0	0	35095710616183111680
9	2	2	0	-638975124905656320
9	2	3	0	137620010418831360
9	2	4	0	-60685208675942400
9	2	5	0	8225102663516160
9	2	6	0	-3335178823925760
9	2	7	0	-275841857617920
9	4	0	0	-328287816286588108800
9	4	2	0	47909751858407669760
9	4	3	0	-3501118598393364480
9	4	4	0	-1826365656976588800
9	4	5	0	308959598220410880
9	4	6	0	-144741745651875840
9	4	7	0	-49785275877949440
9	4	8	0	-5880446873763840
9	4	9	0	-133741506723840
9	6	2	0	-344944117275481866240
9	6	4	0	67678173128262942720
9	6	5	0	-8117841975123640320
9	6	6	0	-3289291555712532480
9	6	7	0	-171529054936104960
9	6	8	0	-90386968294195200
9	6	9	0	-2663685008916480
9	6	11	0	-5572562780160
9	8	4	0	-371277284983379066880
9	8	6	0	48943105610109419520
9	8	7	0	-5091940385496760320
9	8	8	0	-44586074804060160
9	8	9	0	-75363339038883840
9	8	11	0	351071455150080
9	10	6	0	-214575312227047833600
9	10	8	0	-1112194369915453440
9	10	9	0	848890778552893440
9	10	11	0	10532143654502400
9	12	8	0	5083075831254220800
9	12	11	0	-69512148119715840
10	0	0	0	540248816410951680
10	0	2	0	21465511829176320
10	0	3	0	1404285820600320
10	0	4	0	-1504591950643200
10	0	5	0	451377585192960
10	2	0	0	-26747298283467571200
10	2	2	0	854733610627891200
10	2	3	0	-183827700991918080
10	2	4	0	81281400711413760
10	2	5	0	-22167654739476480
10	2	6	0	4973512281292800
10	2	7	0	1019778988769280
10	2	8	0	50153065021440
10	4	0	0	180239219933679452160
10	4	2	0	-36580486533580062720
10	4	3	0	2728817122690990080
10	4	4	0	2221226310453166080
10	4	5	0	-464116463708405760
10	4	6	0	125321364363018240
10	4	7	0	65410741913518080
10	4	8	0	12503437737984000
10	4	9	0	657562408058880
10	6	2	0	192740172308663500800
10	6	4	0	-53107013680449454080
10	6	5	0	6350581705274818560
10	6	6	0	3421985420633702400
10	6	7	0	-81615754478223360
10	6	8	0	97865347545169920
10	6	9	0	1237108937195520
10	6	11	0	33435376680960
10	8	4	0	213566934701726760960
10	8	6	0	-39467118634205184000
10	8	7	0	4021072141158973440
10	8	8	0	3861786006650880
10	8	9	0	112810960921559040
10	8	11	0	-702142910300160
10	10	6	0	126711460488383299584
10	10	8	0	933448846179041280
10	10	9	0	-716787605286420480
10	10	11	0	-12638572385402880
10	12	8	0	-3049845498752532480
10	12	11	0	59581841245470720
11	0	0	0	-469700171614126080
11	0	2	0	-24608437237186560
11	0	3	0	-2842007017881600
11	0	4	0	3443843798138880
11	0	5	0	-1262185469706240
11	0	6	0	25076532510720
11	0	7	0	-8358844170240
11	2	0	0	14552558233253314560
11	2	2	0	-771897464900812800
11	2	3	0	164145409252392960
11	2	4	0	-73546683572551680
11	2	5	0	27138380739379200
11	2	6	0	-2020054007808000
11	2	7	0	-1641119738757120
11	2	8	0	-122596381163520
11	2	9	0	-8358844170240
11	4	0	0	-73359151510451650560
11	4	2	0	20135762750802493440
11	4	3	0	-1522534674034851840
11	4	4	0	-1939717156487823360
11	4	5	0	435947158854696960
11	4	6	0	-67104800998686720
11	4	7	0	-56778842167050240
11	4	8	0	-13940230174801920
11	4	9	0	-1352275234652160
11	4	11	0	-1857520926720
11	6	2	0	-80207853457519411200
11	6	4	0	30260838124297912320
11	6	5	0	-3622204815043461120
11	6	6	0	-2658672488695726080
11	6	7	0	250380818275368960
11	6	8	0	-70180855653335040
11	6	9	0	3343537668096000
11	6	11	0	-83588441702400
11	8	4	0	-92111382521968066560
11	8	6	0	23194622334232166400
11	8	7	0	-2352830739350814720
11	8	8	0	23722399755141120
11	8	9	0	-112576913284792320
11	8	11	0	877678637875200
11	10	6	0	-56449619337420472320
11	10	8	0	-570992645269094400
11	10	9	0	444230773427404800
11	10	11	0	10532143654502400
11	12	8	0	1386293408523878400
11	12	11	0	-37238650778419200
12	0	0	0	264005734272860160
12	0	2	0	14243470466088960
12	0	3	0	3165215659130880
12	0	4	0	-4302018466283520
12	0	5	0	1816655466332160
12	0	6	0	-22290251120640
12	0	7	0	22290251120640
12	2	0	0	-5473218845957160960
12	2	2	0	462799945751592960
12	2	3	0	-96442486515302400
12	2	4	0	37726250021683200
12	2	5	0	-16461350452592640
12	2	6	0	-2993394973409280
12	2	7	0	1393140695040000
12	2	8	0	111451255603200
12	2	9	0	22290251120640
12	4	0	0	21354326663445872640
12	4	2	0	-7753522680724193280
12	4	3	0	591434663067648000
12	4	4	0	1158071886143815680
