x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	1175462461440
0	0	0	1	-3526387384320
0	0	0	2	3526387384320
0	1	0	0	-8913923665920
0	1	0	1	26741770997760
0	1	0	2	-26741770997760
0	2	0	0	33497052180480
0	2	0	1	-100491156541440
0	2	0	2	100491156541440
0	3	0	0	-76129334231040
0	3	0	1	228388002693120
0	3	0	2	-228388002693120
0	4	0	0	111625398190080
0	4	0	1	-334876194570240
0	4	0	2	334876194570240
0	5	0	0	-107279089459200
0	5	0	1	321837268377600
0	5	0	2	-321837268377600
0	6	0	0	65794455429120
0	6	0	1	-197383366287360
0	6	0	2	197383366287360
0	7	0	0	-23547947581440
0	7	0	1	70643842744320
0	7	0	2	-70643842744320
0	8	0	0	4148785889280
0	8	0	1	-12446357667840
0	8	0	2	12446357667840
0	9	0	0	-376099614720
0	9	0	1	1128298844160
0	9	0	2	-1128298844160
0	10	0	0	5240401920
0	10	0	1	-15721205760
0	10	0	2	15721205760
1	0	0	0	-6465043537920
1	0	0	1	19395130613760
1	0	0	2	-19395130613760
1	1	0	0	52634596884480
1	1	0	1	-157903790653440
1	1	0	2	157903790653440
1	2	0	0	-210400524656640
1	2	0	1	631201573969920
1	2	0	2	-631201573969920
1	3	0	0	510818254848000
1	3	0	1	-1532454764544000
1	3	0	2	1532454764544000
1	4	0	0	-799977183068160
1	4	0	1	2399931549204480
1	4	0	2	-2399931549204480
1	5	0	0	819137704919040
1	5	0	1	-2457413114757120
1	5	0	2	2457413114757120
1	6	0	0	-533858286551040
1	6	0	1	1601574859653120
1	6	0	2	-1601574859653120
1	7	0	0	202508479365120
1	7	0	1	-607525438095360
1	7	0	2	607525438095360
1	8	0	0	-37323754905600
1	8	0	1	111971264716800
1	8	0	2	-111971264716800
1	9	0	0	3390943150080
1	9	0	1	-10172829450240
1	9	0	2	10172829450240
1	10	0	0	-52404019200
1	10	0	1	157212057600
1	10	0	2	-157212057600
2	0	0	0	21158324305920
2	0	0	1	-63474972917760
2	0	0	2	63474972917760
2	1	0	0	-169364549652480
2	1	0	1	508093648957440
2	1	0	2	-508093648957440
2	2	0	0	679740192092160
2	2	0	1	-2039220576276480
2	2	0	2	2039220576276480
2	3	0	0	-1677617122590720
2	3	0	1	5032851367772160
2	3	0	2	-5032851367772160
2	4	0	0	2698131380060160
2	4	0	1	-8094394140180480
2	4	0	2	8094394140180480
2	5	0	0	-2860096079093760
2	5	0	1	8580288237281280
2	5	0	2	-8580288237281280
2	6	0	0	1942872562114560
2	6	0	1	-5828617686343680
2	6	0	2	5828617686343680
2	7	0	0	-772482003517440
2	7	0	1	2317446010552320
2	7	0	2	-2317446010552320
2	8	0	0	148435593707520
2	8	0	1	-445306781122560
2	8	0	2	445306781122560
2	9	0	0	-13594005688320
2	9	0	1	40782017064960
2	9	0	2	-40782017064960
2	10	0	0	235818086400
2	10	0	1	-707454259200
2	10	0	2	707454259200
3	0	0	0	-34480232202240
3	0	0	1	103440696606720
3	0	0	2	-103440696606720
3	1	0	0	299873534607360
3	1	0	1	-899620603822080
