x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	578547930240
0	1	0	0	-7521123093120
0	2	0	0	45126738558720
0	3	0	0	-163374997006080
0	3	0	2	293865615360
0	4	0	0	395246191559040
0	4	0	2	-2228480916480
0	5	0	0	-670101694680960
0	5	0	2	8374263045120
0	6	0	0	812221734873600
0	6	0	2	-19032333557760
0	7	0	0	-704679012887040
0	7	0	2	27906349547520
0	8	0	0	430950712659840
0	8	0	2	-26819772364800
0	9	0	0	-179701204648320
0	9	0	2	16448613857280
0	10	0	0	48402191312640
0	10	0	2	-5886986895360
0	11	0	0	-7821526613760
0	11	0	2	1037196472320
0	12	0	0	695701146240
0	12	0	2	-94024903680
0	13	0	0	-22259111040
0	13	0	2	1310100480
1	0	0	0	-3820252999680
1	1	0	0	51628515298560
1	2	0	0	-321562449607680
1	3	0	0	1208257047820800
1	3	0	2	-1616260884480
1	4	0	0	-3031210217548800
1	4	0	2	13158649221120
1	5	0	0	5322183153672960
1	5	0	2	-52600131164160
1	6	0	0	-6671530087004160
1	6	0	2	127704563712000
1	7	0	0	5979028206136320
1	7	0	2	-199994295767040
1	8	0	0	-3773539855411200
1	8	0	2	204784426229760
1	9	0	0	1622335240938240
1	9	0	2	-133464571637760
1	10	0	0	-449655206169600
1	10	0	2	50627119841280
1	11	0	0	74366291704320
1	11	0	2	-9330938726400
1	12	0	0	-6702977940480
1	12	0	2	847735787520
1	13	0	0	222591110400
1	13	0	2	-13101004800
2	0	0	0	16392191356800
2	1	0	0	-214696381921920
2	2	0	0	1305810228453120
2	3	0	0	-4827001905434880
2	3	0	2	5289581076480
2	4	0	0	11996058685852800
2	4	0	2	-42341137413120
2	5	0	0	-20994918357790080
2	5	0	2	169935048023040
2	6	0	0	26379468101583360
2	6	0	2	-419404280647680
2	7	0	0	-23817571551014400
2	7	0	2	674532845015040
2	8	0	0	15216583058501760
2	8	0	2	-715024019773440
2	9	0	0	-6651511814655360
2	9	0	2	485718140528640
2	10	0	0	1880709327302400
2	10	0	2	-193120500879360
2	11	0	0	-317340172120320
2	11	0	2	37108898426880
2	12	0	0	29020249883520
2	12	0	2	-3398501422080
2	13	0	0	-1001659996800
2	13	0	2	58954521600
3	0	0	0	-41802383784960
3	1	0	0	549161368704000
3	2	0	0	-3330011686855680
3	3	0	0	12222964775946240
3	3	0	2	-8620058050560
3	4	0	0	-30091741057658880
3	4	0	2	74968383651840
3	5	0	0	52133830829061120
3	5	0	2	-320161145978880
3	6	0	0	-64906159535400960
3	6	0	2	822635068538880
3	7	0	0	58227554905804800
3	7	0	2	-1359669038653440
3	8	0	0	-37133365561113600
3	8	0	2	1477135469445120
3	9	0	0	16304361817512960
3	9	0	2	-1033175874723840
3	10	0	0	-4663243704038400
3	10	0	2	426886365265920
3	11	0	0	800118069258240
3	11	0	2	-85420969943040
3	12	0	0	-74338930759680
3	12	0	2	7952511467520
3	13	0	0	2671093324800
3	13	0	2	-157212057600
4	0	0	0	87994385199360
4	1	0	0	-1084566153288960
4	2	0	0	6260329403619840
4	3	0	0	-22144198549317120
4	3	0	2	5877312307200
4	4	0	0	52981452864587520
4	4	0	2	-65123885537280
4	5	0	0	-89656284366247680
4	5	0	2	335306109081600
