x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	578547930240
0	1	0	2	-7521123093120
0	2	0	2	45126738558720
0	3	0	0	293865615360
0	3	0	2	-163374997006080
0	4	0	0	-2228480916480
0	4	0	2	395246191559040
0	5	0	0	8374263045120
0	5	0	2	-670101694680960
0	6	0	0	-19032333557760
0	6	0	2	812221734873600
0	7	0	0	27906349547520
0	7	0	2	-704679012887040
0	8	0	0	-26819772364800
0	8	0	2	430950712659840
0	9	0	0	16448613857280
0	9	0	2	-179701204648320
0	10	0	0	-5886986895360
0	10	0	2	48402191312640
0	11	0	0	1037196472320
0	11	0	2	-7821526613760
0	12	0	0	-94024903680
0	12	0	2	695701146240
0	13	0	0	1310100480
0	13	0	2	-22259111040
1	0	0	2	-3820252999680
1	1	0	2	51628515298560
1	2	0	2	-321562449607680
1	3	0	0	-1616260884480
1	3	0	2	1208257047820800
1	4	0	0	13158649221120
1	4	0	2	-3031210217548800
1	5	0	0	-52600131164160
1	5	0	2	5322183153672960
1	6	0	0	127704563712000
1	6	0	2	-6671530087004160
1	7	0	0	-199994295767040
1	7	0	2	5979028206136320
1	8	0	0	204784426229760
1	8	0	2	-3773539855411200
1	9	0	0	-133464571637760
1	9	0	2	1622335240938240
1	10	0	0	50627119841280
1	10	0	2	-449655206169600
1	11	0	0	-9330938726400
1	11	0	2	74366291704320
1	12	0	0	847735787520
1	12	0	2	-6702977940480
1	13	0	0	-13101004800
1	13	0	2	222591110400
2	0	0	2	16392191356800
2	1	0	2	-214696381921920
2	2	0	2	1305810228453120
2	3	0	0	5289581076480
2	3	0	2	-4827001905434880
2	4	0	0	-42341137413120
2	4	0	2	11996058685852800
2	5	0	0	169935048023040
2	5	0	2	-20994918357790080
2	6	0	0	-419404280647680
2	6	0	2	26379468101583360
2	7	0	0	674532845015040
2	7	0	2	-23817571551014400
2	8	0	0	-715024019773440
2	8	0	2	15216583058501760
2	9	0	0	485718140528640
2	9	0	2	-6651511814655360
2	10	0	0	-193120500879360
2	10	0	2	1880709327302400
2	11	0	0	37108898426880
2	11	0	2	-317340172120320
2	12	0	0	-3398501422080
2	12	0	2	29020249883520
2	13	0	0	58954521600
2	13	0	2	-1001659996800
3	0	0	2	-41802383784960
3	1	0	2	549161368704000
3	2	0	2	-3330011686855680
3	3	0	0	-8620058050560
3	3	0	2	12222964775946240
3	4	0	0	74968383651840
3	4	0	2	-30091741057658880
3	5	0	0	-320161145978880
3	5	0	2	52133830829061120
3	6	0	0	822635068538880
3	6	0	2	-64906159535400960
3	7	0	0	-1359669038653440
3	7	0	2	58227554905804800
3	8	0	0	1477135469445120
3	8	0	2	-37133365561113600
3	9	0	0	-1033175874723840
3	9	0	2	16304361817512960
3	10	0	0	426886365265920
3	10	0	2	-4663243704038400
3	11	0	0	-85420969943040
3	11	0	2	800118069258240
3	12	0	0	7952511467520
3	12	0	2	-74338930759680
3	13	0	0	-157212057600
3	13	0	2	2671093324800
4	0	0	2	87994385199360
4	1	0	2	-1084566153288960
4	2	0	2	6260329403619840
4	3	0	0	5877312307200
4	3	0	2	-22144198549317120
4	4	0	0	-65123885537280
4	4	0	2	52981452864587520
4	5	0	0	335306109081600
4	5	0	2	-89656284366247680
4	6	0	0	-963545445089280
4	6	0	2	109359498082913280
4	7	0	0	1701883408343040
4	7	0	2	-96386053735572480
4	8	0	0	-1927123541913600
4	8	0	2	60644851962842880
4	9	0	0	1392808131072000
4	9	0	2	-26452980232968960
4	10	0	0	-597241350881280
4	10	0	2	7589421906393600
4	11	0	0	124885227479040
4	11	0	2	-1319549579712000
4	12	0	0	-11974116833280
4	12	0	2	124758424869120
4	13	0	0	275121100800
4	13	0	2	-4674413318400
5	0	0	2	-192849310080000
5	1	0	2	2070760791836160
5	2	0	2	-10501361231293440
5	3	0	0	2644790538240
