x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	877478025615114240
0	0	2	0	3948651115268014080
0	0	3	0	877478025615114240
0	0	3	1	438739012807557120
0	0	4	0	14478387422649384960
0	0	4	1	877478025615114240
0	0	5	0	13162170384226713600
0	0	5	1	4387390128075571200
0	0	6	0	27201818794068541440
0	0	6	1	6142346179305799680
0	0	7	0	28956774845298769920
0	0	7	1	9652258281766256640
0	0	8	0	14478387422649384960
0	0	8	1	9652258281766256640
0	0	9	0	2632434076845342720
0	0	9	1	3948651115268014080
0	0	11	1	438739012807557120
0	1	0	0	-2632434076845342720
0	1	2	0	-11845953345804042240
0	1	3	0	-2632434076845342720
0	1	3	1	-1974325557634007040
0	1	4	0	-43435162267948154880
0	1	4	1	-3948651115268014080
0	1	5	0	-39486511152680140800
0	1	5	1	-19743255576340070400
0	1	6	0	-81605456382205624320
0	1	6	1	-27640557806876098560
0	1	7	0	-86870324535896309760
0	1	7	1	-43435162267948154880
0	1	8	0	-43435162267948154880
0	1	8	1	-43435162267948154880
0	1	9	0	-7897302230536028160
0	1	9	1	-17768930018706063360
0	1	11	1	-1974325557634007040
0	2	0	0	2632434076845342720
0	2	2	0	11845953345804042240
0	2	3	0	2632434076845342720
0	2	3	1	1974325557634007040
0	2	4	0	43435162267948154880
0	2	4	1	3948651115268014080
0	2	5	0	39486511152680140800
0	2	5	1	19743255576340070400
0	2	6	0	81605456382205624320
0	2	6	1	27640557806876098560
0	2	7	0	86870324535896309760
0	2	7	1	43435162267948154880
0	2	8	0	43435162267948154880
0	2	8	1	43435162267948154880
0	2	9	0	7897302230536028160
0	2	9	1	17768930018706063360
0	2	11	1	1974325557634007040
1	0	0	0	-7897302230536028160
1	0	1	0	4387390128075571200
1	0	2	0	-29834252870913884160
1	0	2	2	146246337602519040
1	0	3	0	7897302230536028160
1	0	3	1	-3509912102460456960
1	0	4	0	-93305163390407147520
1	0	4	1	-3509912102460456960
1	0	4	2	2047448726435266560
1	0	5	0	-42411437904730521600
1	0	5	1	-23984399366813122560
1	0	5	2	438739012807557120
1	0	6	0	-130159240466241945600
1	0	6	1	-20474487264352665600
1	0	6	2	5703607166498242560
1	0	7	0	-106759826449838899200
1	0	7	1	-41533959879115407360
1	0	7	2	7458563217728471040
1	0	8	0	-30419238221323960320
1	0	8	1	-37439062426244874240
1	0	8	2	-3802404777665495040
1	0	9	0	1169970700820152320
1	0	9	1	-12869677709021675520
1	0	9	2	-6434838854510837760
1	0	10	0	877478025615114240
1	0	10	1	2924926752050380800
1	0	10	2	-5557360828895723520
1	0	11	1	-1754956051230228480
1	0	11	2	584985350410076160
1	0	12	2	-584985350410076160
1	1	0	0	23691906691608084480
1	1	1	0	-13162170384226713600
1	1	2	0	89502758612741652480
1	1	2	2	-877478025615114240
1	1	3	0	-23691906691608084480
1	1	3	1	15794604461072056320
1	1	4	0	279915490171221442560
1	1	4	1	15794604461072056320
1	1	4	2	-12284692358611599360
1	1	5	0	127234313714191564800
1	1	5	1	107929797150659051520
1	1	5	2	-2632434076845342720
1	1	6	0	390477721398725836800
1	1	6	1	92135192689586995200
1	1	6	2	-34221642998989455360
1	1	7	0	320279479349516697600
1	1	7	1	186902819456019333120
1	1	7	2	-44751379306370826240
1	1	8	0	91257714663971880960
1	1	8	1	168475780918101934080
1	1	8	2	22814428665992970240
1	1	9	0	-3509912102460456960
1	1	9	1	57913549690597539840
1	1	9	2	38609033127065026560
1	1	10	0	-2632434076845342720
1	1	10	1	-13162170384226713600
1	1	10	2	33344164973374341120
1	1	11	1	7897302230536028160
1	1	11	2	-3509912102460456960
1	1	12	2	3509912102460456960
1	2	0	0	-23691906691608084480
1	2	1	0	13162170384226713600
1	2	2	0	-89502758612741652480
1	2	2	2	2193695064037785600
1	2	3	0	23691906691608084480
1	2	3	1	-15794604461072056320
1	2	4	0	-279915490171221442560
1	2	4	1	-15794604461072056320
1	2	4	2	30711730896528998400
1	2	5	0	-127234313714191564800
1	2	5	1	-107929797150659051520
1	2	5	2	6581085192113356800
1	2	6	0	-390477721398725836800
1	2	6	1	-92135192689586995200
1	2	6	2	85554107497473638400
1	2	7	0	-320279479349516697600
1	2	7	1	-186902819456019333120
1	2	7	2	111878448265927065600
1	2	8	0	-91257714663971880960
1	2	8	1	-168475780918101934080
1	2	8	2	-57036071664982425600
1	2	9	0	3509912102460456960
1	2	9	1	-57913549690597539840
1	2	9	2	-96522582817662566400
1	2	10	0	2632434076845342720
1	2	10	1	13162170384226713600
1	2	10	2	-83360412433435852800
1	2	11	1	-7897302230536028160
1	2	11	2	8774780256151142400
1	2	12	2	-8774780256151142400
1	3	2	2	-2632434076845342720
1	3	4	2	-36854077075834798080
1	3	5	2	-7897302230536028160
1	3	6	2	-102664928996968366080
1	3	7	2	-134254137919112478720
1	3	8	2	68443285997978910720
1	3	9	2	115827099381195079680
1	3	10	2	100032494920123023360
1	3	11	2	-10529736307381370880
1	3	12	2	10529736307381370880
1	4	2	2	1316217038422671360
1	4	4	2	18427038537917399040
1	4	5	2	3948651115268014080
1	4	6	2	51332464498484183040
1	4	7	2	67127068959556239360
1	4	8	2	-34221642998989455360
1	4	9	2	-57913549690597539840
1	4	10	2	-50016247460061511680
1	4	11	2	5264868153690685440
1	4	12	2	-5264868153690685440
2	0	0	0	33831652765382737920
2	0	1	0	-38706530685466705920
2	0	2	0	118069543224433704960
2	0	2	2	-438739012807557120
2	0	3	0	-83750402667042570240
2	0	3	1	13552160617833431040
2	0	3	2	-584985350410076160
2	0	4	0	304582372446846320640
2	0	4	1	974975584016793600
2	0	4	2	-6532336412912517120
2	0	5	0	-10042248515372974080
2	0	5	1	67273315297158758400
2	0	5	2	-2193695064037785600
2	0	5	3	1364965817623511040
2	0	6	0	311114708859758837760
2	0	6	1	12479687475414958080
2	0	6	2	-23643157912407244800
2	0	6	3	2339941401640304640
2	0	7	0	151023717964201328640
2	0	7	1	92037695131185315840
2	0	7	2	-31442962584541593600
2	0	7	3	2339941401640304640
2	0	8	0	3412414544058777600
2	0	8	1	60643481325844561920
2	0	8	2	27299316352470220800
2	0	8	3	-5849853504100761600
2	0	9	0	-7604809555330990080
2	0	9	1	17842053187507322880
2	0	9	2	18134545862712360960
2	0	9	3	-6044848620904120320
2	0	10	0	-97497558401679360
2	0	10	1	-8774780256151142400
2	0	10	2	21741955523574497280
2	0	10	3	389990233606717440
2	0	11	1	4582385244878929920
2	0	11	2	-4484887686477250560
2	0	11	3	6239843737707479040
2	0	12	2	2144946284836945920
2	0	12	3	-1559960934426869760
2	0	13	3	779980467213434880
2	1	0	0	-101494958296148213760
2	1	1	0	116119592056400117760
2	1	2	0	-354208629673301114880
2	1	2	2	2632434076845342720
2	1	3	0	251251208001127710720
