x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	877478025615114240
0	0	2	4	3948651115268014080
0	0	3	4	438739012807557120
0	0	3	5	877478025615114240
0	0	4	5	877478025615114240
0	0	4	6	14478387422649384960
0	0	5	6	4387390128075571200
0	0	5	7	13162170384226713600
0	0	6	7	6142346179305799680
0	0	6	8	27201818794068541440
0	0	7	8	9652258281766256640
0	0	7	9	28956774845298769920
0	0	8	9	9652258281766256640
0	0	8	10	14478387422649384960
0	0	9	10	3948651115268014080
0	0	9	11	2632434076845342720
0	0	11	12	438739012807557120
0	1	0	2	-2632434076845342720
0	1	2	4	-11845953345804042240
0	1	3	4	-1974325557634007040
0	1	3	5	-2632434076845342720
0	1	4	5	-3948651115268014080
0	1	4	6	-43435162267948154880
0	1	5	6	-19743255576340070400
0	1	5	7	-39486511152680140800
0	1	6	7	-27640557806876098560
0	1	6	8	-81605456382205624320
0	1	7	8	-43435162267948154880
0	1	7	9	-86870324535896309760
0	1	8	9	-43435162267948154880
0	1	8	10	-43435162267948154880
0	1	9	10	-17768930018706063360
0	1	9	11	-7897302230536028160
0	1	11	12	-1974325557634007040
0	2	0	2	2632434076845342720
0	2	2	4	11845953345804042240
0	2	3	4	1974325557634007040
0	2	3	5	2632434076845342720
0	2	4	5	3948651115268014080
0	2	4	6	43435162267948154880
0	2	5	6	19743255576340070400
0	2	5	7	39486511152680140800
0	2	6	7	27640557806876098560
0	2	6	8	81605456382205624320
0	2	7	8	43435162267948154880
0	2	7	9	86870324535896309760
0	2	8	9	43435162267948154880
0	2	8	10	43435162267948154880
0	2	9	10	17768930018706063360
0	2	9	11	7897302230536028160
0	2	11	12	1974325557634007040
1	0	0	2	-7897302230536028160
1	0	1	3	4387390128075571200
1	0	2	2	146246337602519040
1	0	2	4	-29834252870913884160
1	0	3	4	-3509912102460456960
1	0	3	5	7897302230536028160
1	0	4	4	2047448726435266560
1	0	4	5	-3509912102460456960
1	0	4	6	-93305163390407147520
1	0	5	5	438739012807557120
1	0	5	6	-23984399366813122560
1	0	5	7	-42411437904730521600
1	0	6	6	5703607166498242560
1	0	6	7	-20474487264352665600
1	0	6	8	-130159240466241945600
1	0	7	7	7458563217728471040
1	0	7	8	-41533959879115407360
1	0	7	9	-106759826449838899200
1	0	8	8	-3802404777665495040
1	0	8	9	-37439062426244874240
1	0	8	10	-30419238221323960320
1	0	9	9	-6434838854510837760
1	0	9	10	-12869677709021675520
1	0	9	11	1169970700820152320
1	0	10	10	-5557360828895723520
1	0	10	11	2924926752050380800
1	0	10	12	877478025615114240
1	0	11	11	584985350410076160
1	0	11	12	-1754956051230228480
1	0	12	12	-584985350410076160
1	1	0	2	23691906691608084480
1	1	1	3	-13162170384226713600
1	1	2	2	-877478025615114240
1	1	2	4	89502758612741652480
1	1	3	4	15794604461072056320
1	1	3	5	-23691906691608084480
1	1	4	4	-12284692358611599360
1	1	4	5	15794604461072056320
1	1	4	6	279915490171221442560
1	1	5	5	-2632434076845342720
1	1	5	6	107929797150659051520
1	1	5	7	127234313714191564800
1	1	6	6	-34221642998989455360
1	1	6	7	92135192689586995200
1	1	6	8	390477721398725836800
1	1	7	7	-44751379306370826240
1	1	7	8	186902819456019333120
1	1	7	9	320279479349516697600
1	1	8	8	22814428665992970240
1	1	8	9	168475780918101934080
1	1	8	10	91257714663971880960
1	1	9	9	38609033127065026560
1	1	9	10	57913549690597539840
1	1	9	11	-3509912102460456960
1	1	10	10	33344164973374341120
1	1	10	11	-13162170384226713600
1	1	10	12	-2632434076845342720
1	1	11	11	-3509912102460456960
1	1	11	12	7897302230536028160
1	1	12	12	3509912102460456960
1	2	0	2	-23691906691608084480
1	2	1	3	13162170384226713600
1	2	2	2	2193695064037785600
1	2	2	4	-89502758612741652480
1	2	3	4	-15794604461072056320
1	2	3	5	23691906691608084480
1	2	4	4	30711730896528998400
1	2	4	5	-15794604461072056320
1	2	4	6	-279915490171221442560
1	2	5	5	6581085192113356800
1	2	5	6	-107929797150659051520
1	2	5	7	-127234313714191564800
1	2	6	6	85554107497473638400
1	2	6	7	-92135192689586995200
1	2	6	8	-390477721398725836800
1	2	7	7	111878448265927065600
1	2	7	8	-186902819456019333120
1	2	7	9	-320279479349516697600
1	2	8	8	-57036071664982425600
1	2	8	9	-168475780918101934080
1	2	8	10	-91257714663971880960
1	2	9	9	-96522582817662566400
1	2	9	10	-57913549690597539840
1	2	9	11	3509912102460456960
1	2	10	10	-83360412433435852800
1	2	10	11	13162170384226713600
1	2	10	12	2632434076845342720
1	2	11	11	8774780256151142400
1	2	11	12	-7897302230536028160
1	2	12	12	-8774780256151142400
1	3	2	2	-2632434076845342720
1	3	4	4	-36854077075834798080
1	3	5	5	-7897302230536028160
1	3	6	6	-102664928996968366080
1	3	7	7	-134254137919112478720
1	3	8	8	68443285997978910720
1	3	9	9	115827099381195079680
1	3	10	10	100032494920123023360
1	3	11	11	-10529736307381370880
1	3	12	12	10529736307381370880
1	4	2	2	1316217038422671360
1	4	4	4	18427038537917399040
1	4	5	5	3948651115268014080
1	4	6	6	51332464498484183040
1	4	7	7	67127068959556239360
1	4	8	8	-34221642998989455360
1	4	9	9	-57913549690597539840
1	4	10	10	-50016247460061511680
1	4	11	11	5264868153690685440
1	4	12	12	-5264868153690685440
2	0	0	2	33831652765382737920
2	0	1	3	-38706530685466705920
2	0	2	2	-438739012807557120
2	0	2	4	118069543224433704960
2	0	3	3	-584985350410076160
2	0	3	4	13552160617833431040
2	0	3	5	-83750402667042570240
2	0	4	4	-6532336412912517120
2	0	4	5	974975584016793600
2	0	4	6	304582372446846320640
2	0	5	4	1364965817623511040
2	0	5	5	-2193695064037785600
2	0	5	6	67273315297158758400
2	0	5	7	-10042248515372974080
2	0	6	5	2339941401640304640
2	0	6	6	-23643157912407244800
2	0	6	7	12479687475414958080
2	0	6	8	311114708859758837760
2	0	7	6	2339941401640304640
2	0	7	7	-31442962584541593600
2	0	7	8	92037695131185315840
2	0	7	9	151023717964201328640
2	0	8	7	-5849853504100761600
2	0	8	8	27299316352470220800
2	0	8	9	60643481325844561920
2	0	8	10	3412414544058777600
2	0	9	8	-6044848620904120320
2	0	9	9	18134545862712360960
2	0	9	10	17842053187507322880
2	0	9	11	-7604809555330990080
2	0	10	9	389990233606717440
2	0	10	10	21741955523574497280
2	0	10	11	-8774780256151142400
2	0	10	12	-97497558401679360
2	0	11	10	6239843737707479040
2	0	11	11	-4484887686477250560
2	0	11	12	4582385244878929920
2	0	12	11	-1559960934426869760
2	0	12	12	2144946284836945920
2	0	13	12	779980467213434880
2	1	0	2	-101494958296148213760
2	1	1	3	116119592056400117760
2	1	2	2	2632434076845342720
2	1	2	4	-354208629673301114880
2	1	3	3	3509912102460456960
2	1	3	4	-60984722780250439680
2	1	3	5	251251208001127710720
2	1	4	4	39194018477475102720
2	1	4	5	-4387390128075571200
2	1	4	6	-913747117340538961920
2	1	5	4	-10237243632176332800
2	1	5	5	13162170384226713600
2	1	5	6	-302729918837214412800
2	1	5	7	30126745546118922240
2	1	6	5	-17549560512302284800
2	1	6	6	141858947474443468800
2	1	6	7	-56158593639367311360
2	1	6	8	-933344126579276513280
2	1	7	6	-17549560512302284800
2	1	7	7	188657775507249561600
2	1	7	8	-414169628090333921280
2	1	7	9	-453071153892603985920
2	1	8	7	43873901280755712000
2	1	8	8	-163795898114821324800
2	1	8	9	-272895665966300528640
2	1	8	10	-10237243632176332800
2	1	9	8	45336364656780902400
2	1	9	9	-108807275176274165760
2	1	9	10	-80289239343782952960
2	1	9	11	22814428665992970240
2	1	10	9	-2924926752050380800
2	1	10	10	-130451733141446983680
2	1	10	11	39486511152680140800
2	1	10	12	292492675205038080
2	1	11	10	-46798828032806092800
2	1	11	11	26909326118863503360
2	1	11	12	-20620733601955184640
2	1	12	11	11699707008201523200
2	1	12	12	-12869677709021675520
2	1	13	12	-5849853504100761600
2	2	0	2	101494958296148213760
2	2	1	3	-116119592056400117760
2	2	2	2	-6581085192113356800
2	2	2	4	354208629673301114880
2	2	3	3	-8774780256151142400
2	2	3	4	60984722780250439680
2	2	3	5	-251251208001127710720
2	2	4	4	-97985046193687756800
2	2	4	5	4387390128075571200
2	2	4	6	913747117340538961920
2	2	5	4	28664282170093731840
2	2	5	5	-32905425960566784000
2	2	5	6	302729918837214412800
2	2	5	7	-30126745546118922240
2	2	6	5	49138769434446397440
2	2	6	6	-354647368686108672000
2	2	6	7	56158593639367311360
2	2	6	8	933344126579276513280
2	2	7	6	49138769434446397440
2	2	7	7	-471644438768123904000
2	2	7	8	414169628090333921280
2	2	7	9	453071153892603985920
2	2	8	7	-122846923586115993600
2	2	8	8	409489745287053312000
2	2	8	9	272895665966300528640
2	2	8	10	10237243632176332800
2	2	9	8	-126941821038986526720
2	2	9	9	272018187940685414400
2	2	9	10	80289239343782952960
2	2	9	11	-22814428665992970240
2	2	10	9	8189794905741066240
2	2	10	10	326129332853617459200
2	2	10	11	-39486511152680140800
2	2	10	12	-292492675205038080
2	2	11	10	131036718491857059840
2	2	11	11	-67273315297158758400
2	2	11	12	20620733601955184640
2	2	12	11	-32759179622964264960
2	2	12	12	32174194272554188800
2	2	13	12	16379589811482132480
2	3	2	2	7897302230536028160
2	3	3	3	10529736307381370880
2	3	4	4	117582055432425308160
2	3	5	4	-36854077075834798080
2	3	5	5	39486511152680140800
2	3	6	5	-63178417844288225280
2	3	6	6	425576842423330406400
2	3	7	6	-63178417844288225280
2	3	7	7	565973326521748684800
2	3	8	7	157946044610720563200
2	3	8	8	-491387694344463974400
2	3	9	8	163210912764411248640
2	3	9	9	-326421825528822497280
2	3	10	9	-10529736307381370880
2	3	10	10	-391355199424340951040
2	3	11	10	-168475780918101934080
2	3	11	11	80727978356590510080
2	3	12	11	42118945229525483520
2	3	12	12	-38609033127065026560
2	3	13	12	-21059472614762741760
2	4	2	2	-3948651115268014080
2	4	3	3	-5264868153690685440
2	4	4	4	-58791027716212654080
2	4	5	4	18427038537917399040
2	4	5	5	-19743255576340070400
2	4	6	5	31589208922144112640
2	4	6	6	-212788421211665203200
2	4	7	6	31589208922144112640
2	4	7	7	-282986663260874342400
2	4	8	7	-78973022305360281600
2	4	8	8	245693847172231987200
2	4	9	8	-81605456382205624320
2	4	9	9	163210912764411248640
2	4	10	9	5264868153690685440
2	4	10	10	195677599712170475520
2	4	11	10	84237890459050967040
2	4	11	11	-40363989178295255040
2	4	12	11	-21059472614762741760
2	4	12	12	19304516563532513280
